"APN","RecordID","BusDesc","B1_PER_SUB_TYPE","DBA","NAICS","Tax_Code","Employee_Num","Bus_Own_Type","B1_BUSINESS_NAME","B1_ADDRESS1","B1_ADDRESS2","B1_CITY","B1_STATE","B1_ZIP","B1_CONTACT_TYPE","B1_FULL_ADDRESS","B1_SITUS_CITY","B1_SITUS_STATE","B1_SITUS_ZIP","Business_Location"
"055 189600200","BL-005079","OPTOMETRISTS","Professional SemiProfessional","BERKELEY OPTOMETRIC GROUP","621320 - Offices of Optometrists","P","10","Partnership","BERKELEY OPTOMETRIC GROUP","2414 SHATTUCK AVE",,"BERKELEY","CA","94704","Business Owner","2414 SHATTUCK AVE","BERKELEY","CA","94704",
"ZZZZZZZZZZZZZ","BL-019815","FIBER OPTIC INTERNET SERVICE","Business Personal Repair Svs","PAXIO LLC","519190 - All Other Information Services","B","0","LLC","PAXIO LLC","6100 HORTON ST",,"EMERYVILLE","CA","94608-1475","Business Owner","0 VARIOUS","BERKELEY","CA","94704",
"053 168100601","BL-037989","OPTICAL MANUFACTURING","Manufacturing","IMAGIZE LLC","511210 - Software Publishers","M","5","LLC","IMAGIZE LLC","2020 STUART ST",,"BERKELEY","CA","94703-2217","Business Owner","2020 STUART St","BERKELEY","CA","94703",
"057 203000100","BL-021462","OPTOMETRIST","Professional SemiProfessional","J.C. WRIGHT OPTOMETRIST","621320 - Offices of Optometrists","P","1","Sole Ownership","J.C. WRIGHT OPTOMETRIST","2213 SHATTUCK AVE",,"BERKELEY","CA","94704-1415","Business Owner","2213 SHATTUCK Ave","BERKELEY","CA","94704",
"059 226000201","BL-047654","OPTOMETRY OFFICE","Professional SemiProfessional","WALNUT SQUARE OPTOMETRY","621320 - Offices of Optometrists","P","2","Corporation","WALNUT SQUARE OPTOMETRY","2118 VINE ST STE E",,"BERKELEY","CA","94709-1524","Business Owner","2118 VINE ST","BERKELEY","CA","94709",
"059 226000201","BL-013510","OPTOMETRY","Professional SemiProfessional","YOUR TWO EYES OPTOMETRY INC","621320 - Offices of Optometrists","P","5","Corporation","YOUR TWO EYES OPTOMETRY INC","2110 VINE ST STE B",,"BERKELEY","CA","947091577","Business Owner","2110 VINE St","BERKELEY","CA","94709",
"057 202300100","BL-004681","OPTICAL GOODS STORE","Retail Trade","FOR EYES OPTICAL INC","446130 - Optical Goods Stores","R","4","Corporation","FOR EYES OPTICAL INC","2112 SHATTUCK AVE",,"BERKELEY","CA","94704 120","Business Owner","2112 SHATTUCK AVE","BERKELEY","CA","94704",
"ZZZZZZZZZZZZZ","BL-021055","FIBER OPTICS FOR VERIZON CELL SITE","Construction or Contractor","NORTHERN DIRECTIONAL DRILLING INC","213111 - Drilling Oil and Gas Wells","C","9","Corporation","NORTHERN DIRECTIONAL DRILLING INC","PO BOX 128",,"OAKLEY","CA","94561-0128","Business Owner","0 VARIOUS","BERKELEY","CA","94704",
"057 203000100","BL-019923","OPTICAL STORE, GLASSES, CONTACT LENSES","Retail Trade","SITE FOR SORE EYES","446130 - Optical Goods Stores","R","3","Corporation","SITE FOR SORE EYES","2213 SHATTUCK AVE",,"BERKELEY","CA","94704","Business Owner","2213 SHATTUCK Ave","BERKELEY","CA","94704",
"057 203100500","BL-001310","OPTICAL SHOP","Retail Trade","THE OPTICIAN","446130 - Optical Goods Stores","R","2","Sole Ownership","THE OPTICIAN","1364 DELAWARE ST",,"BERKELEY","CA","94702-1438","Business Owner","2115 ALLSTON Way","BERKELEY","CA","94704",
"057 211500700","BL-000303","OPTOMETRY OFFICE","Professional SemiProfessional","LUNETTES DU MONDE OPTOMETRY","621320 - Offices of Optometrists","P","3","Corporation","LUNETTES DU MONDE OPTOMETRY","1799 4TH ST STE E",,"BERKELEY","CA","947101741","Business Owner","1799 Fourth St","BERKELEY","CA","94710",
"057 202300300","BL-019474","OPTICAL STORE","Retail Trade","PRECISION VISION","446130 - Optical Goods Stores","R","0","Sole Ownership","PRECISION VISION","2120 SHATTUCK AVE",,"BERKELEY","CA","94704-1209","Business Owner","2120 SHATTUCK AVE","BERKELEY","CA","94704",
"054 176600100","BL-020915","OPTOGENETICS RESEARCH & DEVELOPMENT","Professional SemiProfessional","RAY THERAPEUTICS INC","541711 - Research and Development in Biotechnology","P","16","Corporation","RAY THERAPEUTICS INC","2607 7TH ST STE B",,"BERKELEY","CA","947102571","Business Owner","2607 SEVENTH St","BERKELEY","CA","94710",
"052 157309300","BL-012311","OPTICAL STORE","Retail Trade","THE CUTTING EDGE MONTCLAIR OPTICAL BERKELEY","446130 - Optical Goods Stores","R","2","Sole Ownership","THE CUTTING EDGE MONTCLAIR OPTICAL BERKELEY","2067 ANTIOCH CT",,"OAKLAND","CA","94611-2913","Business Owner","2980 COLLEGE Ave","BERKELEY","CA","94705",
