Row,Address,address_normalized,APN,Owner,Num_Permits,Permit_Numbers,Selected_Permit,old_units,new_units,net_unit_change,permit_year,Description,Record_Status,Selection_Method,Cumulative_Units
1,0 LE ROY Ave,0 LE ROY AVE,,,1,PLN2024-0024,PLN2024-0024,0.0,1.0,1.0,2024.0,SB 9 Preliminary Eligibility Determination to construct a three-story single family residence with an attached 2 car garage.,Under Review,single_permit,1.0
2,1015 UNIVERSITY Ave,1015 UNIVERSITY AVE,,,1,ZP2022-0120,ZP2022-0120,0.0,9.0,9.0,2022.0,Legalize nine residential dwelling units and ground floor commercial space.,Incomplete Pending Applicant,single_permit,10.0
3,1111 ALLSTON Way,1111 ALLSTON WAY,,,1,PLN2025-0013,PLN2025-0013,0.0,1.0,1.0,2025.0,One new dwelling unit (approved with UPPH that will not be exercised) and subdivision pursuant to SB 684. One Unit and Subdivision,Under Review,single_permit,11.0
4,1136 KEITH Ave,1136 KEITH AVE,,,1,PLN2024-0047,PLN2024-0047,1.0,1.0,0.0,2024.0,"Pre-application to demolish the existing single-family dwelling and rebuild a new single-family dwelling, pursuant to Senate Bill (SB) 9. The proposal also includes a nonconforming addition that was approved under Administrative Use Permit (AUP) ZP#2024-0147.",Under Review,single_permit,11.0
5,1139 KEELER Ave,1139 KEELER AVE,,,1,ZP2022-0172,ZP2022-0172,0.0,1.0,1.0,2022.0,"Construction of a three-story single-family residence with an attached ADU in the Hillside Overlay.  The project includes the construction of a detached partially subterranean garage, the installation of a tram system in the side setback, and retaining walls within the same setback as the tram.",Under Review,single_permit,12.0
6,1236 DWIGHT Way,1236 DWIGHT WAY,,,1,PLN2025-0081,PLN2025-0081,1.0,3.0,2.0,2025.0,"Demolish existing single-family home, subdivide the existing single-family lot into three parcels, and develop three new single-family homes.",Pending,single_permit,14.0
7,130 BERKELEY Sq,130 BERKELEY SQ,,,1,ZP2021-0158,ZP2021-0158,0.0,50.0,50.0,2021.0,50 unit multi-family mixed-use project,In Review,single_permit,64.0
8,1419 GRANT St,1419 GRANT ST,,,2,"PLN2025-0065, PLN2025-0091",PLN2025-0091,0.0,2.0,2.0,2025.0,"Utilizing Senate Bills SB 330 and SB 684, this project proposes to subdivide an existing 5,389-square-foot R-2 zoned lot into: 

1)  A 3,249-square-foot front lot containing an existing 3,483 square-foot, two-story (X- feet tall) single-family dwelling; and

2) A 2,140-square-foot rear lot containing a new 1,655-square-foot (GFA), two-story single-family dwelling (23 feet to T.O shed roof)",Pending,max_units,66.0
9,1420 FIFTH St,1420 FIFTH ST,,,1,ZP2025-0021,ZP2025-0021,,1.0,1.0,2025.0,Administrative Use Permit to allocate the existing Accessory Dwelling Unit to a Single-Family Home and construct a 592 square foot residential addition approximately 22 feet tall,Pending Final Action,single_permit,67.0
10,1449 CORNELL Ave,1449 CORNELL AVE,,,1,PLN2025-0046,PLN2025-0046,0.0,3.0,3.0,2025.0,"The proposed project is to demolish an existing church building and drive aisle and utilizing SB684, subdivide the 8,147 square-foot lots (total for APN#60-2392-50 & APN#60-2392-51) into three separate lots (2,740, 2,667, 2,740 sq. ft.) and construct one new,1,865 sq. ft. (1,750 net habitable sq. ft.), 2-story, single-family dwelling on each lot. Each unit will include 4 bedrooms and 3 bathrooms, one off-street parking space and 763-813 sq. ft. of usable open space",Under Review,single_permit,70.0
