event_id,project_id,permit_id,event_date,event_summary,permit_number,permit_type,permit_description,project_address
2653,53,146,2025-07-08,Co Issued: B2024-03884,B2024-03884,building_permit,"Unit #A, First Floor. Add bathroom & laundry closet. Unit #B, Second Floor. Kitchen remodel, infill & add an interior door to convert the family room into a fourth bedroom. Plan reviewer increased valuation from $1,200 to $43,000.",2641 COLLEGE Ave
2656,53,148,2025-07-24,Co Issued: B2025-02413,B2025-02413,building_permit,Replace 760 square feet of deteriorated siding on the south elevation of the existing two story main residence.,2641 COLLEGE Ave
2783,71,236,2025-05-09,Co Issued: B2025-00897,B2025-00897,building_permit,"Remove & replace one (1) kitchen window, same size & location. Fire Zone 2 Property.",40 HILL Rd
2778,83,233,2025-08-20,Co Issued: B2024-02712,B2024-02712,building_permit,Temporary Foundation for a 2950 sq. ft. single family Residence.  See permit number B2024-02570 regarding the new construction.,1136 KEITH Ave
2629,84,130,2024-02-14,Co Issued: B2023-00595,B2023-00595,building_permit,"Insulation, drywall, replace shower pan/walls. Reset toilet.",2705 BENVENUE Ave
2693,87,174,2024-09-18,Co Issued: B2024-00736,B2024-00736,building_permit,"Kitchen & Bath Remodel, addition of 2 skylights, new exterior - rear stairs",1109 COWPER St
2709,91,185,2024-10-11,Co Issued: B2023-03256,B2023-03256,building_permit,Install digital LED screen on exterior south facing façade and mural on exterior east facing façade.,2009 ADDISON St
2615,92,120,2023-08-09,Co Issued: B2023-03308,B2023-03308,building_permit,Remove and replace 60 linear feet of decomposed foundation for transfer tax rebate.,3036 REGENT St
2769,111,228,2025-11-17,Co Issued: B2024-05470,B2024-05470,building_permit,Interior remodel of the kitchen & two (2) baths on the main floor & one (1) bath on the lower level. Electrical uprades throughout. Fire Zone 2 Property.,411 VASSAR Ave
2718,129,190,2024-03-19,Co Issued: B2023-05397,B2023-05397,building_permit,Residential Remodel,1614 Sixth St
2714,135,188,2024-03-06,Co Issued: B2023-01578,B2023-01578,building_permit,Install exterior sign,2150 Kittredge St
2660,139,150,2025-08-11,Co Issued: B2023-01880,B2023-01880,demo_permit,Demolish Apartment Building. (Ref. #B2023-02332 New Construction),2538 DURANT Ave
2700,152,179,2024-08-21,Co Issued: B2024-01602,B2024-01602,building_permit,"Shoring, excavation, and grading. The temporary shoring system is intended to be constructed to allow excavation and grading for the proposed building construction.",1598 UNIVERSITY Ave
2716,158,189,2025-05-06,Co Issued: B2022-04366,B2022-04366,building_permit,"Construction of a 9665-SF, four story 39-unit congregate residence.",1367 UNIVERSITY Ave
2649,161,144,2025-07-25,Co Issued: B2023-02975,B2023-02975,building_permit,"Construction of a 9,815 SF, four story 11-unit + attached ADU multifamily residential building.",2555 COLLEGE Ave
2738,174,206,2025-05-12,Co Issued: B2023-04569,B2023-04569,building_permit,Shoring Design package for retaining wall associated with Building Permit Application #B2023-02354.,1773 OXFORD St
2683,176,166,2025-03-04,Co Issued: B2024-01853,B2024-01853,building_permit,Install (1) non illuminated walls sign.,2440 SHATTUCK Ave
