permit_id,permit_number,permit_type,description,project_id,project_address
115,B1998-05207,building_permit,Add second layer of tar & paint,13,2420 SHATTUCK Ave
118,B1999-03755,building_permit,"T/O EXISTING ROOFING MATL. INSTALL CLASS A MODIFIED BITUMEN ROOF SYSTEM, HEAT WELDING SEAMS",8,2920 SHATTUCK Ave
117,B2014-03919,building_permit,Install two (2) exterior signs.,14,2847 SHATTUCK Ave
128,B2022-02027,building_permit,Shoring for excavation for new structure. (Rebuild is under Permit #B2021-04232.),143,2902 ADELINE St
189,B2022-04366,building_permit,"Construction of a 9665-SF, four story 39-unit congregate residence.",158,1367 UNIVERSITY Ave
130,B2023-00595,building_permit,"Insulation, drywall, replace shower pan/walls. Reset toilet.",84,2705 BENVENUE Ave
202,B2023-00774,building_permit,"72-unit, 7-story, mixed-use apartment building.",164,1752 SHATTUCK Ave
188,B2023-01578,building_permit,Install exterior sign,135,2150 Kittredge St
144,B2023-02975,building_permit,"Construction of a 9,815 SF, four story 11-unit + attached ADU multifamily residential building.",161,2555 COLLEGE Ave
185,B2023-03256,building_permit,Install digital LED screen on exterior south facing façade and mural on exterior east facing façade.,91,2009 ADDISON St
120,B2023-03308,building_permit,Remove and replace 60 linear feet of decomposed foundation for transfer tax rebate.,92,3036 REGENT St
121,B2023-03832,building_permit,Reconfigure walls to relocate kitchen and create 2 baths.,92,3036 REGENT St
206,B2023-04569,building_permit,Shoring Design package for retaining wall associated with Building Permit Application #B2023-02354.,174,1773 OXFORD St
190,B2023-05397,building_permit,Residential Remodel,129,1614 Sixth St
170,B2024-00143,building_permit,"Privately funded, 4-story, mixed use, (36) unit condominium project with garage.",159,2403 SAN PABLO Ave
174,B2024-00736,building_permit,"Kitchen & Bath Remodel, addition of 2 skylights, new exterior - rear stairs",87,1109 COWPER St
226,B2024-01528,building_permit,Replace windows and doors. Patch and repair stucco to prep for painting.  Fire zone 2,88,705 ARLINGTON Ave
179,B2024-01602,building_permit,"Shoring, excavation, and grading. The temporary shoring system is intended to be constructed to allow excavation and grading for the proposed building construction.",152,1598 UNIVERSITY Ave
183,B2024-01659,building_permit,Installation of sign,96,2099 M L KING JR Way
166,B2024-01853,building_permit,Install (1) non illuminated walls sign.,176,2440 SHATTUCK Ave
233,B2024-02712,building_permit,Temporary Foundation for a 2950 sq. ft. single family Residence.  See permit number B2024-02570 regarding the new construction.,83,1136 KEITH Ave
140,B2024-03583,building_permit,"Phase I: Underground piping, concrete structure to Level 3, MEP rough-ins below grade through Level 3.",157,2587 TELEGRAPH Ave
146,B2024-03884,building_permit,"Unit #A, First Floor. Add bathroom & laundry closet. Unit #B, Second Floor. Kitchen remodel, infill & add an interior door to convert the family room into a fourth bedroom. Plan reviewer increased valuation from $1,200 to $43,000.",53,2641 COLLEGE Ave
141,B2024-03886,building_permit,Shoring Wall @ East,157,2587 TELEGRAPH Ave
191,B2024-04504,building_permit,Building A: New Single Family home in the rear.,129,1614 Sixth St
142,B2024-04602,building_permit,"Phase 2 - Superstructure - Concrete Floor slabs up to 3rd Floor and all wood framing above, exterior facade and complete interior build-out",157,2587 TELEGRAPH Ave
186,B2024-04964,building_permit,Remove & replace bathroom window same size & location.,113,2138 KITTREDGE St
167,B2024-05368,building_permit,"This revision application is for an updated job address for an already approved permit. The plans have been revised with corrected address. Initially the address on the permit set was ‘2440 Shattuck Ave, Berkeley, CA 94704’ which has now been corrected to ‘2055 Haste Street, Berkeley, CA 94704’ in this revised plan.",176,2440 SHATTUCK Ave
228,B2024-05470,building_permit,Interior remodel of the kitchen & two (2) baths on the main floor & one (1) bath on the lower level. Electrical uprades throughout. Fire Zone 2 Property.,111,411 VASSAR Ave
192,B2024-06099,building_permit,Building B: Construction single family home on the front of lot,129,1614 Sixth St
239,B2025-00168,building_permit,ADU new construction - 6 new detached ADUs,184,2330 BLAKE St
222,B2025-00709,building_permit,"Remove and replace perimeter foundation, basement retaining wall. Install seismic shear walls and brackets.  Stucco replacement.",90,576 SAN LUIS Rd
236,B2025-00897,building_permit,"Remove & replace one (1) kitchen window, same size & location. Fire Zone 2 Property.",71,40 HILL Rd
148,B2025-02413,building_permit,Replace 760 square feet of deteriorated siding on the south elevation of the existing two story main residence.,53,2641 COLLEGE Ave
210,B2025-04912,building_permit,Bolting and bracing of the lowest level. Qualifies for Transfer Tax Rebate,67,1419 GRANT St
227,B2025-04937,building_permit,"Remodel Kitchen.  Replace cabinets, appliances, counter tops and flooring in same location.  No structural changes, no ceiling work, update GFCI outlets and switches. Fire zone 2",88,705 ARLINGTON Ave
212,B2025-05288,building_permit,100A Temp Meter Release,132,1627 Jaynes St
150,B2023-01880,demo_permit,Demolish Apartment Building. (Ref. #B2023-02332 New Construction),139,2538 DURANT Ave
219,B2024-01374,demo_permit,Demo single family 1-story house over crawl space. Cap sewer & gas as required.,130,1048 Keith St
