full_address,street_number,street_name,street_type,city,zipcode,longitude,latitude,address_normalized
,,,,Berkeley,94710,-13613846.8209,4561903.4617,
,,,,Berkeley,94705,-13609540.4901,4559518.619800001,
,,,,Berkeley,94708,-13609587.3945,4564389.5896999985,
,,,,Berkeley,94704,-13610968.5293,4559898.588200003,
,,,,Berkeley,94705,-13609288.253600001,4559698.660400003,
,,,,Berkeley,94709,-13610916.8785,4562609.865099996,
,,,,Berkeley,94703,-13610864.86,4558518.5266999975,
,,,,Berkeley,94703,-13611255.4534,4559028.229199998,
,,,,Berkeley,94704,-13610202.573800001,4560165.810199998,
,,,,Berkeley,94705,-13608308.5384,4558690.2337,
,,,,Berkeley,94704,-13609810.3358,4560276.120099999,
,,,,Berkeley,94710,-13613861.2831,4561928.9626,
,,,,Berkeley,94705,-13609847.8906,4559835.684900001,
,,,,Berkeley,94705,-13608527.4692,4558944.027999997,
,,,,Berkeley,94702,-13612368.0064,4558135.094400004,
,,,,Berkeley,94702,-13612545.9738,4561005.039300002,
,,,,Berkeley,94708,-13611074.3248,4565665.184199996,
,,,,Berkeley,94704,-13610381.1271,4560247.175499998,
,,,,Berkeley,94709,-13610862.7717,4561945.222099997,
,,,,Berkeley,94702,-13613718.1711,4561637.630099997,
,,,,Berkeley,94708,-13610517.220800001,4565310.617799997,
,,,,Berkeley,94710,-13613648.310800001,4560872.670500003,
,,,,Berkeley,94704,-13610849.0662,4560509.218900003,
,,,,Berkeley,94705,-13610071.0745,4558690.773599997,
,,,,Berkeley,94709,-13610487.0808,4561996.948899999,
,,,,Berkeley,94702,-13612664.943599999,4560839.193599999,
,,,,Berkeley,94705,-13610052.945799999,4558746.875200003,
,,,,Berkeley,94703,-13612314.699000001,4561356.5383,
,,,,Berkeley,94704,-13609355.4277,4560415.1998,
,,,,Berkeley,94703,-13612073.7346,4562416.595700003,
,,,,Berkeley,94702,-13612825.3619,4559065.510700002,
,,,,Berkeley,94703,-13611763.93,4561017.296700001,
,,,,Berkeley,94702,-13612246.511599999,4560159.970799997,
,,,,Berkeley,94702,-13613095.1779,4562136.2858000025,
,,,,Berkeley,94709,-13610018.502799999,4562121.017099999,
,,,,Berkeley,94707,-13611406.4107,4563598.1005000025,
,,,,Berkeley,94703,-13611701.2746,4560247.784900002,
,,,,Berkeley,94702,-13612034.0125,4558327.118500002,
,,,,Berkeley,94707,-13612873.239599999,4564856.3369999975,
,,,,Berkeley,94705,-13609388.4644,4559282.285899997,
,,,,Berkeley,94702,-13612461.5662,4561259.354599997,
,,,,Berkeley,94704,-13611058.9265,4560003.582699999,
,,,,Berkeley,94709,-13611146.3801,4562700.048299998,
,,,,Berkeley,94709,-13610507.3508,4563149.510399997,
,,,,Berkeley,94707,-13611475.056,4564029.1919,
,,,,Berkeley,94709,-13610033.424800001,4562264.063100003,
,,,,Berkeley,94707,-13611858.5161,4564428.505500004,
,,,,Berkeley,94703,-13610783.7278,4559074.956500001,
,,,,Berkeley,94705,-13609220.2017,4559136.6686,
,,,,Berkeley,94702,-13613259.0898,4560171.283200003,
,,,,Berkeley,94704,-13611098.1306,4560205.931699999,
,,,,Berkeley,94709,-13610540.197999999,4563325.335199997,
,,,,Berkeley,94703,-13611556.9294,4561355.5999,
,,,,Berkeley,94704,-13610176.3743,4560750.1404,
,,,,Berkeley,94705,-13609739.8328,4558959.799599998,
,,,,Berkeley,94703,-13611584.8977,4558503.981299996,
,,,,Berkeley,94703,-13611827.739,4559705.555100001,
,,,,Berkeley,94703,-13610682.3346,4558754.1369,
,,,,Berkeley,94709,-13610267.3426,4562282.137999997,
,,,,Berkeley,94704,-13611286.7436,4561081.360799998,
,,,,Berkeley,94702,-13612425.1537,4561205.553599998,
,,,,Berkeley,94702,-13612158.2075,4558094.590000004,
,,,,Berkeley,94705,-13610311.5136,4558829.187899999,
,,,,Berkeley,94709,-13611059.8737,4563156.176200002,
,,,,Berkeley,94710,-13613798.153900001,4561945.241499998,
,,,,Berkeley,94703,-13611871.1932,4558526.500299998,
,,,,Berkeley,94708,-13609371.3627,4564264.751199998,
,,,,Berkeley,94703,-13610894.636,4559233.4925,
,,,,Berkeley,94702,-13613665.4891,4561762.920000002,
,,,,Berkeley,94704,-13610804.7873,4559989.910499997,
,,,,Berkeley,94708,-13609208.974,4563443.6054000035,
,,,,Berkeley,94703,-13610876.768,4558834.852499999,
,,,,Berkeley,94710,-13613519.356800001,4560719.1197,
,,,,Berkeley,94704,-13611067.8396,4561185.507799998,
,,,,Berkeley,94704,-13610409.2882,4560242.294799998,
,,,,Berkeley,94703,-13612062.0879,4562111.819499999,
,,,,Berkeley,94709,-13610862.7717,4561945.222099997,
,,,,Berkeley,94704,-13611253.433899999,4560368.0273,
,,,,Berkeley,94708,-13609103.2535,4563228.508500002,
,,,,Berkeley,94702,-13613395.0308,4561972.473700002,
,,,,Berkeley,94704,-13610706.966400001,4561232.941,
,,,,Berkeley,94704,-13609783.9564,4560415.954800002,
,,,,Berkeley,94707,-13612121.8858,4564478.770900004,
,,,,Berkeley,94705,-13610374.1252,4558908.9113000035,
,,,,Berkeley,94707,-13612755.1678,4564123.6215,
,,,,Berkeley,94707,-13612419.5725,4565085.842600003,
,,,,Berkeley,94702,-13612746.436900001,4559988.997100003,
,,,,Berkeley,94705,-13609330.6692,4559047.494800001,
,,,,Berkeley,94708,-13608910.932799999,4563597.3235,
,,,,Berkeley,94704,-13609262.9111,4560443.509800002,
,,,,Berkeley,94703,-13611439.579,4558986.288900003,
,,,,Berkeley,94702,-13612877.1621,4560593.4717999995,
,,,,Berkeley,94703,-13611571.0648,4560205.3024,
,,,,Berkeley,94708,-13609234.4124,4563553.036600001,
,,,,Berkeley,94706,-13612600.4397,4562768.799599998,
,,,,Berkeley,94709,-13611060.7302,4561634.862000003,
,,,,Berkeley,94704,-13611247.8026,4560197.250699997,
,,,,Berkeley,94702,-13612141.7962,4559131.166500002,
,,,,Berkeley,94702,-13612540.9184,4562561.521600001,
,,,,Berkeley,94704,-13610838.0519,4560174.030500002,
,,,,Berkeley,94703,-13611670.2959,4562838.9065999985,
,,,,Berkeley,94709,-13611143.1928,4562653.892800003,
,,,,Berkeley,94708,-13610480.0372,4562433.119900003,
,,,,Berkeley,94709,-13610605.547699999,4562035.2727999985,
,,,,Berkeley,94702,-13612561.2882,4558370.009999998,
,,,,Berkeley,94702,-13612218.332,4559385.068999998,
,,,,Berkeley,94708,-13609110.804,4563281.377300002,
,,,,Berkeley,94704,-13611032.3322,4560992.092699997,
,,,,Berkeley,94708,-13610510.9855,4562891.256300002,
,,,,Berkeley,94708,-13610749.563099999,4564808.232000001,
,,,,Berkeley,94707,-13611095.790199999,4564692.175300002,
,,,,Berkeley,94707,-13612905.9908,4564224.618299998,
,,,,Berkeley,94704,-13610140.6449,4560416.416500002,
,,,,Berkeley,94710,-13614277.986200001,4560637.610399999,
,,,,Berkeley,94704,-13609069.5032,4560387.322700001,
,,,,Berkeley,94707,-13612170.4364,4563000.3999999985,
,,,,Berkeley,94702,-13613231.6468,4560822.342299998,
,,,,Berkeley,94705,-13610006.001600001,4559406.266999997,
,,,,Berkeley,94703,-13611610.1514,4558627.654799998,
,,,,Berkeley,94705,-13609224.3608,4559720.851599999,
,,,,Berkeley,94705,-13609983.478500001,4558649.312299997,
,,,,Berkeley,94704,-13610750.792,4561421.057099998,
,,,,Berkeley,94703,-13611152.8176,4558419.592500001,
,,,,Berkeley,94704,-13610873.7755,4560501.1127,
,,,,Berkeley,94709,-13611026.966,4562801.888899997,
,,,,Berkeley,94703,-13611807.846900001,4558148.440399997,
,,,,Berkeley,94703,-13612066.8356,4561227.070600003,
,,,,Berkeley,94703,-13612342.8096,4561425.531000003,
,,,,Berkeley,94702,-13612810.634399999,4558481.719800003,
,,,,Berkeley,94709,-13609874.322900001,4561842.944799997,
,,,,Berkeley,94704,-13609903.2776,4560793.813199997,
,,,,Berkeley,94703,-13611808.6122,4562501.990000002,
,,,,Berkeley,94705,-13610431.1095,4558652.047200002,
,,,,Berkeley,94703,-13611595.2335,4561990.555500001,
,,,,Berkeley,94702,-13612172.041000001,4558753.899899997,
,,,,Berkeley,94702,-13613190.804200001,4561169.0956000015,
,,,,Berkeley,94705,-13609007.02,4559947.624399997,
,,,,Berkeley,94704,-13610488.434,4560339.117700003,
,,,,Berkeley,94704,-13610773.753600001,4559940.256899998,
,,,,Berkeley,94704,-13610822.389800001,4561340.138899997,
,,,,Berkeley,94703,-13612038.1874,4561231.933799997,
,,,,Berkeley,94704,-13609046.5231,4560649.197499998,
,,,,Berkeley,94704,-13609181.386599999,4560519.809100002,
,,,,Berkeley,94706,-13613216.5331,4562699.807899997,
,,,,Berkeley,94709,-13609973.127,4562201.1586000025,
,,,,Berkeley,94702,-13613142.3713,4561321.709200002,
,,,,Berkeley,94704,-13611002.6504,4560343.476899996,
,,,,Berkeley,94709,-13610550.6243,4562643.564400002,
,,,,Berkeley,94703,-13611688.2104,4561143.365999997,
,,,,Berkeley,94702,-13613643.4637,4562059.124399997,
,,,,Berkeley,94707,-13612355.6327,4563967.665600002,
,,,,Berkeley,94707,-13610939.430100001,4563994.393200003,
