OBJECTID,APN,ST_NUM,FEANME,FEATYP,DIRPRE,DIRSUF,MUN,UNIT,UNIT_TYP,SRC_DATE,REV_DATE,SPADID,ADDRESS,CITY,ZIPCODE,ADDRESSLOOKUP,X_CORD,Y_CORD,longitude,latitude
17,059 231000205,1080.0,JONES,ST,,,BE,106,APT,1569447631000,1679519245000,101000013,1080 Jones St Apt 106,Berkeley,94710,1080 Jones St Apt 106 Berkeley CA 94710,-13613846.8209,4561903.4617,-122.29526674876428,37.875857552605694
24,053 169302100,2823.0,REGENT,ST,,,BE,,,1138924800000,1679519245000,101000016,2823 Regent St,Berkeley,94705,2823 Regent St Berkeley CA 94705,-13609540.4901,4559518.6198,-122.25658232100312,37.85894520458626
29,063 314011500,1079.0,CRESTON,RD,,,BE,,,1138924800000,1679519245000,101000020,1079 Creston Rd,Berkeley,94708,1079 Creston Rd Berkeley CA 94708,-13609587.3945,4564389.5897,-122.25700367039724,37.89348404845872
33,055 182001500,2605.0,MILVIA,ST,,,BE,,,1138924800000,1679519245000,101000022,2605 Milvia St,Berkeley,94704,2605 Milvia St Berkeley CA 94704,-13610968.5293,4559898.5882,-122.26941061539996,37.86164004895787
44,054 170901900,2793.0,BENVENUE,AV,,,BE,4,,1138924800000,1679519245000,101359659,2793 Benvenue Ave 4,Berkeley,94705,2793 Benvenue Ave 4 Berkeley CA 94705,-13609288.2536,4559698.6604,-122.2543164419715,37.86022211620459
60,059 226101000,1467.0,SHATTUCK,AV,,,BE,,,1138924800000,1679519245000,101359665,1467 Shattuck Ave,Berkeley,94709,1467 Shattuck Ave Berkeley CA 94709,-13610916.8785,4562609.8651,-122.26894662836916,37.88086633869915
64,052 155200400,1924.0,WOOLSEY,ST,,,BE,,,1138924800000,1679519245000,101000039,1924 Woolsey St,Berkeley,94703,1924 Woolsey St Berkeley CA 94703,-13610864.86,4558518.5267,-122.2684793382331,37.85185178785158
67,053 160002800,2913.0,HARPER,ST,,,BE,,,1138924800000,1679519245000,101000041,2913 Harper St,Berkeley,94703,2913 Harper St Berkeley CA 94703,-13611255.4534,4559028.2292,-122.27198809844408,37.855467068807606
82,055 183202000,2529.0,ELLSWORTH,ST,,,BE,3,,1138924800000,1679519245000,101000049,2529 Ellsworth St 3,Berkeley,94704,2529 Ellsworth St 3 Berkeley CA 94704,-13610202.5738,4560165.8102,-122.26252992007392,37.863535204658334
92,064 425001100,145.0,HILLCREST,RD,,,BE,,,1138924800000,1679519245000,101000055,145 Hillcrest Rd,Berkeley,94705,145 Hillcrest Rd Berkeley CA 94705,-13608308.5384,4558690.2337,-122.24551551058904,37.853069712308425
93,055 183800201,2430.0,DWIGHT,WY,,,BE,102,,1138924800000,1679519245000,101359681,2430 Dwight Way 102,Berkeley,94704,2430 Dwight Way 102 Berkeley CA 94704,-13609810.3358,4560276.1201,-122.25900638616976,37.86431751538991
95,059 231000205,1080.0,JONES,ST,,,BE,512,APT,1569447459000,1679519245000,101000058,1080 Jones St Apt 512,Berkeley,94710,1080 Jones St Apt 512 Berkeley CA 94710,-13613861.2831,4561928.9626,-122.29539666491728,37.876038373846576
98,054 171400300,2706.0,TELEGRAPH,AV,,,BE,FRONT,,1138924800000,1679519245000,101359682,2706 Telegraph Ave Front,Berkeley,94705,2706 Telegraph Ave Front Berkeley CA 94705,-13609847.8906,4559835.6849,-122.25934374667808,37.86119392760136
110,064 423901200,3027.0,CLAREMONT,AV,,,BE,,,1138924800000,1679519245000,101359685,3027 Claremont Ave,Berkeley,94705,3027 Claremont Ave Berkeley CA 94705,-13608527.4692,4558944.028,-122.24748219942713,37.85486984834304
122,052 145200200,3218.0,IDAHO,ST,,,BE,,,1138924800000,1682040765000,101359693,3218 Idaho St,Berkeley,94702,3218 Idaho St Berkeley CA 94702,-13612368.0064,4558135.0944,-122.281982332087,37.8491320149456
123,056 199601203,1414.0,UNIVERSITY,AV,,,BE,,,1138924800000,1679519245000,101359694,1414 University Ave,Berkeley,94702,1414 University Ave Berkeley CA 94702,-13612545.9738,4561005.0393,-122.28358104044192,37.86948675482731
130,063 295200200,30.0,ALTA,RD,,,BE,,,1138924800000,1679519245000,101000079,30 Alta Rd,Berkeley,94708,30 Alta Rd Berkeley CA 94708,-13611074.3248,4565665.1842,-122.27036099254636,37.902526297842634
139,055 183002100,2222.0,DWIGHT,WY,,,BE,3,,1138924800000,1679519245000,101359699,2222 Dwight Way 3,Berkeley,94704,2222 Dwight Way 3 Berkeley CA 94704,-13610381.1271,4560247.1755,-122.26413389165808,37.8641122429479
158,058 217700100,1709.0,SHATTUCK,AV,,,BE,222,,1138924800000,1679519245000,101359714,1709 Shattuck Ave 222,Berkeley,94709,1709 Shattuck Ave 222 Berkeley CA 94709,-13610862.7717,4561945.2221,-122.26846057871502,37.87615366613259
164,058 212803500,1644.0,SAN PABLO,AV,,,BE,A,,1138924800000,1679519245000,101359716,1644 San Pablo Ave A,Berkeley,94702,1644 San Pablo Ave A Berkeley CA 94702,-13613718.1711,4561637.6301,-122.2941110679479,37.87397257310421
184,063 296505500,663.0,GRIZZLY PEAK,BL,,,BE,,,1138924800000,1679519245000,101359728,663 Grizzly Peak Blvd,Berkeley,94708,663 Grizzly Peak Blvd Berkeley CA 94708,-13610517.2208,4565310.6178,-122.26535644216594,37.90001301041502
199,056 197300501,1040.0,UNIVERSITY,AV,,,BE,327,,1138924800000,1679519245000,101359733,1040 University Ave 327,Berkeley,94710,1040 University Ave 327 Berkeley CA 94710,-13613648.3108,4560872.6705,-122.29348350219549,37.86854806864747
206,055 189500500,2035.0,CHANNING,WY,,,BE,303,,1138924800000,1679519245000,101359735,2035 Channing Way 303,Berkeley,94704,2035 Channing Way 303 Berkeley CA 94704,-13610849.0662,4560509.2189,-122.26833746011376,37.86597060980446
207,052 155700500,2311.0,WOOLSEY,ST,,,BE,D,,1138924800000,1679519245000,101000117,2311 Woolsey St D,Berkeley,94705,2311 Woolsey St D Berkeley CA 94705,-13610071.0745,4558690.7736,-122.26134864176348,37.853073541808456
215,058 218203600,1729.0,SPRUCE,ST,,,BE,,,1138924800000,1679519245000,101000123,1729 Spruce St,Berkeley,94709,1729 Spruce St Berkeley CA 94709,-13610487.0808,4561996.9489,-122.26508568993928,37.87652044749161
225,056 199400503,1320.0,ADDISON,ST,,,BE,C232,UNIT,1138924800000,1679519245000,101000133,1320 Addison St Unit C232,Berkeley,94702,1320 Addison St Unit C232 Berkeley CA 94702,-13612664.9436,4560839.1936,-122.28464976433882,37.86831066712861
229,052 155701400,2314.0,PRINCE,ST,,,BE,C,,1138924800000,1679519245000,101000137,2314 Prince St C,Berkeley,94705,2314 Prince St C Berkeley CA 94705,-13610052.9458,4558746.8752,-122.26118578888055,37.85347146826686
232,057 206802100,1510.0,HEARST,AV,,,BE,3,,1138924800000,1679519245000,101359740,1510 Hearst Ave 3,Berkeley,94703,1510 Hearst Ave 3 Berkeley CA 94703,-13612314.699,4561356.5383,-122.28150346356524,37.871979332917654
264,055 184600101,2501.0,BENVENUE,AV,,,BE,30,,1138924800000,1679519245000,101359755,2501 Benvenue Ave 30,Berkeley,94704,2501 Benvenue Ave 30 Berkeley CA 94704,-13609355.4277,4560415.1998,-122.25491987717878,37.8653038478608
290,059 228301400,1421.0,MCGEE,AV,,,BE,B,,1138924800000,1679519245000,101359765,1421 Mcgee Ave B,Berkeley,94703,1421 Mcgee Ave B Berkeley CA 94703,-13612073.7346,4562416.5957,-122.27933884353074,37.879495986894675
292,054 174204900,2762.0,MATHEWS,ST,,,BE,,,1138924800000,1679519245000,101000173,2762 Mathews St,Berkeley,94702,2762 Mathews St Berkeley CA 94702,-13612825.3619,4559065.5107,-122.28609082644626,37.85573149668548
294,056 201000800,2112.0,ROOSEVELT,AV,,,BE,A,,1138924800000,1679519245000,101359768,2112 Roosevelt Ave A,Berkeley,94703,2112 Roosevelt Ave A Berkeley CA 94703,-13611763.93,4561017.2967,-122.27655582145805,37.86957367691092
296,055 191402700,2415.0,SACRAMENTO,ST,,,BE,,,1138924800000,1679519245000,101000174,2415 Sacramento St,Berkeley,94702,2415 Sacramento St Berkeley CA 94702,-13612246.5116,4560159.9708,-122.28089092572915,37.86349379177683
299,059 229300106,1290.0,HOPKINS,ST,,,BE,9,,1138924800000,1679519245000,101000177,1290 Hopkins St 9,Berkeley,94702,1290 Hopkins St 9 Berkeley CA 94702,-13613095.1779,4562136.2858,-122.28851462481325,37.8775084403227
310,058 219300102,1708.0,EUCLID,AV,,,BE,2,,1138924800000,1679519245000,101359778,1708 Euclid Ave 2,Berkeley,94709,1708 Euclid Ave 2 Berkeley CA 94709,-13610018.5028,4562121.0171,-122.26087638214726,37.87740017556253
314,061 257000700,1971.0,HOPKINS,ST,,,BE,,,1138924800000,1679519245000,101000184,1971 Hopkins St,Berkeley,94707,1971 Hopkins St Berkeley CA 94707,-13611406.4107,4563598.1005,-122.27334417094248,37.887872896105094
319,055 190700700,2416.0,ROOSEVELT,AV,,,BE,5,,1138924800000,1679519245000,101359780,2416 Roosevelt Ave 5,Berkeley,94703,2416 Roosevelt Ave 5 Berkeley CA 94703,-13611701.2746,4560247.7849,-122.2759929784235,37.86411656476258
336,052 154000600,1453.0,66TH,ST,,,BE,,,1138924800000,1682037523000,101359783,1453 66th St,Berkeley,94702,1453 66th St Berkeley CA 94702,-13612034.0125,4558327.1185,-122.27898201383526,37.850494098299066
