"SitusStree","the_geom","DATE_UPDAT","APN","SitusStr_1","SitusUnit","SitusCity","SitusZip","UseCode","BuildingAr","LotSize","SitusAddre","Longitude","Latitude","PARCELID","EXT_MIN_X","EXT_MIN_Y","EXT_MAX_X","EXT_MAX_Y"
"3208","MULTIPOLYGON (((-122.26620506714936 37.85201016935349, -122.26653402737655 37.85196913610153, -122.26653407067133 37.85196935538573, -122.26654445636072 37.852023527478174, -122.26654445633393 37.852023530181896, -122.26653568727384 37.8520246319214, -122.26643018077115 37.85203789427606, -122.26620913141049 37.852065727027096, -122.26619610352235 37.85206736821445, -122.2661889153737 37.8520121840373, -122.26620506714936 37.85201016935349)))","2004-05-10","16-1428-2-2","SHATTUCK AVE",,"BERKELEY","94705","2400","2,395","1,995","3208 SHATTUCK AVE BERKELEY 94705","-122.26636568","37.85201812","016 142800202","564,525.0572","4,189,644.3367","564,556.3459","4,189,655.4693"
"6618","MULTIPOLYGON (((-122.26520034486127 37.85215380090012, -122.26553979394967 37.85209815289988, -122.26554196745352 37.8521085628859, -122.26554322628088 37.85211458327151, -122.26554828532815 37.85213879294569, -122.2655443108068 37.85213931884624, -122.26542523777522 37.85215508690019, -122.2653184752453 37.85216922639345, -122.2652065658621 37.85218404299106, -122.26520562170307 37.85217907547466, -122.26520124439297 37.85215811109461, -122.26520034486127 37.85215380090012)))","2007-03-02","16-1425-57","SHATTUCK AVE",,"BERKELEY","94609","8100","5,000","1,000","6618 SHATTUCK AVE BERKELEY 94609","-122.2653821","37.85214246","016 142505700","564,612.595","4,189,659.3389","564,643.192","4,189,669.0992"
"2320","MULTIPOLYGON (((-122.26080495483338 37.85272464976913, -122.26095538499494 37.852705053523565, -122.26096164870376 37.85273540244976, -122.26097032680832 37.85277747433669, -122.26081994763302 37.852797072723156, -122.26080974615886 37.85274762949394, -122.26080495483338 37.85272464976913)))","2004-05-10","16-1422-22","WOOLSEY ST",,"BERKELEY","94705","9300","0","1,174","2320 WOOLSEY ST BERKELEY 94705","-122.26088766","37.85275106","016 142202200","565,014.7806","4,189,729.858","565,029.3755","4,189,740.162"
"6699","MULTIPOLYGON (((-122.26033584925841 37.85278574812257, -122.26080495483338 37.85272464976913, -122.26080974615886 37.85274762949394, -122.26081994763302 37.852797072723156, -122.26032482022806 37.85286159843067, -122.26033584925841 37.85278574812257)))","2004-05-10","16-1422-20","TELEGRAPH AVE",,"BERKELEY","94609","9300","5,964","3,768","6699 TELEGRAPH AVE BERKELEY 94609","-122.26057139","37.8527926","016 142202000","565,027.9929","4,189,732.137","565,071.4947","4,189,747.6662"
"2314","MULTIPOLYGON (((-122.26095538499494 37.852705053523565, -122.26110576494261 37.85268546938844, -122.26111354663723 37.852723176983034, -122.26112070703476 37.85275787666565, -122.26097032680832 37.85277747433669, -122.26096164870376 37.85273540244976, -122.26095538499494 37.852705053523565)))","2004-05-10","16-1422-24","WOOLSEY ST",,"BERKELEY","94705","9300","0","1,174","2314 WOOLSEY ST BERKELEY 94705","-122.26103804","37.85273147","016 142202400","565,001.5682","4,189,727.5804","565,016.1587","4,189,737.8828"
"2312","MULTIPOLYGON (((-122.26110576494261 37.85268546938844, -122.26125272920763 37.852666325094134, -122.26126061723821 37.85270454708409, -122.26126767040256 37.852738722433635, -122.26112070703476 37.85275787666565, -122.26111354663723 37.852723176983034, -122.26110576494261 37.85268546938844)))","2004-05-10","16-1422-26","WOOLSEY ST",,"BERKELEY","94705","1100","1,268","7,148","2312 WOOLSEY ST BERKELEY 94705","-122.26118672","37.8527121","016 142202600","564,988.656","4,189,725.354","565,002.9463","4,189,735.6037"
"2308","MULTIPOLYGON (((-122.26142146498478 37.852718680730426, -122.26126767040256 37.852738722433635, -122.26126061723821 37.85270454708409, -122.26125272920763 37.852666325094134, -122.26140653149129 37.85264629427343, -122.26141280717341 37.852676714454, -122.26142146498478 37.852718680730426)))","2004-05-10","16-1422-28","WOOLSEY ST",,"BERKELEY","94705","7200","2,770","1,148","2308 WOOLSEY ST BERKELEY 94705","-122.2613371","37.85269251","016 142202800","564,975.1436","4,189,723.0245","564,990.034","4,189,733.3762"
"2304","MULTIPOLYGON (((-122.26140653149129 37.85264629427343, -122.2615569112635 37.85262670415201, -122.26156161484884 37.852649500334614, -122.2615718449996 37.85269908067806, -122.26142146498478 37.852718680730426, -122.26141280717341 37.852676714454, -122.26140653149129 37.85264629427343)))","2004-05-10","16-1422-30","WOOLSEY ST",,"BERKELEY","94705","1100","1,503","1,175","2304 WOOLSEY ST BERKELEY 94705","-122.26148919","37.85267269","016 142203000","564,961.9312","4,189,720.7463","564,976.5209","4,189,731.0455"
"2300","MULTIPOLYGON (((-122.2615569112635 37.85262670415201, -122.2617136999805 37.852606280667636, -122.26171672666102 37.85262113133818, -122.26172846437497 37.85267866963234, -122.2615718449996 37.85269908067806, -122.26156161484884 37.852649500334614, -122.2615569112635 37.85262670415201)))","2004-05-10","16-1422-32","WOOLSEY ST",,"BERKELEY","94705","1100","1,687","1,204","2300 WOOLSEY ST BERKELEY 94705","-122.26164273","37.85265268","016 142203200","564,948.1706","4,189,718.3712","564,963.3085","4,189,728.7662"
"2400","MULTIPOLYGON (((-122.25791566902711 37.85309720632792, -122.25822241189539 37.853056477231036, -122.2582243608257 37.85306560339062, -122.25823140818707 37.85309897312116, -122.25792464353289 37.853139703905775, -122.25791566902711 37.85309720632792)))","2004-05-10","16-1414-43","WOOLSEY ST",,"BERKELEY","94705","1100","1,998","1,412","2400 WOOLSEY ST BERKELEY 94705","-122.25807354","37.85309809","016 141404300","565,255.4519","4,189,770.7557","565,283.2303","4,189,780.198"
