apn,recordid,busdesc,b1_per_sub_type,dba,naics,tax_code,employee_num,bus_own_type,b1_business_name,b1_address1,b1_city,b1_state,b1_zip,b1_contact_type,b1_full_address,b1_situs_city,b1_situs_state,b1_situs_zip
056 198302300,BL-022398,SIGN/LETTERING SHOP,Professional SemiProfessional,DEAN'S SIGNS,541890 - Other Services Related to Advertising,P,0,Sole Ownership,DEAN'S SIGNS,2295 SAN PABLO AVE,BERKELEY,CA,94702-1871,Business Owner,2295 SAN PABLO Ave,BERKELEY,CA,94702
057 203001000,BL-022671,DELI,Retail Trade,E Z STOP DELI,711110 - Theater Companies and Dinner Theaters,R,5,Corporation,E Z STOP DELI,2233 SHATTUCK AVE,BERKELEY,CA,94704,Business Owner,2233 SHATTUCK AVE,BERKELEY,CA,94704
052 153100900,BL-049175,ARCHITECTURE OFFICE,Professional SemiProfessional,GHA/GEOFFREY HOLTON AND ASSOC,541310 - Architectural Services,P,1,Sole Ownership,GHA/GEOFFREY HOLTON AND ASSOC,1743 ALCATRAZ AVE,BERKELEY,CA,94703-2741,Business Owner,1743 ALCATRAZ AVE,BERKELEY,CA,94703
ZZZZZZZZZZZZZ,BL-013782,TELECOM SERVICES,Business Personal Repair Svs,LIVELY,561990 - All Other Support Services,B,0,Corporation,LIVELY,242 RANGELINE RD,LONGWOOD,FL,32750-4035,Business Owner,0 VARIOUS,BERKELEY,CA,94704
052 156300500,BL-050197,BOOKSTORE,Retail Trade,ESCAPIST COMIC BOOKSTORE,451211 - Book Stores,R,6,Corporation,ESCAPIST COMIC BOOKSTORE,3090 CLAREMONT AVE,BERKELEY,CA,94705,Business Owner,3090 CLAREMONT AVE,BERKELEY,CA,94705
055 187601100,BL-018259,BEVERAGE,Retail Trade,TP TEA,722513 - Limited-Service Restaurants,R,17,LLC,TP TEA,2383 TELEGRAPH AVE,BERKELEY,CA,947041615,Business Owner,2383 TELEGRAPH Ave,BERKELEY,CA,94704
055 187902203,BL-008410,FLOWER STAND,Retail Trade,MOE'S FLOWER,453110 - Florists,R,1,Sole Ownership,MOE'S FLOWER,PO BOX 4632,BERKELEY,CA,94704-0632,Business Owner,2450 DURANT AVE,BERKELEY,CA,94720
063 298001300,BL-012694,TECHNICAL CONSULTING,Professional SemiProfessional,SYNCHRODESIGN INC,541710,P,4,Corporation,SYNCHRODESIGN INC,36 FAIRLAWN DR,BERKELEY,CA,94708,Business Owner,1087 KEELER AVE,BERKELEY,CA,94708
064 423500501,BL-038159,HOME FURNISHINGS,Retail Trade,ELLINGTON & FRENCH LLC,442110 - Furniture Stores,R,4,LLC,ELLINGTON & FRENCH LLC,2536 MCGEE AVENUE,BERKELEY,CA,94703,Business Owner,2942 DOMINGO AVE,BERKELEY,CA,94705
055 187601302,BL-018788,SPORTS BAR & GRILL,Retail Trade,CALI'S SPORTS BAR,722511 - Full-Service Restaurants,R,25,LLC,CALI'S SPORTS BAR,2367 TELEGRAPH AVE,BERKELEY,CA,94704-1615,Business Owner,2367 TELEGRAPH Ave,BERKELEY,CA,94704
