source_record_key,grounded_count,convention,source_document,source_ref,corroboration,adjudicated,note
B2021-03302,69,dwelling,"proj179 plan set 2019-08-26, sheet A.08 'Proposed Project — Logan Park' PHASE II UNIT MIX (21x1BR+42x2BR+6x3BR)","v2 documents id 2138; https://pub-2cee87f70da64080ab70ee0a34b55099.r2.dev/architect_plans/proj179_2352-shattuck_2019-08-26.pdf","CPRA NumberUnits=69 (structured field); v2 June-4 fix (docs/audit/2026-06-04_logan_south_and_1367univ_fixes.md) 'permit-stated, not CKAN-derived'",2026-07-02,"Phase II South Building completion (finaled 2023-08-08). Grounded at the COMPLETION event only (count-once at completion); the issued event stays unpromoted (BP side deliberately untouched — coverage-limited anyway). Resolution of the largest +147 held item; audit docs/audit/2026-07-02_147_harvest_findings.md"
B2019-05574,135,dwelling,"proj179 plan set 2019-08-26, sheet A.08 PHASE I (North) UNIT MIX (6 studio+37x1BR+86x2BR+6x3BR=135)","v2 documents id 2138; https://pub-2cee87f70da64080ab70ee0a34b55099.r2.dev/architect_plans/proj179_2352-shattuck_2019-08-26.pdf","CPRA NumberUnits=135 (structured field). Supersedes the stale 'North=168' June-28 note (doc-content-over-notes)",2026-07-02,"Logan Park NORTH Building completion (Phase II of II superstructure, finaled 2022-01-14). Phase I (B2019-03704) stays subsidiary-uncounted. This was the bulk of the ~-150 residual. NumberUnits Stage-1 pass; audit docs/audit/2026-07-02_147_harvest_findings.md"
B2015-02998,35,dwelling,"the permit's own WorkDescription: 'ACHESON BLDG B: NEW 6 STORY, 32,673 SFT. BUILDING ... 35 NEW RES UNIT' (the C2 count-from-description method; role was ambiguous so C2's new_unit filter never saw it)","CPRA WorkDescription (primary)","CPRA NumberUnits=35; siblings pattern (Bldg C 65 + Bldg D 68 counted, NumberUnits matches on both)",2026-07-02,"Acheson Commons Building B (2145 University, finaled 2022-10-20; the re-platted-APN complex). NumberUnits Stage-1 pass"
B2018-03422,55,co_living_apartments,"CPRA NumberUnits=55 (permit-stated structured field; the June-4 v2 precedent class). Convention settled 2026-07-02 by operator evidence: in-unit kitchens confirmed -> the units are DWELLING units (co-living apartments rented by the bed), not group-living sleeping rooms","CPRA permit record B2018-03422","Operator (Greystar, 'Enclave Apartments'): 55 units / 12 layouts / 2-7 students each / ~254 beds; the axes reconcile exactly: 55 apartments x ~3.5 bedrooms = ~193 bedrooms (the 2016 plan's '193 rooms') = 254 beds with doubles; ZAB 2018 approved 254 beds. CIC session 2026-07-02",2026-07-02,"'Enclave Apartments' (development-era name El Jardin / The Enclave Dormitory), 2501-09 Haste / 2433 Telegraph, finaled 2020-08-06. Zoning label GLA but physically kitchened apartments = dwelling units; convention_dependent. NOT UC-exempt (city-permitted; UC affiliation is financial-aid classification only). Phases B2018-02244/B2018-02708 stay subsidiary-uncounted"
"B2016-03148","6","dwelling","CPRA WorkDescription: ""MEP permits issued. Convert existing second floor office space into (6) residential dwelling units.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2002 ADDISON"
"B2017-04979","1","dwelling","CPRA WorkDescription: ""Lift existing residence 3' to convert existing basement to conditioned space 318 sq. ft., construct addition 261 sq. ft. rear addition, and ""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1157 FRANCISCO"
"B2018-02604","2","dwelling","CPRA WorkDescription: ""Residential addition to raise (E) structures to create 2 new lower level 800 SF each units. Change of Occupancy from R3 (2-unit) to R2 (4-un""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1506 BONITA"
"B2017-05297","1","dwelling","CPRA WorkDescription: ""Building a new house 2107sqft""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 912 CEDAR"
"B2016-02794","1","dwelling","CPRA WorkDescription: ""*** 9/20/16 Owner pulled Elec Permit for Temp power pole Construct new 1487 SQ Ft 3-story house. Address to be 802 Page St.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 812 PAGE"
"B2019-05321","2","dwelling","CPRA WorkDescription: ""Conversion of existing former retail space to two residential studio apartments. Existing mixed use building with 44 dwelling units""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1812 UNIVERSITY"
