page,apn_norm,address,co_date,co_units
20,055181900102,2628 Shattuck,2/3/2021,78
20,057201602000,1812 University,8/31/2021,44
20,055187500800,2510 Channing,10/25/2021,36
20,055183700300,2597 Telegraph,11/10/2021,14
20,052154503100,1632 Prince,12/19/2021,7
20,055186401000,2813 Channing,5/28/2021,3
20,055186401000,2815 CHANNING,5/28/2021,3
20,055186401000,2813 CHANNING,5/28/2021,2
20,052152701100,1811 SIXTY-THIRD,9/16/2021,2
1,,,,1
20,053159400300,2031 Prince,5/28/2021,1
20,0602482010000,QUEENS,12:00:00,1
20,060246906903,SHASTA,12:00:00,1
20,060246906800,SHASTA,12:00:00,1
20,058224211501,BUENA VISTA,12:00:00,1
20,058212401600,NINTH,12:00:00,1
20,057206701700,SACRAMENTO,12:00:00,1
20,060249402001,GRIZZLY PEAK,12:00:00,1
20,060242901800,MONTEREY,12:00:00,1
20,059232500600,FIFTH,12:00:00,1
20,057201502200,GRANT,12:00:00,1
20,059232500600,FIFTH,12:00:00,1
20,055186300901,PROSPECT,12:00:00,1
20,058212102200,SEVENTH,12:00:00,1
20,052152701100,SIXTY-THIRD,12:00:00,1
20,059232500605,FIFTH,12:00:00,1
20,056193702300,EIGHTH,12:00:00,1
20,059232500605,FIFTH,12:00:00,1
20,060243600100,1624 POSEN,12:00:00,1
20,059225202500,1505 ARCH,12:00:00,1
20,060246901800,50 NORTHGATE,12:00:00,1
20,059228903900,1611 STANNAGE,12:00:00,1
20,054179402700,1440 PARKER,12:00:00,1
20,052143802900,1522 ALCATRAZ,12:00:00,1
20,059225600600,1510 SPRUCE,12:00:00,1
20,064424000200,59 THE PLAZA,12:00:00,1
20,055188600300,2314 ELLSWORTH,12:00:00,1
20,059227000600,1414 M L KING JR,12:00:00,1
20,058215903300,1730 FRANCISCO,12:00:00,1
20,062292302400,584 ARLINGTON,12:00:00,1
20,053161201800,1505 TYLER,12:00:00,1
20,061261102300,929 COLUSA,12:00:00,1
20,060247801400,1442 CAMPUS,12:00:00,1
20,052156310100,3109 LEWISTON,12:00:00,1
20,054172901700,1711 STUART,12:00:00,1
20,060245100900,1316 MILVIA,12:00:00,1
20,053167302600,1610 OREGON,12:00:00,1
20,060242301800,1315 ORDWAY,12:00:00,1
20,052151902200,1412 HARMON,12:00:00,1
20,052151902200,1412 HARMON,12:00:00,1
20,054179002500,1334 BLAKE,12:00:00,1
20,061255902000,1015 MARIPOSA,12:00:00,1
20,059228500600,1414 HOLLY,12:00:00,1
20,060240900902,1222 EVELYN,12:00:00,1
20,058218300300,1612 SPRUCE,12:00:00,1
20,059227702200,1512 NORTH,12:00:00,1
20,061255901500,1039 MARIPOSA,12:00:00,1
20,058212000600,1628 SEVENTH,12:00:00,1
20,056192600300,2310 CURTIS,12:00:00,1
20,053162400600,3020 ACTON,12:00:00,1
20,059224801400,1445 EUCLID,12:00:00,1
20,061256200700,1132 AMADOR,12:00:00,1
20,056197102400,2117 EIGHTH,12:00:00,1
20,060241501700,1227 NEILSON,12:00:00,1
20,052151504600,1248 HASKELL,12:00:00,1
20,054173300700,2748 CALIFORNIA,12:00:00,1
20,055190302300,2425 GRANT,12:00:00,1
20,054179702401,1536 DWIGHT,12:00:00,1
20,060239801300,1423 STANNAGE,12:00:00,1
20,057208100700,1284 HEARST,12:00:00,1
21,061260900700,1112 FRESNO,12:00:00,1
21,057206300700,1839 BERKELEY,12:00:00,1
21,052156400400,2847 PRINCE,12:00:00,1
21,052156307200,3130 LEWISTON,12:00:00,1
21,057203000200,2116 ALLSTON,12:00:00,1
21,053158802000,2911 LORINA,12:00:00,1
21,056194102100,2317 SIXTH,12:00:00,1
21,055191203100,2335 CALIFORNIA,12:00:00,1
21,061260902300,1107 COLUSA,12:00:00,1
21,054172701000,1821 WARD,12:00:00,1
21,053169700800,2820 PIEDMONT,12:00:00,1
21,054172002900,2148 WARD,12:00:00,1
21,060245301800,1315 MILVIA,12:00:00,1
21,055182601100,2131 DERBY,12:00:00,1
21,059228603900,1535 JUANITA,12:00:00,1
21,058214101000,1335 DELAWARE,12:00:00,1
21,058212501300,1626 TENTH,12:00:00,1
21,053159802700,2921 OTIS,12:00:00,1
21,061255801200,1118 OXFORD,12/3/2021,1
21,059233801000,1420 FIFTH,12/9/2021,1
21,059233601400,831 PAGE,12/1/2021,1
21,057201802700,2223 MCKINLEY,12/9/2021,1
21,060246605900,2207 ROSE,12/22/2021,1
21,060240800500,1206 TALBOT,12/22/2021,1
21,058216401000,1614 GRANT,12/17/2021,1
