apn_norm,address,pdf_co,ckan_co,status
055187701902,2580 Bancroft,,122,CKAN_ONLY
052155001300,1821 Woolsey,,1,CKAN_ONLY
052155901200,2417 Woolsey,,1,CKAN_ONLY
052156202300,2629 Woolsey,,1,CKAN_ONLY
052156902400,2911 Hillegass,,1,CKAN_ONLY
053160002700,2915 Harper,,1,CKAN_ONLY
053167301200,1625 Russell,,1,CKAN_ONLY
054173901700,1307 Ward,,1,CKAN_ONLY
054174207200,2725 Mathews,,1,CKAN_ONLY
054178301300,1315 Blake,,1,CKAN_ONLY
054178701000,1209 Derby,,1,CKAN_ONLY
054178701600,1204 Carleton,,1,CKAN_ONLY
054179702300,1534 Dwight,,1,CKAN_ONLY
055189900400,1943 Haste,,1,CKAN_ONLY
056193202300,2407 Tenth,,1,CKAN_ONLY
056193302100,1031 Channing,,1,CKAN_ONLY
056196901600,2236 Eighth,,1,CKAN_ONLY
057206602700,1620 Delaware,,1,CKAN_ONLY
057209500400,840 Delaware,,1,CKAN_ONLY
058216702200,1814 Virginia,,1,CKAN_ONLY
059227801500,1628 Jaynes,,1,CKAN_ONLY
059228403700,1595 Holly,,1,CKAN_ONLY
059231502700,1526 Sixth,,1,CKAN_ONLY
060243600700,1212 Colusa,,1,CKAN_ONLY
060248201000,0 Queens,,1,CKAN_ONLY
061260801100,1775 Sonoma,,1,CKAN_ONLY
062286902500,773 Neilson,,1,CKAN_ONLY
062291101100,1854 San Ramon,,1,CKAN_ONLY
057201602000,1812 University,44,,PDF_ONLY
055187500800,2510 Channing,36,,PDF_ONLY
0602482010000,QUEENS,1,,PDF_ONLY
NOAPN:,,1,,PDF_ONLY
055183700300,2597 Telegraph,14,10,DISAGREE
055186401000,2813 Channing,8,2,DISAGREE
052154503100,1632 Prince,7,1,DISAGREE
052152701100,SIXTY-THIRD,3,2,DISAGREE
052151902200,1412 HARMON,2,1,DISAGREE
057203000200,2116 ALLSTON,1,2,DISAGREE
059232500600,FIFTH,2,1,DISAGREE
059232500605,FIFTH,2,1,DISAGREE
055181900102,2628 Shattuck,78,78,AGREE
052143802900,1522 ALCATRAZ,1,1,AGREE
052151504600,1248 HASKELL,1,1,AGREE
052156307200,3130 LEWISTON,1,1,AGREE
052156310100,3109 LEWISTON,1,1,AGREE
052156400400,2847 PRINCE,1,1,AGREE
053158802000,2911 LORINA,1,1,AGREE
053159400300,2031 Prince,1,1,AGREE
053159802700,2921 OTIS,1,1,AGREE
053161201800,1505 TYLER,1,1,AGREE
053162400600,3020 ACTON,1,1,AGREE
053167302600,1610 OREGON,1,1,AGREE
053169700800,2820 PIEDMONT,1,1,AGREE
054172002900,2148 WARD,1,1,AGREE
054172701000,1821 WARD,1,1,AGREE
054172901700,1711 STUART,1,1,AGREE
054173300700,2748 CALIFORNIA,1,1,AGREE
054179002500,1334 BLAKE,1,1,AGREE
054179402700,1440 PARKER,1,1,AGREE
054179702401,1536 DWIGHT,1,1,AGREE
055182601100,2131 DERBY,1,1,AGREE
055186300901,PROSPECT,1,1,AGREE
055188600300,2314 ELLSWORTH,1,1,AGREE
055190302300,2425 GRANT,1,1,AGREE
055191203100,2335 CALIFORNIA,1,1,AGREE
056192600300,2310 CURTIS,1,1,AGREE
056193702300,EIGHTH,1,1,AGREE
056194102100,2317 SIXTH,1,1,AGREE
056197102400,2117 EIGHTH,1,1,AGREE
057201502200,GRANT,1,1,AGREE
057201802700,2223 MCKINLEY,1,1,AGREE
057206300700,1839 BERKELEY,1,1,AGREE
057206701700,SACRAMENTO,1,1,AGREE
057208100700,1284 HEARST,1,1,AGREE
058212000600,1628 SEVENTH,1,1,AGREE
058212102200,SEVENTH,1,1,AGREE
058212401600,NINTH,1,1,AGREE
058212501300,1626 TENTH,1,1,AGREE
058214101000,1335 DELAWARE,1,1,AGREE
058215903300,1730 FRANCISCO,1,1,AGREE
058216401000,1614 GRANT,1,1,AGREE
058218300300,1612 SPRUCE,1,1,AGREE
058224211501,BUENA VISTA,1,1,AGREE
059224801400,1445 EUCLID,1,1,AGREE
059225202500,1505 ARCH,1,1,AGREE
059225600600,1510 SPRUCE,1,1,AGREE
059227000600,1414 M L KING JR,1,1,AGREE
059227702200,1512 NORTH,1,1,AGREE
059228500600,1414 HOLLY,1,1,AGREE
059228603900,1535 JUANITA,1,1,AGREE
059228903900,1611 STANNAGE,1,1,AGREE
059233601400,831 PAGE,1,1,AGREE
059233801000,1420 FIFTH,1,1,AGREE
060239801300,1423 STANNAGE,1,1,AGREE
060240800500,1206 TALBOT,1,1,AGREE
060240900902,1222 EVELYN,1,1,AGREE
060241501700,1227 NEILSON,1,1,AGREE
060242301800,1315 ORDWAY,1,1,AGREE
060242901800,MONTEREY,1,1,AGREE
060243600100,1624 POSEN,1,1,AGREE
060245100900,1316 MILVIA,1,1,AGREE
060245301800,1315 MILVIA,1,1,AGREE
060246605900,2207 ROSE,1,1,AGREE
060246901800,50 NORTHGATE,1,1,AGREE
060246906800,SHASTA,1,1,AGREE
060246906903,SHASTA,1,1,AGREE
060247801400,1442 CAMPUS,1,1,AGREE
060249402001,GRIZZLY PEAK,1,1,AGREE
061255801200,1118 OXFORD,1,1,AGREE
061255901500,1039 MARIPOSA,1,1,AGREE
061255902000,1015 MARIPOSA,1,1,AGREE
061256200700,1132 AMADOR,1,1,AGREE
061260900700,1112 FRESNO,1,1,AGREE
061260902300,1107 COLUSA,1,1,AGREE
061261102300,929 COLUSA,1,1,AGREE
062292302400,584 ARLINGTON,1,1,AGREE
064424000200,59 THE PLAZA,1,1,AGREE
