id,address,apn,permits,net_units,vli_units,status,app_filed_date,app_complete_date,entitled_date,bp_issued_date,co_date,density_bonus,sb35_flag,sb330_flag,ab2011_flag,developer,architect,construction_status,milestone_achieved
179,2352 Shattuck Ave,,,237,0,completed,2019-12-20,,2019-10-24,2020-09-10,2022-01-14,,,,,,,,CO Issued
901,2012 BERKELEY Way,,,142,0,completed,,,,,2022-09-23,,,,,,,,CO Issued
899,2035 BLAKE St,,,82,0,completed,,,,,2022-04-20,,,,,,,,CO Issued
902,2111 UNIVERSITY AVE,,,68,0,completed,,,,,2022-03-04,,,,,,,,CO Issued
904,1601 OXFORD St,,,37,0,completed,,,,,2022-03-09,,,,,,,,CO Issued
900,2145 UNIVERSITY AVE,,,35,0,completed,,,,,2022-10-20,,,,,,,,CO Issued
905,2340 FIFTH St,,,14,0,completed,,,,,2022-05-13,,,,,,,,CO Issued
828,0 LATHAM,,,2,0,completed,,,,,2022-08-08,,,,,,,,CO Issued
841,3353 M L KING JR,,,2,0,completed,,,,,2022-09-28,,,,,,,,CO Issued
864,1677 ARCH,,,2,0,completed,,,,,2022-04-20,,,,,,,,CO Issued
220,1027 BANCROFT Way,,,1,0,completed,,,,,2022-07-08,,,,,,,,CO Issued
426,1825 Berkeley (1),,,1,0,completed,,,,,2022-03-11,,,,,,,,CO Issued
807,2801 COLLEGE,,,1,0,completed,,,,,2022-07-28,,,,,,,,CO Issued
808,828 CHANNING,,,1,0,completed,,,,,2022-04-25,,,,,,,,CO Issued
809,2321 CALIFORNIA,,,1,0,completed,,,,,2022-01-19,,,,,,,,CO Issued
810,1255 MONTEREY,,,1,0,completed,,,,,2022-12-08,,,,,,,,CO Issued
811,1208 PERALTA,,,1,0,completed,,,,,2022-01-21,,,,,,,,CO Issued
812,1639 JULIA,,,1,0,completed,,,,,2022-06-16,,,,,,,,CO Issued
813,1530 LINCOLN,,,1,0,completed,,,,,2022-08-15,,,,,,,,CO Issued
814,1279 ALCATRAZ,,,1,0,completed,,,,,2022-03-31,,,,,,,,CO Issued
815,1879 CATALINA,,,1,0,completed,,,,,2022-03-10,,,,,,,,CO Issued
816,2823 CHERRY,,,1,0,completed,,,,,2022-12-06,,,,,,,,CO Issued
817,1516 WARD,,,1,0,completed,,,,,2022-05-06,,,,,,,,CO Issued
818,1815 SIXTY-SECOND,,,1,0,completed,,,,,2022-10-20,,,,,,,,CO Issued
820,1407 KAINS,,,1,0,completed,,,,,2022-01-12,,,,,,,,CO Issued
821,1431 ACTON,,,1,0,completed,,,,,2022-01-13,,,,,,,,CO Issued
822,1631 CHANNING,,,1,0,completed,,,,,2022-08-26,,,,,,,,CO Issued
823,1428 CORNELL,,,1,0,completed,,,,,2022-07-12,,,,,,,,CO Issued
824,1116 THE ALAMEDA,,,1,0,completed,,,,,2022-04-18,,,,,,,,CO Issued
825,1433 ADA,,,1,0,completed,,,,,2022-12-29,,,,,,,,CO Issued
826,1725 HOPKINS,,,1,0,completed,,,,,2022-07-20,,,,,,,,CO Issued
827,1259 CORNELL,,,1,0,completed,,,,,2022-08-11,,,,,,,,CO Issued
829,2312 ROSE,,,1,0,completed,,,,,2022-06-29,,,,,,,,CO Issued
830,935 DELAWARE,,,1,0,completed,,,,,2022-08-16,,,,,,,,CO Issued
831,1332 OXFORD,,,1,0,completed,,,,,2022-01-24,,,,,,,,CO Issued
832,40 HILLCREST,,,1,0,completed,,,,,2022-12-20,,,,,,,,CO Issued
834,2543 PIEDMONT,,,1,0,completed,,,,,2022-04-13,,,,,,,,CO Issued
835,2949 SHASTA,,,1,0,completed,,,,,2022-07-25,,,,,,,,CO Issued
836,1306 CORNELL,,,1,0,completed,,,,,2022-06-14,,,,,,,,CO Issued
837,772 PERALTA,,,1,0,completed,,,,,2022-05-16,,,,,,,,CO Issued
838,2014 LOS ANGELES,,,1,0,completed,,,,,2022-08-22,,,,,,,,CO Issued
839,2662 HILGARD,,,1,0,completed,,,,,2022-04-29,,,,,,,,CO Issued
840,1130 CHAUCER,,,1,0,completed,,,,,2022-09-08,,,,,,,,CO Issued
842,1275 HEARST,,,1,0,completed,,,,,2022-12-07,,,,,,,,CO Issued
843,994 WILDCAT CANYON,,,1,0,completed,,,,,2022-06-13,,,,,,,,CO Issued
844,2408 EDWARDS,,,1,0,completed,,,,,2022-10-07,,,,,,,,CO Issued
845,30 EL CAMINO REAL,,,1,0,completed,,,,,2022-01-06,,,,,,,,CO Issued
846,2322 WARD,,,1,0,completed,,,,,2022-09-29,,,,,,,,CO Issued
847,1262 FRANCISCO,,,1,0,completed,,,,,2022-07-22,,,,,,,,CO Issued
848,1623 RUSSELL,,,1,0,completed,,,,,2022-08-04,,,,,,,,CO Issued
849,1859 YOSEMITE,,,1,0,completed,,,,,2022-03-08,,,,,,,,CO Issued
851,1403 PARKER,,,1,0,completed,,,,,2022-09-29,,,,,,,,CO Issued
853,1516 CARLETON (Unit C),,,1,0,completed,,,,,2022-06-09,,,,,,,,CO Issued
854,1632 STUART,,,1,0,completed,,,,,2022-06-22,,,,,,,,CO Issued
855,8 MAYBECK TWIN,,,1,0,completed,,,,,2022-03-30,,,,,,,,CO Issued
