id,address,apn,permits,net_units,vli_units,status,app_filed_date,app_complete_date,entitled_date,density_bonus,sb35_flag,sb330_flag,ab2011_flag,developer,architect
120,2274 SHATTUCK Ave,057 202800300,"ZP2023-0079,B2004-04338",227.0,0.0,Entitled,2023-06-29,2024-01-04,2025-04-22,1,1,1,1,Panoramic Interests,Trachtenberg Architects
126,2427 San Pablo,056192802200,"ZP2022-0115,B2017-01477",78.0,0.0,Stalled,2022-10-05,2024-02-06,2024-09-16,1,1,1,1,,Studio KDA
116,2462 BANCROFT Way,055 187802000,ZP2023-0107,66.0,3.0,Stalled,2023-08-18,2024-02-15,2024-07-01,1,1,1,1,,Studio KDA
129,1614 Sixth St,,"ZP2024-0008,B2023-05397",3.0,0.0,Stalled,2024-01-25,2024-02-22,2024-10-17,1,1,1,1,,
128,2833 Seventh St,,"ZP2023-0123,B2015-04143",3.0,0.0,Stalled,2023-09-21,2024-02-26,2024-05-07,1,1,1,1,,
130,1048 Keith St,,ZP2024-0014,,0.0,Entitled,2024-02-08,2024-02-29,2025-06-04,1,1,1,1,,
122,2530 BANCROFT Way,055 187701601,"ZP2023-0126,B2024-02577",110.0,11.0,Stalled,2024-03-12,2024-03-12,2024-12-27,1,1,1,1,Landmark Properties,
123,2037 DURANT Ave,055 189400200,"ZP2023-0064,B2002-04372",74.0,4.0,Stalled,2024-03-29,2024-03-29,2024-06-19,1,1,1,1,,Studio KDA
17,2109 MILVIA St,057 202301601,"ZP2023-0099,B2005-02350",105.0,0.0,Under Review,2023-09-13,2024-04-11,,1,1,1,1,,
119,1974 SHATTUCK Ave,057 205300200,"ZP2023-0040,B2014-04534",599.0,0.0,Entitled,2023-04-25,2024-04-11,2025-06-03,1,1,1,1,NX Ventures,
48,2317 CHANNING Way,055 188400600,PLN2024-0018,5.0,0.0,Under Review,2024-03-29,2024-04-18,,1,1,1,1,,
117,2317 CHANNING Way,055 188400600,"B2022-04242, ZP2024-0033",17.0,0.0,Entitled,2024-03-29,2024-04-18,,1,1,1,1,,
34,2680 BANCROFT Way,055 187100103,"ZP2023-0096, ZP2024-0029,B2015-02469",37.0,0.0,Entitled,2024-03-19,2024-04-30,2025-06-13,1,1,1,1,,
36,2733 SAN PABLO Ave,054 174203200,ZP2023-0090,32.0,0.0,Under Review,2023-09-18,2024-05-09,,1,1,1,1,NX Ventures,Trachtenberg Architects
121,2100 MILVIA St,057 202201701,"ZP2023-0163,B2005-02405",201.0,0.0,Entitled,2023-12-20,2024-05-17,2025-07-01,1,1,1,1,4Terra Investments,Trachtenberg Architects
66,2204 DWIGHT Way,055 183001600,ZP2024-0059,2.0,0.0,Under Review,2024-06-06,2024-06-06,,1,1,1,1,,
15,2109 VIRGINIA St,058 217801800,ZP2024-0066,131.0,0.0,Entitled,2024-07-03,2024-07-03,2026-02-26,1,1,1,1,Panoramic Interests,Trachtenberg Architects
18,2655 SHATTUCK Ave,055 182601802,"ZP2024-0057,B2012-04345",97.0,0.0,Entitled,2024-06-12,2024-08-19,2025-08-14,1,1,1,1,,
22,2955 SHATTUCK Ave,053 158901801,ZP2024-0071,74.0,0.0,Under Review,2024-07-03,2024-08-21,,1,1,1,1,,
41,2147 SAN PABLO Ave,056 198304201,ZP2024-0096,15.0,0.0,Entitled,2024-07-17,2024-08-28,2025-09-09,1,1,1,1,,
29,2138 KITTREDGE St,057 202901500,PLN2024-0011,63.0,5.0,Entitled,2024-09-05,2024-09-05,2025-10-20,1,1,1,1,,
113,2138 KITTREDGE St,057 202901500,ZP2026-0006,73.0,0.0,Entitled,2024-09-05,2024-09-05,2025-10-20,1,1,1,1,,
118,2138 KITTREDGE St,057 202901500,"ZP2024-0114,B2025-02344,B2000-01042",66.0,5.0,Entitled,2024-09-05,2024-09-05,2025-10-20,1,1,1,1,,
19,2450 SHATTUCK Ave,055 189700600,ZP2024-0047,94.0,0.0,Under Review,2024-05-16,2024-09-06,,1,1,1,1,,
82,3035 COLBY St,052 157405200,"ZP2024-0112,B2025-05906",0.0,0.0,Entitled,2024-08-19,2024-09-16,,1,1,1,1,,
92,3036 REGENT St,052 157404601,ZP2024-0122,0.0,0.0,Under Review,2024-10-07,2024-10-07,,1,1,1,1,,
124,2442 HASTE St,055 188101800,"ZP2024-0070,B2025-03529,B2025-04761",38.0,2.0,Entitled,2024-07-03,2024-10-08,2025-09-08,1,1,1,1,,SDT Architects
3,2700 SHATTUCK Ave,054 172300100,ZP2024-0058,359.0,0.0,Under Review,2024-06-13,2024-10-10,,1,1,1,1,,Studio KDA
132,1627 Jaynes St,059227901600,"ZP2024-0129,B2025-04070,B2017-03727",,0.0,Entitled,2024-09-06,2024-10-18,2025-05-16,1,1,1,1,,
26,2298 DURANT Ave,055 188700100,"ZP2024-0126,B2025-05447",65.0,0.0,Under Review,2024-10-04,2024-10-21,,1,1,1,1,,
94,2145 GRANT St,057 201502200,"ZP2024-0138,B2019-01599",0.0,0.0,Entitled,2024-09-24,2024-10-24,2026-03-26,1,1,1,1,,
9,1899 OXFORD St,058 218101905,ZP2024-0075,212.0,0.0,Entitled,2024-07-03,2024-10-31,2026-02-11,1,1,1,1,,Studio KDA
11,1581 UNIVERSITY Ave,057 207100601,ZP2024-0074,158.0,0.0,Under Review,2024-07-12,2024-11-07,,1,1,1,1,,SDT Architects
20,2036 BANCROFT Way,055 189401704,ZP2024-0079,85.0,4.0,Under Review,2024-07-19,2024-11-15,,1,1,1,1,,
