id,address,net_units,status,developer,app_complete_date,entitled_date,bp_issued_date,accela_status_date
1,1750 SACRAMENTO St,739.0,Entitled,,,2026-03-03,,2026-03-03
119,1974 SHATTUCK Ave,599.0,Entitled,NX Ventures,2024-04-11,2025-06-03,,2025-06-03
2,2276 SHATTUCK Ave,336.0,Entitled,,2025-08-07,2025-12-04,,2025-12-23
5,2425 DURANT Ave,250.0,Entitled,Collabhome,2025-03-13,2025-10-09,,2025-12-26
6,2029 UNIVERSITY Ave,240.0,Entitled,,2025-06-03,2025-11-13,,2025-11-17
120,2274 SHATTUCK Ave,227.0,Entitled,Panoramic Interests,2024-01-04,2025-04-22,,2025-04-22
9,1899 OXFORD St,212.0,Entitled,,2024-10-31,2026-02-11,,2026-02-11
121,2100 MILVIA St,201.0,Entitled,4Terra Investments,2024-05-17,2025-07-01,,2025-07-01
15,2109 VIRGINIA St,131.0,Entitled,Panoramic Interests,2024-07-03,2026-02-26,,2026-02-26
18,2655 SHATTUCK Ave,97.0,Entitled,,2024-08-19,2025-08-14,,2025-08-14
113,2138 KITTREDGE St,73.0,Entitled,,2024-09-05,2025-10-20,,2025-10-20
118,2138 KITTREDGE St,66.0,Entitled,,2024-09-05,2025-10-20,,2025-10-20
29,2138 KITTREDGE St,63.0,Entitled,,2024-09-05,2025-10-20,,2025-10-20
34,2680 BANCROFT Way,37.0,Entitled,,2024-04-30,2025-06-13,,2025-06-13
124,2442 HASTE St,34.0,Entitled,,2024-10-08,2025-09-08,,2025-09-08
41,2147 SAN PABLO Ave,15.0,Entitled,,2024-08-28,2025-09-09,,2025-09-09
94,2145 GRANT St,0.0,Entitled,,2024-10-24,2026-03-26,,2026-03-26
132,1627 Jaynes St,,Entitled,,2024-10-18,2025-05-16,,2025-05-16
131,811 Cedar,,Entitled,,2024-12-19,2025-07-03,,2025-07-03
130,1048 Keith St,,Entitled,,2024-02-29,2025-06-04,,2025-06-04
