Project Address,APN,Permit Number,Net Units,VLI Units,Activity Type,Activity Date,Current Status
1974 SHATTUCK Ave,057 205300200,ZP2023-0040,599.0,0.0,Entitlement,2025-06-03,Approved
2276 SHATTUCK Ave,057 202800400,"LMSAP2024-0005, ZP2024-0067",336.0,0.0,Entitlement,2025-12-04,In Review
2425 DURANT Ave,055 187800701,"ZP2024-0162, PLN2024-0049",250.0,0.0,Entitlement,2025-10-09,Pending Final Action
2029 UNIVERSITY Ave,057 205300801,"ZP2024-0181, ZP2024-0182, PLN2024-0069, PLN2024-0070",240.0,0.0,Entitlement,2025-11-13,Pending Final Action
2274 SHATTUCK Ave,057 202800300,ZP2023-0079,227.0,0.0,Entitlement,2025-04-22,Approved
1598 UNIVERSITY Ave,056 200300100,TBD,207.0,21.0,Under Construction,,Under Construction
2100 MILVIA St,057 202201701,ZP2023-0163,201.0,0.0,Entitlement,2025-07-01,Approved
3000 SHATTUCK Ave,053 159200100,ZP2022-0046,166.0,17.0,Entitlement,2025-03-11,In Review
3030 TELEGRAPH Ave,052 157602701,TBD,144.0,0.0,Under Construction,,Under Construction
1701 SAN PABLO Ave,058 212701403,TBD,110.0,110.0,Under Construction,,Under Construction
2655 SHATTUCK Ave,055 182601802,ZP2024-0057,97.0,0.0,Entitlement,2025-08-14,Pending Final Action
2001 ASHBY Ave,053 159101803,TBD,87.0,86.0,Certificate of Occupancy,2025-06-01,Completed
2538 DURANT Ave,055 187602000,TBD,83.0,5.0,Under Construction,,Under Construction
2138 KITTREDGE St,057 202901500,ZP2026-0006,73.0,0.0,Entitlement,2025-10-20,Under Review
2138 KITTREDGE St,057 202901500,ZP2024-0114,66.0,5.0,Entitlement,2025-10-20,Approved
2138 KITTREDGE St,057 202901500,PLN2024-0011,63.0,5.0,Entitlement,2025-10-20,Under Review
2127 DWIGHT Way,055 189001201,TBD,58.0,8.0,Under Construction,,Under Construction
2902 ADELINE St,053 159800600,TBD,54.0,0.0,Under Construction,,Under Construction
2587 TELEGRAPH Ave,055 183901901,TBD,52.0,6.0,Under Construction,,Under Construction
1367 UNIVERSITY Ave,057 207300500,TBD,39.0,39.0,Certificate of Occupancy,2025-07-01,Completed
2680 BANCROFT Way,055 187100103,"ZP2023-0096, ZP2024-0029",37.0,0.0,Entitlement,2025-06-13,Approved
2403 SAN PABLO Ave,056 192800100,TBD,36.0,0.0,Under Construction,,Under Construction
2442 HASTE St,055 188101800,ZP2024-0070,34.0,2.0,Entitlement,2025-09-08,Approved
2147 SAN PABLO Ave,056 198304201,ZP2024-0096,15.0,0.0,Entitlement,2025-09-09,Pending Final Action
1048 Keith St,,ZP2024-0014,,0.0,Entitlement,2025-06-04,Approved
811 Cedar,,ZP2024-0116,,0.0,Entitlement,2025-07-03,Approved
1627 Jaynes St,059227901600,ZP2024-0129,,0.0,Entitlement,2025-05-16,Approved
