JURIS_NAME,CNTY_NAME,YEAR,PRIOR_APN,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,UNIT_CAT,TENURE,APP_SUBMIT_DT,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,ABOVE_MOD_INCOME,TOT_PROPOSED_UNITS,TOT_APPROVED_UNITS,TOT_DISAPPROVED_UNITS,APP_SUBMITTED_SB35,DENSITY_BONUS_RECEIVED,DENSITY_BONUS_APPROVED,APPLICATION_STATUS,NOTES
Berkeley,Alameda,2024,,,0 LE ROY Ave,,PLN2024-0024,SFD,Owner,,0,0,0,0,0,0,1,1,0,0,No,No,No,Pending,Desc: SB 9 Preliminary Eligibility Determination to construct a three-story single family residence with an attached 2 car garage.
Berkeley,Alameda,2024,,063 298803800,1136 KEITH Ave,,PLN2024-0047,2-4,Owner,,0,0,0,0,0,0,0,0,0,0,No,No,No,Pending,Desc: Pre-application to demolish the existing single-family dwelling and rebuild a new single-family dwelling; pursuant to Senate Bill (SB) 9. The proposal also includes a nonconforming addition that was a
Berkeley,Alameda,2024,,056 199300100,1312 ADDISON St,,ZP2024-0125,2-4,Owner,,0,0,0,0,0,0,0,0,0,0,No,No,No,Pending,Desc: Use Permit to construct a three-story major residential addition (700 square feet) to an existing duplex; above 14 feet (35 feet) in average building height; by expanding the existing third-story atti
Berkeley,Alameda,2024,,057 207100601,1581 UNIVERSITY Ave,,ZP2024-0074,5+,Renter,,0,0,0,0,0,0,158,158,0,0,No,Yes,Yes,Pending,"Desc: SB-330 Project - Demolition of 2 existing non-landmarked mixed-use structures and surface parking to  construct a new 88'6""; 7-story; 158-unit mixed-use housing development with 96;256 sq ft of new re"
Berkeley,Alameda,2024,,058 214901904,1750 SACRAMENTO St,,PLN2024-0010,5+,Renter,,0,0,0,0,0,0,739,739,0,0,No,No,No,Pending,Desc: AB 2011 Ministerial Application. The proposed project is a transit-oriented in-fill development of 13 mixed-use and multi-family residential buildings totaling approximately 769;300 SF and one wrap ga
Berkeley,Alameda,2024,,058 218101905,1899 OXFORD St,,ZP2024-0075,5+,Renter,,17,0,0,0,16,0,179,212,0,0,No,Yes,Yes,Pending,"Desc: SB-330 Project -  Use Permit to demolish a two-story multifamily building (8 units); merge two lots; and construct a 7-story; (78 feet; 9 inches in maximum height) mixed-use building with 94;140 resid | Extracted: VLI=17, LI=0, MOD=16"
Berkeley,Alameda,2024,,061 257401300,1939 MARIN Ave,,PLN2024-0061,ADU,Owner,,0,0,0,0,0,0,1,1,0,0,No,No,No,Pending,Desc: Payment of the City Arborist fees for the Building Permit B2024-02225 to add new detached Accessory Dwelling Unit and upgrade Main Electrical Service to 225 Amps.
Berkeley,Alameda,2024,,057 202502300,2009 ADDISON St,,ZP2024-0111,2-4,Owner,,0,0,0,0,0,0,0,0,0,0,No,No,No,Pending,Desc: Modify use permits ZP2018-0235 and ZP2017-0004 to allow a tourist hotel use in no more than nine existing apartments; and allow amplified live entertainment and group instruction in the ground floor s
Berkeley,Alameda,2024,,057 205300801,2029 UNIVERSITY Ave,,"ZP2024-0181, ZP2024-0182, PLN2024-0069, PLN2024-0070",5+,Renter,,0,0,0,0,0,0,240,240,0,0,No,Yes,Yes,Pending,"Desc: The project is the construction of a new 23-story (256'-0""); 240-unit housing development with 190;878_sf of new residential use and parking garage for up to 29 spaces. The project includes removal of"
Berkeley,Alameda,2024,,055 189401704,2036 BANCROFT Way,,ZP2024-0079,5+,Renter,,4,0,0,0,0,0,81,85,0,0,No,No,No,Pending,"Desc: SB-330 Project - Demolition of two existing landmarked buildings and a partial landmarked commercial office building to construct an 85'; 8-story; multi-family building.  Residential project will have | Extracted: VLI=4, LI=0, MOD=0"
Berkeley,Alameda,2024,,058 217801800,2109 VIRGINIA St,,ZP2024-0066,5+,Renter,,0,0,0,0,0,0,131,131,131,0,No,Yes,Yes,Approved,"Desc: Demolition of existing non-landmarked 2-story commercial structure and surface parking. Construction of a new 8-story(88'-4"" tall); 131-unit mixed-use housing development with 107;935sf of new residen"
Berkeley,Alameda,2024,,057 203000900,2115 KITTREDGE St,,ZP2024-0131,5+,Renter,,12,0,0,0,12,0,124,148,0,0,No,Yes,Yes,Pending,"Desc: Construction of a twenty-three-story building with a live performance theater and 148 dwelling units that will retain the original primary south facade of the building.  The density bonus project incl | Extracted: VLI=12, LI=0, MOD=12"
Berkeley,Alameda,2024,,057 202901500,2138 KITTREDGE St,,PLN2024-0011,5+,Renter,,5,0,0,0,0,0,58,63,0,0,No,Yes,Yes,Pending,"Desc: SB 330 Pre-Application to demolish an existing 3-unit residential building and construct an 8 story 42;951 square-foot residential building; Density Bonus Project with 66 units total; 5 VLI units | Extracted: VLI=5, LI=0, MOD=0"
Berkeley,Alameda,2024,,057 202901500,2138 KITTREDGE St,,ZP2024-0114,5+,Renter,,5,0,0,0,0,0,61,66,66,0,No,Yes,Yes,Approved,"Desc: 8-story; 66 units; 5 VLI; SB-330; density bonus | Extracted: VLI=5, LI=0, MOD=0"
Berkeley,Alameda,2024,,057 201502200,2145 GRANT St,,ZP2024-0138,2-4,Owner,,0,0,0,0,0,0,0,0,0,0,No,No,No,Pending,Desc: Use Permit with Public Hearing to construct a major residential addition (1;133 square feet) with an average height of 22 feet 10 inches by adding a second story to the front building within the nonco
Berkeley,Alameda,2024,,056 198304201,2147 SAN PABLO Ave,,ZP2024-0096,5+,Renter,,0,0,0,0,0,0,15,15,0,0,No,Yes,Yes,Pending,Desc: Use Permit Modification to modify approved Use Permit #ZP2022-0113; to increase the number of Group Living Accommodation (GLA) units from 128 to 141; increase the height from 70 feet to 75 feet; reduc
Berkeley,Alameda,2024,,055 183001400,2201 BLAKE St,,PLN2024-0013,2-4,Owner,,0,0,0,0,0,0,3,3,3,0,No,No,No,Approved,Desc: SB 330 Pre-App which includes a project scope of: (1)the construction of three units for a total of seven units on a landmarked lot -- Construction of a three story - 3;551 SF duplex; relocation of an
Berkeley,Alameda,2024,,055 183001600,2204 DWIGHT Way,,ZP2024-0059,2-4,Owner,,0,0,0,0,0,0,2,2,0,0,No,No,No,Pending,Desc: SB330. Demolish existing 1-story (4-car) garage and construct a new 3-story residential duplex.
Berkeley,Alameda,2024,,055 183001400,2205 BLAKE St,,PLN2024-0001,2-4,Owner,,0,0,0,0,0,0,3,3,0,0,No,No,No,Pending,Desc: Pre-application meeting for a proposal of a new 3-story duplex and new 371 sq ft residential unit at the rear of the sit at 2201/2205 Blake Street.  The existing property contains two landmarked Victo
Berkeley,Alameda,2024,,057 202800400,2276 SHATTUCK Ave,,ZP2024-0067,5+,Renter,,0,0,0,0,0,0,336,336,0,0,No,Yes,Yes,Pending,Desc: SB330 Preliminary Application: Retaining of the existing east and south facades of the existing morse block building; Reduction of existing 32;350 square feet of commercial space to 7;486 square feet;
Berkeley,Alameda,2024,,055 188700100,2298 DURANT Ave,,ZP2024-0126,5+,Renter,,0,0,0,0,0,0,65,65,0,0,No,Yes,Yes,Pending,"Desc: The proposed project entails the demolition of all existing buildings; merger of two lots; and construction of a new; 8-Story; 79;522sf; 91'-6"" tall building with 65 total units; 5 of which will be of"
Berkeley,Alameda,2024,,055 188400600,2317 CHANNING Way,,PLN2024-0018,5+,Renter,,0,0,0,0,0,0,5,5,0,0,No,No,No,Pending,Desc: The proposed project is a modification to approved UPPH - ZP2020-0090.  The modification includes raising the building out of the ground; increasing the max building height from 45' to 50'; increasing
Berkeley,Alameda,2024,,055 188400600,2317 CHANNING Way,,ZP2024-0033,5+,Renter,,0,0,0,0,0,0,22,22,22,0,No,No,No,Approved,Desc: Modification 17→22 units; 5-story residential
Berkeley,Alameda,2024,,055 188401600,2326 DURANT Ave,,PLN2024-0023,5+,Renter,,35,0,35,0,0,0,0,70,0,0,No,Yes,Yes,Pending,"Desc: Pre App requesting feedback on a project proposing a six-story; 70 unit development consisting of 100% affordable housing to low income households (80% AMI). Applicant would like to discuss the projec | Extracted: VLI=35, LI=35, MOD=0"
Berkeley,Alameda,2024,,055 190501200,2328 GRANT St,,PLN2024-0062,ADU,Owner,,0,0,0,0,0,0,1,1,0,0,No,No,No,Pending,Desc: Payment of the City Arborist fees for the Building Permit B2024-01452 to install an 800 SF; HUD-Approved Manufactured Accessory Dwelling Unit (ADU) on a permanent foundation.
