JURIS_NAME,CNTY_NAME,YEAR,PRIOR_APN,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,UNIT_CAT,TENURE,APP_SUBMIT_DT,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,ABOVE_MOD_INCOME,TOT_PROPOSED_UNITS,TOT_APPROVED_UNITS,TOT_DISAPPROVED_UNITS,APP_SUBMITTED_SB35,DENSITY_BONUS_RECEIVED,DENSITY_BONUS_APPROVED,APPLICATION_STATUS,PROJECT_TYPE,NOTES
BERKELEY,Alameda,2024,,058 214901904,"1750 SACRAMENTO St, BERKELEY, CA",,PLN2024-0010,5+,Renter,,0,0,0,0,0,0,739,739,0,0,AB 2011 (2022),No,No,Pending,Ministerial,
BERKELEY,Alameda,2024,,057 205300200,"1974 SHATTUCK Ave, BERKELEY, CA",,ZP2023-0040,5+,Renter,2024-04-11,0,0,0,0,0,0,599,599,599,0,None,Yes,Yes,Approved,Discretionary,
BERKELEY,Alameda,2024,,057 202800400,"2276 SHATTUCK Ave, BERKELEY, CA",,ZP2024-0067,5+,Renter,2025-10-30,0,0,0,0,0,0,336,336,0,0,None,Yes,Yes,Pending,Discretionary,
BERKELEY,Alameda,2024,,054 172300100,"2700 SHATTUCK Ave, BERKELEY, CA",,ZP2024-0058,5+,Renter,,0,0,0,0,0,0,276,276,0,0,None,No,No,Pending,Discretionary,
BERKELEY,Alameda,2024,,055 187800701,"2425 DURANT Ave, BERKELEY, CA",,ZP2024-0162,5+,Renter,2025-03-13,0,0,0,0,0,0,250,250,0,0,None,Yes,Yes,Pending,Discretionary,
BERKELEY,Alameda,2024,,057 205300801,"2029 UNIVERSITY Ave, BERKELEY, CA",,ZP2024-0181,5+,Renter,,0,0,0,0,0,0,240,240,0,0,None,Yes,Yes,Pending,Discretionary,
BERKELEY,Alameda,2024,,057 202800300,"2274 SHATTUCK Ave, BERKELEY, CA",,ZP2023-0079,5+,Renter,2024-01-04,0,0,0,0,0,0,227,227,227,0,None,Yes,Yes,Approved,Discretionary,
BERKELEY,Alameda,2024,,058 218101905,"1899 OXFORD St, BERKELEY, CA",,ZP2024-0075,5+,Renter,,17,0,0,0,16,0,187,220,0,0,None,Yes,Yes,Pending,Discretionary,
BERKELEY,Alameda,2024,,057 202201701,"2100 MILVIA St, BERKELEY, CA",,ZP2023-0163,5+,Renter,2024-05-17,0,0,0,0,0,0,201,201,201,0,None,No,No,Approved,Discretionary,
BERKELEY,Alameda,2024,,057 207100601,"1581 UNIVERSITY Ave, BERKELEY, CA",,ZP2024-0074,5+,Renter,,0,0,0,0,0,0,158,158,0,0,None,Yes,Yes,Pending,Discretionary,
BERKELEY,Alameda,2024,,057 203000900,"2115 KITTREDGE St, BERKELEY, CA",,ZP2024-0131,5+,Renter,,12,0,0,0,12,0,124,148,0,0,None,Yes,Yes,Pending,Discretionary,
BERKELEY,Alameda,2024,,056 198304201,"2147 SAN PABLO Ave, BERKELEY, CA",,ZP2024-0096,5+,Renter,,0,0,0,0,0,0,141,141,0,0,None,Yes,Yes,Pending,Discretionary,
BERKELEY,Alameda,2024,,053 168602000,"2847 SHATTUCK Ave, BERKELEY, CA",,ZP2022-0132,5+,Renter,,0,0,0,0,0,0,136,136,0,0,None,Yes,Yes,Pending,Discretionary,
BERKELEY,Alameda,2024,,058 217801800,"2109 VIRGINIA St, BERKELEY, CA",,ZP2024-0066,5+,Renter,,0,0,0,0,0,0,131,131,131,0,None,Yes,Yes,Approved,Discretionary,
BERKELEY,Alameda,2024,,054 174400700,"2720 SAN PABLO Ave, BERKELEY, CA",,ZP2023-0058,5+,Renter,,0,0,0,0,0,0,117,117,0,0,None,Yes,Yes,Pending,Discretionary,
BERKELEY,Alameda,2024,,055 187701601,"2530 BANCROFT Way, BERKELEY, CA",,ZP2023-0126,5+,Renter,2024-03-12,0,0,0,0,0,0,110,110,110,0,None,Yes,Yes,Approved,Discretionary,
BERKELEY,Alameda,2024,,055 182601802,"2655 SHATTUCK Ave, BERKELEY, CA",,ZP2024-0057,5+,Renter,,10,0,0,0,0,0,87,97,0,0,None,No,No,Pending,Discretionary,
BERKELEY,Alameda,2024,,055 189700600,"2450 SHATTUCK Ave, BERKELEY, CA",,ZP2024-0047,5+,Renter,,0,0,0,0,0,0,94,94,0,0,None,No,No,Pending,Discretionary,
BERKELEY,Alameda,2024,,055 189401704,"2036 BANCROFT Way, BERKELEY, CA",,ZP2024-0079,5+,Renter,,4,0,0,0,0,0,83,87,0,0,None,No,No,Pending,Discretionary,
BERKELEY,Alameda,2024,,053 158901801,"2955 SHATTUCK Ave, BERKELEY, CA",,ZP2024-0071,5+,Renter,,0,0,0,0,0,0,74,74,0,0,None,Yes,Yes,Pending,Discretionary,
