id,address,units,status,permit,last_event,last_fee,last_activity,days_since,potentially_stalled
119,1974 SHATTUCK Ave,599,Approved,ZP2023-0040,,,,,YES
9,1899 OXFORD St,212,Pending Final Action,ZP2024-0075,,,,,YES
15,2109 VIRGINIA St,131,Approved,ZP2024-0066,,,,,YES
122,2530 BANCROFT Way,110,Approved,ZP2023-0126,2024-12-27,,2024-12-27,451,YES
18,2655 SHATTUCK Ave,97,Pending Final Action,ZP2024-0057,,,,,YES
123,2037 DURANT Ave,74,Approved,ZP2023-0064,2024-06-19,,2024-06-19,642,YES
116,2462 BANCROFT Way,66,Approved,ZP2023-0107,,,,,YES
118,2138 KITTREDGE St,66,Approved,ZP2024-0114,,,,,YES
26,2298 DURANT Ave,65,Pending Final Action,ZP2024-0126,,,,,YES
117,2317 CHANNING Way,22,Approved,ZP2024-0033,,,,,YES
41,2147 SAN PABLO Ave,15,Pending Final Action,ZP2024-0096,,,,,YES
62,2201 BLAKE St,3,Approved,PLN2024-0013,,,,,YES
66,2204 DWIGHT Way,2,Pending Final Action,ZP2024-0059,,,,,YES
70,3001 BENVENUE Ave,1,Pending Final Action,ZP2025-0068,,,,,YES
77,1420 FIFTH St,1,Pending Final Action,ZP2025-0021,,,,,YES
82,3035 COLBY St,0,Approved,ZP2024-0112,,,,,YES
94,2145 GRANT St,0,Pending Final Action,ZP2024-0138,,,,,YES
105,1187 SHATTUCK Ave,0,Pending Final Action,ZP2025-0088,,,,,YES
108,830 BANCROFT Way,0,Pending Final Action,ZP2025-0096,,,,,YES
5,2425 DURANT Ave,250,Pending Final Action,ZP2024-0162,2025-12-26,2025-09-03,2025-12-26,87,NO
6,2029 UNIVERSITY Ave,240,Pending Final Action,ZP2024-0181,2025-11-17,2025-10-09,2025-11-17,126,NO
120,2274 SHATTUCK Ave,227,Approved,ZP2023-0079,2025-04-22,,2025-04-22,335,NO
121,2100 MILVIA St,201,Approved,ZP2023-0163,2025-07-01,,2025-07-01,265,NO
124,2442 HASTE St,34,Approved,ZP2024-0070,2025-09-08,,2025-09-08,196,NO
