project_id,address,apn,units,classification,most_recent_v1_event_date,cpra_permit_count_after,cpra_permits_after_summary
1,1750 SACRAMENTO St,058 214901904,739,UNMATCHED,2026-03-03,0,
2,2276 SHATTUCK Ave,057 202800400,336,UNMATCHED,2025-12-23,0,
3,2700 SHATTUCK Ave,054 172300100,359,UP_TO_DATE,2024-11-07,0,
4,1914 FIFTH St,057 210000702,257,UNMATCHED,2023-06-20,0,
5,2425 DURANT Ave,055 187800701,117,UNMATCHED,2025-12-26,0,
6,2029 UNIVERSITY Ave,057 205300801,240,UNMATCHED,2025-11-17,0,
7,2601 SAN PABLO Ave,054 178501700,223,UNMATCHED,2023-11-17,0,
8,2920 SHATTUCK Ave,053 159000501,221,UNMATCHED,2022-12-15,0,
9,1899 OXFORD St,058 218101905,212,UNMATCHED,2026-02-11,0,
10,3000 SHATTUCK Ave,053 159200100,166,STALE,2025-03-11,1,B2025-04594:2025-10-21:Alteration:0
11,1581 UNIVERSITY Ave,057 207100601,158,UNMATCHED,2024-12-05,0,
12,2115 KITTREDGE St,057 203000900,148,UNMATCHED,2024-10-16,0,
13,2420 SHATTUCK Ave,055 189600300,132,UNMATCHED,2023-12-01,0,
14,2847 SHATTUCK Ave,053 168602000,132,UNMATCHED,2023-07-05,0,
15,2109 VIRGINIA St,058 217801800,131,UNMATCHED,2026-02-26,0,
16,2720 SAN PABLO Ave,054 174400700,113,UNMATCHED,2023-10-16,0,
17,2109 MILVIA St,057 202301601,105,UNMATCHED,2024-04-11,0,
18,2655 SHATTUCK Ave,055 182601802,97,UNMATCHED,2025-08-14,0,
19,2450 SHATTUCK Ave,055 189700600,94,STALE,2024-11-01,1,B2025-04005:2025-11-03:Alteration:0
20,2036 BANCROFT Way,055 189401704,85,UNMATCHED,2024-11-15,0,
21,2660 BANCROFT Way,55-1871-20,78,UNMATCHED,2023-07-28,0,
22,2955 SHATTUCK Ave,053 158901801,74,UNMATCHED,2025-07-25,0,
23,2326 DURANT Ave,055 188401600,70,UNMATCHED,2024-01-01,0,
24,2330 DURANT Ave,055 188401700,68,UNMATCHED,2025-01-01,0,
25,2455 TELEGRAPH Ave,055 187502900,68,UNMATCHED,2026-03-17,0,
26,2298 DURANT Ave,055 188700100,65,UNMATCHED,2025-11-17,0,
27,2441 LE CONTE Ave,058 219300600,65,STALE,2023-11-21,1,B2025-01864:2025-05-07:Alteration:0
28,2372 ELLSWORTH St,055 188700300,63,UNMATCHED,2025-11-18,0,
30,2001 CENTER St,057 202301300,58,UNMATCHED,2026-02-06,0,
31,2712 TELEGRAPH Ave,054 171400501,57,UNMATCHED,2026-02-14,0,
32,1740 SAN PABLO Ave,058 212701403,54,STALE,2023-01-01,1,B2022-05881:2025-12-18:New:54
33,130 BERKELEY Sq,57-2032-17,50,UNMATCHED,2021-11-19,0,
