building_id,apns,label,n,signal,members,inferred_units,grouping_confidence,representative,representative_confidence,representative_status,roles,kind,flag_notes,sort_key
B3_0171,057-2046-006-00,(unlabeled-residual),1,multi,B2015-03000,,low,B2015-03000,high,single,sitework,multi,-,2
B3_3063,057-2046-008-03,(unlabeled-residual),1,multi,B2015-02995,37.0,low,B2015-02995,high,single,completion,multi,-,2
B3_0040,059-2325-007-00,(single),8,xref/base,B2018-02503|B2018-03127|B2018-03576|B2018-03577|B2019-01608|B2019-01615|B2019-01636|B2019-01637,,high,B2018-02503,low,ambiguous_tie,ancillary|completion,multi,representative_tie;large_cluster,20
B3_0160,057-2046-008-02,Building B,7,building_label,B2015-02998-DEF03|B2015-02998-DEF04|B2015-02998-DEF06|B2015-02998-DEF07|B2015-02998-DEF08|B2015-02998-DEF10|B2015-02998-DEF11,,high,B2015-02998-DEF03,low,all_revision,revision,multi,revision_family;large_cluster,20
B3_0170,057-2046-006-00,Building C,5,building_label,B2015-03000-DEF05|B2015-03000-DEF06|B2015-03000-DEF09|B2015-03000-DEF11|B2015-03000-DEF12,,high,B2015-03000-DEF05,low,all_revision,revision,multi,revision_family;large_cluster,20
B3_0329,053-1598-005-01|053-1598-006-00,(single),5,xref/base,B2021-04232|B2021-05386|B2022-00381|B2022-02027|B2025-01468,54.0,high,B2021-04232,low,ambiguous_tie,completion|sitework,multi,cross_apn_same_building;representative_tie;large_cluster,20
B3_0477,055-1894-014-01|055-1894-015-00,(single),5,xref/base,B2019-02634|B2019-04686|B2020-01168|B2020-01168-REV01|B2020-01168-REV04,37.0,high,B2019-04686,low,ambiguous_tie,completion|revision,multi,cross_apn_same_building;representative_tie;revision_family;large_cluster,20
B3_0863,057-2046-001-00,(single),5,xref/base,B2019-05608|B2021-04893|B2021-04893-REV04|B2021-05057|B2022-03392,163.0,high,B2019-05608,low,ambiguous_tie,completion|revision|sitework,multi,representative_tie;revision_family;large_cluster,20
B3_1292,063-2988-038-00,(single),5,xref/base,B2024-02569|B2024-02570|B2024-02712|B2024-03997|B2025-02220,1.0,high,B2024-02570,low,ambiguous_tie,ancillary|completion|sitework,multi,representative_tie;large_cluster,20
B3_2282,055-1870-008-00,(single),5,xref/base,B2022-01079|B2022-01079-REV01|B2022-02040|B2022-05981|B2022-05981-REV01,28.0,high,B2022-05981,low,ambiguous_tie,completion|revision,multi,representative_tie;revision_family;large_cluster,20
B3_0080,054-1733-013-00,(single),4,xref/base,B2025-01704|B2025-01728|B2025-03217|B2025-04831,1.0,high,B2025-01704,low,ambiguous_tie,completion,multi,representative_tie;large_cluster,20
B3_0098,063-2952-050-00,(single),4,xref/base,B2018-02705|B2018-02705-REV01|B2018-02706|B2018-02706-REV01,1.0,high,B2018-02706,low,ambiguous_tie,completion|revision,multi,representative_tie;revision_family;large_cluster,20
B3_0189,057-2053-005-00,(single),4,xref/base,B2017-02610|B2017-02610-REV06|B2017-02610-REV07|B2019-03036,50.0,high,B2017-02610,low,ambiguous_tie,completion|revision,multi,representative_tie;revision_family;large_cluster,20
B3_0294,062-2916-014-00,(single),4,xref/base,B2018-02833|B2018-02839|B2018-02840|B2018-02956,,high,B2018-02839,low,ambiguous_tie,completion|sitework,multi,representative_tie;large_cluster,20
B3_0578,052-1576-027-01,(single),4,xref/base,B2023-06416|B2023-06442|B2023-06443|B2024-03794,,high,B2023-06416,low,ambiguous_tie,ancillary|completion,multi,representative_tie;large_cluster,20
B3_0758,062-2945-028-00,(single),4,xref/base,B2023-04389|B2023-04472|B2023-04473|B2024-04679,1.0,high,B2024-04679,low,ambiguous_tie,completion,multi,representative_tie;large_cluster,20
B3_0961,058-2172-003-01,(single),4,xref/base,B2022-05577|B2022-05578|B2024-00684|B2025-04535,,high,B2022-05577,low,ambiguous_tie,completion,multi,representative_tie;large_cluster,20
B3_1158,060-2445-045-00,(single),4,xref/base,B2019-00016|B2019-00016-REV01|B2019-00017|B2019-00017-REV01,,high,B2019-00016,low,ambiguous_tie,completion|revision,multi,representative_tie;revision_family;large_cluster,20
B3_1210,055-1869-016-00,Building 4,4,building_label,B2020-03715|B2020-03715-REV01|B2021-00989|B2021-01148,4.0,high,B2020-03715,low,ambiguous_tie,completion|revision,multi,representative_tie;revision_family;large_cluster,20
B3_1479,056-1938-007-00,(single),4,xref/base,B2023-01027|B2023-02555|B2023-02556|B2024-00029,,high,B2023-01027,low,ambiguous_tie,completion,multi,representative_tie;large_cluster,20
B3_1587,052-1516-032-00,(single),4,xref/base,B2024-02473|B2024-02474|B2024-03665|B2024-05897,1.0,high,B2024-03665,low,ambiguous_tie,completion,multi,representative_tie;large_cluster,20
B3_1610,056-2011-010-00,(single),4,xref/base,B2023-05875|B2023-05881|B2024-00729|B2024-02287,,high,B2023-05875,low,ambiguous_tie,completion,multi,representative_tie;large_cluster,20
B3_1674,058-2130-025-00,(single),4,xref/base,B2019-03024|B2019-03025|B2019-03026|B2019-03027,,high,B2019-03024,low,ambiguous_tie,completion,multi,representative_tie;large_cluster,20
B3_1989,058-2119-009-00,(single),4,xref/base,B2022-01332|B2022-01386|B2025-05132|B2025-05133,1.0,high,B2022-01332,low,ambiguous_tie,ancillary|completion,multi,representative_tie;large_cluster,20
B3_0002,055-1865-007-00,(single),3,xref/base,B2023-00442|B2023-00442-REV03|B2023-02685,2.0,high,B2023-00442,low,ambiguous_tie,completion|revision,multi,representative_tie;revision_family,20
B3_0075,064-4295-026-00,(single),3,xref/base,B2022-01927|B2023-03522|B2024-00350,,high,B2022-01927,low,ambiguous_tie,ancillary|completion,multi,representative_tie,20
B3_0107,053-1689-009-00,(single),3,xref/base,B2022-04721|B2022-04747|B2022-05667,1.0,high,B2022-04721,low,ambiguous_tie,completion,multi,representative_tie,20
B3_0156,052-1527-011-00,(single),3,xref/base,B2019-03765|B2019-03766|B2020-00944,,high,B2019-03765,low,ambiguous_tie,completion,multi,representative_tie,20
B3_0200,064-4242-006-00,(single),3,xref/base,B2020-04530|B2021-00982|B2021-00982-REV01,,high,B2020-04530,low,ambiguous_tie,completion|revision,multi,representative_tie;revision_family,20
B3_0234,058-2153-028-00,(single),3,xref/base,B2023-03870|B2023-03871|B2024-04931,,high,B2023-03870,low,ambiguous_tie,ancillary|completion,multi,representative_tie,20
B3_0270,054-1781-029-00,(single),3,xref/base,B2023-03735|B2023-03743|B2024-04490,,high,B2023-03735,low,ambiguous_tie,completion,multi,representative_tie,20
B3_0448,055-1832-026-01,(single),3,xref/base,B2024-04552|B2025-00168|B2025-04813,,high,B2024-04552,low,ambiguous_tie,completion,multi,representative_tie,20
B3_0472,057-2082-002-00,(single),3,xref/base,B2024-00117|B2024-00243|B2024-00247,1.0,high,B2024-00243,low,ambiguous_tie,completion,multi,representative_tie,20
B3_0512,055-1876-021-01,(single),3,xref/base,B2023-01880|B2023-02332|B2024-06011,,high,B2023-01880,low,ambiguous_tie,completion,multi,representative_tie,20
B3_0583,054-1742-100-00,(single),3,xref/base,B2025-00487|B2025-02475|B2025-02962,1.0,high,B2025-02962,low,ambiguous_tie,completion,multi,representative_tie,20
B3_0592,060-2487-031-00,(single),3,xref/base,B2021-00317|B2021-00317-REV03|B2022-03366,,high,B2021-00317,low,ambiguous_tie,completion|revision,multi,representative_tie;revision_family,20
B3_0625,052-1563-036-00,(single),3,xref/base,B2024-06091|B2024-06133|B2025-01666,1.0,high,B2024-06091,low,ambiguous_tie,completion,multi,representative_tie,20
B3_0627,061-2578-012-02,(single),3,xref/base,B2024-02013|B2024-03031|B2025-02113,,high,B2024-02013,low,ambiguous_tie,completion,multi,representative_tie,20
B3_0668,054-1742-067-00,(single),3,xref/base,B2024-02286|B2024-03811|B2025-01245,,high,B2024-02286,low,ambiguous_tie,completion,multi,representative_tie,20
B3_0802,054-1702-093-01,(single),3,xref/base,B2018-00336|B2018-00336-REV02|B2021-02872,,high,B2018-00336,low,ambiguous_tie,completion|revision,multi,representative_tie;revision_family,20
B3_0815,055-1886-001-00|055-1886-002-00,(single),3,xref/base,B2025-00386|B2025-00387|B2025-00388,,high,B2025-00386,low,ambiguous_tie,completion,multi,cross_apn_same_building;representative_tie,20
B3_0816,058-2181-027-00,(single),3,xref/base,B2023-02354|B2023-03067|B2023-04569,,high,B2023-02354,low,ambiguous_tie,completion,multi,representative_tie,20
B3_0927,054-1787-008-00,(single),3,xref/base,B2024-01564|B2024-01882|B2025-02753,,high,B2024-01564,low,ambiguous_tie,ancillary|completion,multi,representative_tie,20
B3_1085,056-2001-009-00,(single),3,xref/base,B2019-03295|B2019-04005|B2024-02519,,high,B2019-03295,low,ambiguous_tie,completion,multi,representative_tie,20
B3_1101,052-1452-021-00,(single),3,xref/base,B2017-02788|B2017-02832|B2018-01550,,high,B2017-02788,low,ambiguous_tie,completion,multi,representative_tie,20
B3_1115,060-2489-041-00,(single),3,xref/base,B2023-04170|B2023-04171|B2024-04295,1.0,high,B2023-04170,low,ambiguous_tie,completion,multi,representative_tie,20
B3_1200,060-2417-044-00,(single),3,xref/base,B2024-04942|B2025-00581|B2025-03852,,high,B2024-04942,low,ambiguous_tie,completion,multi,representative_tie,20
B3_1541,056-1981-008-00|056-1981-009-00|056-1981-010-00,(single),3,xref/base,B2019-00827|B2019-00828|B2019-00829,,high,B2019-00827,low,ambiguous_tie,completion,multi,cross_apn_same_building;representative_tie,20
B3_1552,061-2575-065-00,(single),3,xref/base,B2023-06287|B2024-05252|B2025-01138,,high,B2023-06287,low,ambiguous_tie,ancillary|completion,multi,representative_tie,20
B3_1731,054-1784-001-00,(single),3,xref/base,B2020-03994|B2020-03995|B2021-00951,,high,B2020-03994,low,ambiguous_tie,completion,multi,representative_tie,20
B3_1809,060-2469-059-02|060-2469-098-00,(single),3,xref/base,B2023-05059|B2023-05062|B2024-04446,1.0,high,B2023-05059,low,ambiguous_tie,completion,multi,cross_apn_same_building;representative_tie,20
B3_1986,054-1702-076-00,(single),3,xref/base,B2019-04162|B2020-01545|B2020-03615,,high,B2019-04162,low,ambiguous_tie,completion|sitework,multi,representative_tie,20
B3_2021,057-2061-016-00,(single),3,xref/base,B2025-02574|B2025-02575|B2025-03757,,high,B2025-02574,low,ambiguous_tie,completion,multi,representative_tie,20
B3_2038,060-2403-031-00,(single),3,xref/base,B2019-02904|B2019-02904-REV02|B2019-04649,,high,B2019-02904,low,ambiguous_tie,completion|revision,multi,representative_tie;revision_family,20
B3_2091,059-2338-010-00,(single),3,xref/base,B2020-02550|B2020-02551|B2020-02553,,high,B2020-02550,low,ambiguous_tie,ancillary|completion,multi,representative_tie,20
B3_2104,058-2157-005-00,(single),3,xref/base,B2023-04188|B2023-04188-REV01|B2024-00470,,high,B2023-04188,low,ambiguous_tie,completion|revision,multi,representative_tie;revision_family,20
B3_2533,054-1739-035-00,(single),3,xref/base,B2024-02794|B2024-03343|B2024-03632,,high,B2024-02794,low,ambiguous_tie,completion,multi,representative_tie,20
