address,sk,verdict,units,demote_reason,reason
2002 ADDISON,B2016-03148,ACCEPT,6.0,,
2980 COLLEGE,B2021-04563,UNCERTAIN,,,
3005 HARPER,,no_valid_candidate,,,
1157 FRANCISCO,B2017-04979,ACCEPT,1.0,,
1506 BONITA,B2018-02604,ACCEPT,2.0,,
912 CEDAR,B2017-05297,ACCEPT,1.0,,
812 PAGE,B2016-02794,ACCEPT,1.0,,
1812 UNIVERSITY,B2019-05321,ACCEPT,2.0,,
2374 EUNICE,B2017-01320,ACCEPT,1.0,,
2335 5TH,B2023-02152,ACCEPT,1.0,,
2312 ROSE,B2021-03186,ACCEPT,1.0,,
2200 M L KING JR,B2018-03054,ACCEPT,1.0,,
2022 DWIGHT,B2021-05070,ACCEPT,1.0,,
2014 LOS ANGELES,B2021-05201,ACCEPT,1.0,,
1710 CHESTNUT,B2019-00801,ACCEPT,1.0,,
1775 SONOMA,B2020-01556,ACCEPT,1.0,,
0 LATHAM,B2019-05488,UNCERTAIN,,"value conflict: description says 1 house, stored UnitsAdded=2",
1839 BERKELEY,,no_valid_candidate,,,
1891 SAN JUAN,B2017-02390,ACCEPT,1.0,,
1915 VIRGINIA,B2016-01284,ACCEPT,1.0,,
2414 DANA,B2015-05182,ACCEPT,1.0,,
605 NEILSON,B2022-06065-DEF05,UNCERTAIN,,,
3040 TREMONT,B2016-02154,ACCEPT,1.0,,
3124 LEWISTON,B2018-05115,ACCEPT,1.0,,
450 ARLINGTON,B2017-03153,ACCEPT,1.0,,
2434 MCGEE,,no_valid_candidate,,,
773 NEILSON,B2020-01576,ACCEPT,1.0,,
842 THE ALAMEDA,B2021-05401,ACCEPT,1.0,,
901 CRAGMONT,B2017-02860,ACCEPT,1.0,,
3019 BATEMAN,B2023-03862,ACCEPT,1.0,,
2435 BYRON,B2017-04158,UNCERTAIN,,,
2504 GRANT,B2017-03447,ACCEPT,1.0,,
26 ROCK,B2022-06033,ACCEPT,1.0,,
2702 SHASTA,B2017-04282,ACCEPT,1.0,,
2723 FOREST,B2023-00475,ACCEPT,1.0,,
2810 ASHBY,B2017-02581,ACCEPT,1.0,,
2915 PINE,B2016-01064,ACCEPT,1.0,,
1642 ASHBY,B2018-03725,ACCEPT,1.0,,
1233 EVELYN,B2017-03483,ACCEPT,1.0,,
1284 HEARST,,no_valid_candidate,,,
1311 SPRUCE,B2017-04092,ACCEPT,1.0,,
1319 BLAKE,B2017-01805,ACCEPT,1.0,,
1341 ADDISON,B2023-01652,ACCEPT,1.0,,
1355 ACTON,B2024-05992,ACCEPT,1.0,,
1406 FAIRVIEW,B2019-00838,UNCERTAIN,,,
1412 HARMON,B2019-04142,ACCEPT,1.0,,
1414 HOLLY,B2019-04410,ACCEPT,1.0,,
1051 WOODSIDE,B2022-00090,ACCEPT,1.0,,
1074 SPRUCE,,no_valid_candidate,,,
1120 OXFORD,B2018-00512,ACCEPT,1.0,,
1132 AMADOR,B2020-00059,ACCEPT,1.0,,
12 PANORAMIC,B2024-00772,ACCEPT,1.0,,
1206 TALBOT,B2021-01428,ACCEPT,1.0,,
1218 EVELYN,B2017-03316,ACCEPT,1.0,,
1040 MARIPOSA,B2017-03979,ACCEPT,1.0,,
1462 STANNAGE,B2019-01994,ACCEPT,1.0,,
1507 TYLER,B2019-00401,ACCEPT,1.0,,
1512 NORTH,B2019-05151,ACCEPT,1.0,,
1600 WALNUT,B2020-02078,ACCEPT,1.0,,
1522 ALCATRAZ,B2018-00936,ACCEPT,1.0,,
1462 SAN PABLO,B2021-02085,ACCEPT,1.0,,
1432 SPRUCE,B2017-02347,ACCEPT,1.0,,
1620 DELAWARE,B2020-01519,ACCEPT,1.0,,
1444 WALNUT,B2018-02012,ACCEPT,1.0,,
1441 GRIZZLY PEAK,B2017-02990,ACCEPT,1.0,,
1711 M L KING JR,B2019-03245,ACCEPT,1.0,,'Convert commercial spaces into a 4-bedroom residential unit' — rank-2 is the creator
1512 CARLETON,B2020-01040,ACCEPT,1.0,,'New 2050 SF house (Unit B)' — new dwelling
1825 BERKELEY 2,,no_valid_candidate,,,no candidate permits at address
1526 6TH,B2019-00047,UNCERTAIN,,"net-zero: dwelling->office PLUS new dwelling over garage (city counts the add, ignores the loss)",'Construct new dwelling unit over garage' (dwelling-to-office also in scope)
2619 COLLEGE,,no_valid_candidate,,,solar on existing ADU; revision 'no change in valuation' — neither creates
1023 CRAGMONT,B2023-04195,UNCERTAIN,,,'Create new 500 s.f. JADU' but REV01: 'Proposed JADU has been eliminated'
2233 GRANT,B2020-02423,ACCEPT,2.0,,'Convert carports into 2 ADU's'
2233 CURTIS,B2017-04756,ACCEPT,1.0,,'Build a new detached 447 sq ft ADU'
2031 PRINCE,B2014-02947,ACCEPT,1.0,,'CREATION OF NEW UNIT- 1260 S.F.'
2131 DERBY,B2020-03928,ACCEPT,1.0,,'Install manufactured home as an accessory dwelling unit'
2271 VIRGINIA,B2018-02528,ACCEPT,1.0,,'Renovate (e) garage and convert into ADU'
2213 JEFFERSON,B2018-02733,ACCEPT,1.0,,'Convert 783 SqFt first floor to new Accessory Dwelling Unit'
0 GRIZZLY PEAK,,no_valid_candidate,,,no candidate permits at address
2013 2ND,,no_valid_candidate,,,no candidate permits at address
1712 MARIN,B2020-00688,ACCEPT,1.0,,'Convert existing 300 SqFt bedroom to JADU'
1805 FRANKLIN,B2018-00693,ACCEPT,1.0,,"'Convert Artist studio to ADU' with kitchenette, sink/shower"
1825 SONOMA,B2021-01026,ACCEPT,1.0,,'Convert ground floor to Junior Accessory Dwelling Unit'
1854 SAN RAMON,B2020-03985,UNCERTAIN,,,'habitable short term rental space' — dwelling-unit status unclear
