JURS_TRACKING_ID,STREET_ADDRESS,APN,UNIT_CAT,co_units_d5,bp_units_d5
B2015-01312,1332 ALCATRAZ AVE,052 144501400,SFD,0.0,0.0
B2018-02870,3336 KING St,052 152300400,SFD,0.0,0.0
B2020-01449,1400 SIXTY-SIXTH St,052 153901400,SFD,0.0,0.0
B2018-05106,1631 FAIRVIEW St,052 154301000,SFD,0.0,0.0
B2020-02097,1519 FAIRVIEW St,052 154401200,SFD,0.0,1.0
B2018-00575,1816 WOOLSEY St,052 154800500,SFD,0.0,0.0
B2016-03803,3117 ELLIS St,052 154901400,SFD,0.0,0.0
B2020-02487,2121 WOOLSEY St,052 155500800,SFD,0.0,0.0
B2018-01766,2462 PRINCE St,052 155902500,SFD,0.0,0.0
B2019-03118,2956 HILLEGASS Ave,052 157303400,SFD,0.0,0.0
B2020-00982,2212 ASHBY Ave,052 158300400,SFD,0.0,0.0
B2020-01901,2111 PRINCE St,052 158501000,SFD,0.0,0.0
B2018-01454,1927 ASHBY Ave,053 159901900,SFD,0.0,0.0
B2019-01848,1808 RUSSELL St,053 160300300,SFD,0.0,0.0
B2018-02159,1605 JULIA St,053 160901900,SFD,0.0,0.0
B2020-00346,3015 DOHR St,053 161503100,SFD,0.0,0.0
B2020-01167,2816 TENTH St,053 166001501,SFD,0.0,0.0
B2018-00648,2801 PARK St,053 166700100,SFD,0.0,0.0
B2020-01025,1612 STUART St,053 167402200,ADU,0.0,1.0
B2018-02054,2814 KELSEY St,053 169800800,SFD,0.0,0.0
B2019-02160-REV01,2905 AVALON Ave,053 170103102,SFD,0.0,0.0
B2019-04162,2715 BELROSE Ave,054 170207600,SFD,0.0,0.0
B2019-00681,2710 FULTON St,054 171901900,SFD,0.0,0.0
B2018-00352,2124 WARD St,054 172002300,SFD,0.0,0.0
B2019-01935,1629 STUART St,054 173003400,SFD,0.0,0.0
B2019-04665,1635 WARD St,054 173100700,SFD,0.0,0.0
B2017-00905,1308 DERBY St,054 173902400,SFD,0.0,0.0
B2019-04905,2752 MATHEWS St,054 174204600,SFD,0.0,0.0
B2020-03167,2609 MATHEWS St,054 178801600,SFD,0.0,0.0
B2019-05493,1226 PARKER St,054 178802400,SFD,0.0,0.0
