hcd_row_id,cpra_permit_number,address_hcd,address_cpra,tracking_id,co_units_hcd,co_units_d5,bp_units_hcd,bp_units_d5,agree_co,agree_bp,units_agree,match_tier,in_c1,cpra_year
600,B2019-01817,1416 Oxford,1416 OXFORD St,B2019-01817,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2020
601,B2018-04609,1931 Carleton,1931 CARLETON St,B2018-04609,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2020
602,B2020-00446,1248 Haskell,1248 HASKELL St,B2020-00446,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2020
603,B2018-04404,1353 Berkeley,1353 BERKELEY Way,B2018-04404,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2020
604,B2019-04125,1412 Harmon,1412 HARMON St,B2019-04125,0.0,0.0,1.0,0.0,True,False,False,tier_1_tracking_id,True,2020
605,B2017-01855,1500 San Pablo,1500 SAN PABLO Ave,B2017-01855,170.0,0.0,0.0,0.0,False,True,False,tier_1_tracking_id,True,2020
606,B2020-01040,1512 Carleton,1512 CARLETON St,B2020-01040,0.0,0.0,1.0,0.0,True,False,False,tier_1_tracking_id,True,2020
607,B2018-01245,1614 Acton,1614 ACTON St,B2018-01245,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2020
608,B2020-01282,1625 Russell,1625 RUSSELL St,B2020-01282,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2020
609,B2020-01658,1628 Jaynes,1628 JAYNES St,B2020-01658,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2020
610,B2018-02645,1732 Seventh,1732 SEVENTH St,B2018-02645,1.0,0.0,0.0,0.0,False,True,False,tier_1_tracking_id,True,2020
611,B2019-03766,1811 Sixty-Third,1811 SIXTY-THIRD St,B2019-03766,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2020
612,B2019-01938,1873 San Ramon,1873 SAN RAMON Ave,B2019-01938,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2020
613,B2019-00805,1914 Oregon,1914 OREGON St,B2019-00805,1.0,0.0,0.0,0.0,False,True,False,tier_1_tracking_id,True,2020
615,B2019-04517,200 Alvarado,200 ALVARADO Rd,B2019-04517,0.0,0.0,1.0,0.0,True,False,False,tier_1_tracking_id,True,2020
617,B2018-04967,2128 Oregon,2128 OREGON St,B2018-04967,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2020
618,B2017-03973,2313 Edwards,2313 EDWARDS St,B2017-03973,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2020
619,B2016-05821,2631 Durant,2631 DURANT Ave,B2016-05821,56.0,-18.0,0.0,0.0,False,True,False,tier_1_tracking_id,True,2020
620,B2018-03850,2817 Stanton,2817 STANTON St,B2018-03850,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2020
621,B2020-01549,3140 Harper,3140 HARPER St,B2020-01549,1.0,1.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2020
622,B2018-00016,811 Folger,811 FOLGER Ave,B2018-00016,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2020
623,B2018-00017,813 Folger,813 FOLGER Ave,B2018-00017,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2020
624,B2019-01118,857 Neilson,857 NEILSON St,B2019-01118,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2020
763,B2020-01244,1209 Derby,1209 DERBY St,B2020-01244,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2020
780,B2019-01781,116 The Uplands,116 THE UPLANDS,B2019-01781,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2020
781,B2018-02038,1181 Laurel,1181 LAUREL St,B2018-02038,1.0,0.0,0.0,0.0,False,True,False,tier_1_tracking_id,True,2020
783,B2019-04677,1325 Sixty-Sixth,1325 SIXTY-SIXTH St,B2019-04677,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2020
785,B2020-01536,1516 Ward,1516 WARD St,B2020-01536,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2020
786,B2019-02435,1612 Buena,1612 BUENA Ave,B2019-02435,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2020
787,B2019-03539,1641 Seventh,1641 SEVENTH St,B2019-03539,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2020
788,B2020-00206,1717 University,1717 UNIVERSITY Ave,B2020-00206,0.0,0.0,15.0,15.0,True,True,True,tier_1_tracking_id,True,2020
789,B2020-01376,1821 Woolsey,1821 WOOLSEY St,B2020-01376,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2020
792,B2018-04808,2125 Sixth,2125 SIXTH St,B2018-04808,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2020
