hcd_row_id,JURS_TRACKING_ID,STREET_ADDRESS,APN,PRIOR_APN,UNIT_CAT,co_units_hcd,bp_units_hcd,cpra_presence
389,ZP2020-0046,1207 Tenth Street,060 235401503,,2 to 4,0,0,no_cpra_presence
427,ZP2021-0083,1442 Fifth,059 232500501,,SFD,0,0,no_cpra_presence
469,ZP2020-0069,3031 Telegraph,052 157408100,,5+,0,0,no_cpra_presence
501,ZP2020-0075,2980 College,052 157310000,,2 to 4,0,0,no_cpra_presence
502,ZP2020-0045,1915 Berryman,060 244901300,,5+,0,0,no_cpra_presence
504,ZP2019-0192,1200 San Pablo,060 235400200,,5+,0,0,no_cpra_presence
532,ZP2020-0158,55 Latham,063 296903426,,SFD,0,0,no_cpra_presence
533,ZP2020-0136,1630 Carleton,054 180302900,,SFD,0,0,no_cpra_presence
536,ZP2020-0072,2015 Blake,055 182201303,,5+,0,0,no_cpra_presence
568,ZP2020-0160,75 Latham,063 296903438,,SFD,0,0,no_cpra_presence
569,ZP2020-0159,65 Latham,063 296903402,,SFD,0,0,no_cpra_presence
2138,ZP2018-0178,1241 Ashby,053 162801100,,SFD,0,0,no_cpra_presence
