JURS_TRACKING_ID,STREET_ADDRESS,APN,UNIT_CAT,co_units_d5,bp_units_d5
B2023-04283,111 ALVARADO Rd,048H766303800,ADU,0.0,0.0
B2024-06060,59 ALVARADO Rd,048H767003100,ADU,0.0,0.0
B2024-03283,1806 SIXTY-SECOND St,052 143301400,ADU,0.0,0.0
B2024-01290,1640 SIXTY-SECOND St,052 143500103,ADU,-1.0,-1.0
B2024-01236,1250 HASKELL St,052 151504800,SFD,0.0,0.0
B2024-01418,1317 SIXTY-SEVENTH St,052 151601500,SFD,0.0,0.0
B2024-03525,1306 HASKELL St,052 151602300,ADU,0.0,0.0
B2024-02315,1321 SIXTY-SIXTH St,052 151700800,SFD,-1.0,-1.0
B2024-03791,1621 SIXTY-THIRD St,052 152200900,ADU,0.0,0.0
B2024-00949,1600 SIXTY-THIRD St,052 152301700,SFD,-3.0,-3.0
B2024-05521,1829 SIXTY-THIRD St,052 152702400,ADU,0.0,0.0
B2024-00240,1934 FAIRVIEW St,052 152900100,SFD,0.0,-1.0
B2024-02587,1908 FAIRVIEW St,052 152902400,SFD,0.0,-1.0
B2024-02272,1616 FAIRVIEW St,052 153502300,ADU,0.0,0.0
B2024-02865,3214 CALIFORNIA St,052 153600300,ADU,0.0,0.0
B2024-03510,3228 BOISE St,052 153801000,SFD,-2.0,-2.0
B2024-05290,1309 HARMON St,052 153801100,ADU,0.0,0.0
B2023-02925,1548 WOOLSEY St,052 154400100,ADU,-1.0,0.0
B2024-00961,1623 WOOLSEY St,052 154501200,ADU,0.0,0.0
B2024-00759,1616 PRINCE St,052 154502600,ADU,0.0,0.0
B2024-04226,1707 FAIRVIEW St,052 154700900,ADU,0.0,0.0
B2024-03767,1812 PRINCE St,052 154900500,ADU,0.0,0.0
B2022-02735,6615 DOVER St,052 155201000,ADU,0.0,0.0
B2024-04680,1916 WOOLSEY St,052 155202700,ADU,0.0,0.0
B2024-02417,2003 WOOLSEY St,052 155401201,ADU,0.0,0.0
B2024-04053,1029 PARDEE St,052 155503200,ADU,0.0,0.0
B2020-02204,3107 DEAKIN St,052 155700800,SFD,0.0,0.0
B2024-03207,2448 PRINCE St,052 155902200,ADU,0.0,0.0
B2024-04035,2522 WEBSTER St,052 156000200,ADU,0.0,0.0
B2024-00682,3038 HILLEGASS Ave,052 156001700,ADU,0.0,0.0
B2024-00986,3029 HILLEGASS Ave,052 156102600,SFD,0.0,0.0
B2024-05664,3103 COLLEGE Ave,052 156309700,ADU,0.0,0.0
B2023-04184,151 BROOKSIDE Dr,052 156315900,SFD,0.0,0.0
B2024-01245,2757 PRINCE St,052 156402000,ADU,0.0,0.0
B2024-00891,2743 PRINCE St,052 156402300,ADU,0.0,-1.0
B2022-04331,2738 WEBSTER St,052 156404500,SFD,0.0,0.0
B2022-04317,2908 RUSSELL St,052 156500200,SFD,0.0,0.0
B2023-04573,2912 RUSSELL St,052 156500300,SFD,-1.0,-1.0
B2024-03078,2930 MAGNOLIA St,052 156508600,ADU,-1.0,-1.0
B2024-04287,2954 MAGNOLIA St,052 156509300,SFD,0.0,0.0
B2024-05935,2970 MAGNOLIA St,052 156509600,ADU,0.0,-1.0
B2023-05021,2953 LINDEN Ave,052 156510300,SFD,0.0,0.0
B2024-03421,2933 LINDEN Ave,052 156510800,ADU,0.0,0.0
B2024-00747,2814 RUSSELL St,052 156602000,SFD,-1.0,-1.0
B2023-05402,2950 LINDEN Ave,052 156603600,ADU,0.0,0.0
B2024-01384,2957 PIEDMONT Ave,052 156604600,ADU,0.0,0.0
B2024-02083,2746 RUSSELL St,052 156700100,SFD,0.0,-1.0
B2024-00596,2932 PIEDMONT Ave,052 156703600,SFD,-1.0,-1.0
B2023-03393,2723 WEBSTER St,052 156705600,SFD,-1.0,0.0
B2024-01027,2732 ELMWOOD Ave,052 156707400,ADU,0.0,0.0
B2023-03479,2610 RUSSELL St,052 156900200,SFD,0.0,0.0
B2024-02133,2925 REGENT St,052 157002100,ADU,0.0,0.0
B2023-01363,2905 REGENT St,052 157002600,SFD,0.0,-1.0
B2024-05462,2910 HILLEGASS Ave,052 157003900,SFD,-1.0,-1.0
B2024-00180,2910 HILLEGASS Ave,052 157004200,ADU,0.0,0.0
B2024-02226,2910 HILLEGASS Ave,052 157004400,SFD,-5.0,-5.0
B2023-03127,2918 REGENT St,052 157101300,ADU,0.0,0.0
B2023-06108,2410 RUSSELL St,052 157200200,ADU,0.0,0.0
B2024-05681,2609 WEBSTER St,052 157302100,ADU,0.0,0.0
B2024-05724,3000 DANA St,052 157400200,ADU,0.0,0.0
B2023-01239,2425 PRINCE St,052 157500200,SFD,0.0,0.0
B2022-05412,2318 WEBSTER St,052 157600500,SFD,0.0,0.0
B2021-05781,2201 ASHBY Ave,052 158101700,SFD,0.0,0.0
B2024-02438,2914 DEAKIN St,052 158102800,ADU,0.0,0.0
B2024-05385,2926 FULTON St,052 158201200,ADU,0.0,0.0
B2023-03879,2127 PRINCE St,052 158500600,ADU,0.0,0.0
B2024-00985,2108 ESSEX St,052 158501800,ADU,0.0,0.0
B2024-02603,2133 ESSEX St,053 158600500,SFD,0.0,0.0
B2024-03333,2119 ESSEX St,053 158601000,SFD,-1.0,-1.0
B2024-01421,2132 EMERSON St,053 158602100,ADU,0.0,0.0
B2023-02831,3011 SHATTUCK Ave,053 158701700,SFD,0.0,-4.0
B2024-01029,2917 LORINA St,053 158801800,ADU,0.0,0.0
B2024-01573,2910 NEWBURY St,053 159100500,ADU,0.0,0.0
B2024-05449,2914 NEWBURY St,053 159100700,ADU,0.0,-1.0
B2022-02960,3022 SHATTUCK Ave,053 159300200,SFD,0.0,0.0
B2024-00708,2004 ESSEX St,053 159401700,SFD,0.0,0.0
B2023-04985,2028 ESSEX St,053 159402300,ADU,0.0,1.0
B2024-04145,2922 OTIS St,053 159901000,ADU,0.0,0.0
B2024-04505,1619 TYLER St,053 160701300,ADU,0.0,0.0
B2024-05082,1629 JULIA St,053 160901200,ADU,0.0,0.0
B2023-02598,1524 RUSSELL St,053 161002400,SFD,0.0,0.0
B2023-05469,1530 RUSSELL St,053 161002600,SFD,-1.0,0.0
B2023-02195,1529 TYLER St,053 161200801,ADU,0.0,0.0
B2022-02942,1517 TYLER St,053 161201400,SFD,0.0,0.0
B2024-04418,3028 SACRAMENTO St,053 161401800,ADU,0.0,0.0
B2024-04284,3030 STANTON St,053 161501000,ADU,0.0,-1.0
B2024-00067,3032 STANTON St,053 161501100,ADU,0.0,0.0
B2022-02910,1205 HASKELL St,053 162602201,SFD,0.0,0.0
B2021-00335,1237 CARRISON St,053 162701200,ADU,0.0,0.0
B2024-03047,1248 BURNETT St,053 162804200,SFD,0.0,0.0
B2024-04002,755 FOLGER Ave,053 163501001,ADU,0.0,0.0
B2024-04202,2817 Eighth St,053 165903700,ADU,0.0,0.0
B2024-01681,2814 MATHEWS St,053 166300900,ADU,0.0,0.0
B2024-01227,2816 MATHEWS St,053 166301000,ADU,0.0,0.0
B2024-00353,2815 WALLACE St,053 166302200,ADU,0.0,0.0
B2024-02296,1232 OREGON St,053 166400400,ADU,-1.0,-1.0
