row_index,kept_or_dropped,cluster_size,APN,STREET_ADDRESS,JURS_TRACKING_ID,BP_ISSUE_DT1,CO_ISSUE_DT1
1729,kept,2,050 215747600,3025 Regent Street,B2022-06048,2025-09-04,
2124,dropped,2,050 215747600,3025 Regent Street,B2022-06048,2025-09-04,
1551,kept,2,052 136400200,1916 Alcatraz Avenue,B2024-02003,2025-09-24,
1647,dropped,2,052 136400200,1916 Alcatraz Avenue,B2024-02003,2025-09-24,
1552,kept,2,052 136400200,1916 Alcatraz Avenue,B2024-04763,2025-09-24,
2165,dropped,2,052 136400200,1916 Alcatraz Avenue,B2024-04763,2025-09-24,
1579,kept,2,052 142800800,2022 Woolsey Street,B2024-05536,2025-07-09,
1875,dropped,2,052 142800800,2022 Woolsey Street,B2024-05536,2025-07-09,
1727,kept,2,052 143802300,1516 ALCATRAZ AVE,B2021-02470,2025-04-28,
2120,dropped,2,052 143802300,1516 ALCATRAZ AVE,B2021-02470,2025-04-28,
1509,kept,2,052 151603100,1330 HASKELL ST,B2024-02475,2025-03-17,
2144,dropped,2,052 151603100,1330 HASKELL ST,B2024-02475,2025-03-17,
1556,kept,2,052 151603100,1330 HASKELL ST,B2024-02477,2025-03-17,
1823,dropped,2,052 151603100,1330 HASKELL ST,B2024-02477,2025-03-17,
1668,kept,2,052 151603200,1340 HASKELL ST,B2024-02473,2025-02-19,
1690,dropped,2,052 151603200,1340 HASKELL ST,B2024-02473,2025-02-19,
1432,kept,2,052 151603200,1340 HASKELL ST,B2024-02474,2025-03-17,
1735,dropped,2,052 151603200,1340 HASKELL ST,B2024-02474,2025-03-17,
1528,kept,2,052 152001700,1522 HARMON ST,B2024-04977,2025-06-10,2025-09-22
1790,dropped,2,052 152001700,1522 HARMON ST,B2024-04977,2025-06-10,2025-09-22
1659,kept,2,052 152200300,1641 Sixty-third Street,B2025-00152,2025-09-18,
1689,dropped,2,052 152200300,1641 Sixty-third Street,B2025-00152,2025-09-18,
1442,kept,2,052 152600900,1817 SIXTY-SECOND St,B2023-05812,,2025-06-24
1712,dropped,2,052 152600900,1817 SIXTY-SECOND St,B2023-05812,,2025-06-24
1759,kept,2,052 152701002,1813 Sixty-third Street,B2024-03408,2025-09-04,
1978,dropped,2,052 152701002,1813 Sixty-third Street,B2024-03408,2025-09-04,
