JURIS_NAME,CNTY_NAME,YEAR,PRIOR_APN,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,UNIT_CAT,TENURE,ACUTELY_LOW_INCOME_DR,ACUTELY_LOW_INCOME_NDR,EXTREMELY_LOW_INCOME_DR,EXTREMELY_INCOME_NDR,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,ABOVE_MOD_INCOME,ENT_APPROVE_DT1,NO_ENTITLEMENTS,BP_ACUTELY_LOW_INCOME_DR,BP_ACUTELY_LOW_INCOME_NDR,BP_EXTREMELY_LOW_INCOME_DR,BP_EXTREMELY_INCOME_NDR,BP_VLOW_INCOME_DR,BP_VLOW_INCOME_NDR,BP_LOW_INCOME_DR,BP_LOW_INCOME_NDR,BP_MOD_INCOME_DR,BP_MOD_INCOME_NDR,BP_ABOVE_MOD_INCOME,BP_ISSUE_DT1,NO_BUILDING_PERMITS,CO_ACUTELY_LOW_INCOME_DR,CO_ACUTELY_LOW_INCOME_NDR,CO_EXTREMELY_LOW_INCOME_DR,CO_EXTREMELY_INCOME_NDR,CO_VLOW_INCOME_DR,CO_VLOW_INCOME_NDR,CO_LOW_INCOME_DR,CO_LOW_INCOME_NDR,CO_MOD_INCOME_DR,CO_MOD_INCOME_NDR,CO_ABOVE_MOD_INCOME,CO_ISSUE_DT1,NO_OTHER_FORMS_OF_READINESS,EXTR_LOW_INCOME_UNITS,APPROVE_SB35,HISTORIC_SITES,INFILL_UNITS,FIN_ASSIST_NAME,DR_TYPE,NO_FA_DR,TERM_AFF_DR,DEM_DES_UNITS,DEM_OR_DES_UNITS,DEM_DES_UNITS_OWN_RENT,DENSITY_BONUS_TOTAL,DENSITY_BONUS_NUMBER_OTHER_INCENTIVES,DENSITY_BONUS_INCENTIVES,DENSITY_BONUS_RECEIVE_REDUCTION,NOTES,LATITUDE,LONGITUDE,STD_ADDRESS,SCORE
Berkeley,Alameda,2025,,057-2028-004-00,2276 SHATTUCK Ave,,proj2,,,0,0,0,0,0,0,0,0,0,0,336,2025-12-04,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,N,,,,,,,,,,,,,,,37.86773770249066,-122.26824034145176,2276 SHATTUCK AVE,
Berkeley,Alameda,2025,,055-1878-007-01,2425 DURANT Ave,,proj5,,,0,0,0,0,0,0,0,0,0,0,117,2025-10-09,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,N,,,,,,,,,,,,,,,37.8679506825664,-122.2601418162647,2425 DURANT AVE,
Berkeley,Alameda,2025,,057-2053-008-01,2029 UNIVERSITY Ave,,proj6,,,0,0,0,0,0,0,0,0,0,0,240,2025-11-13,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,N,,,,,,,,,,,,,,,37.87226180309335,-122.26983809759253,2029 UNIVERSITY AVE,
Berkeley,Alameda,2025,,053-1592-001-00,3000 SHATTUCK Ave,,proj10,,,0,0,0,0,0,17,0,0,0,0,149,2025-03-11,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,N,,,,,,,,,,,,,,VLOW:NDR-default(no restriction detail),37.855008098375635,-122.2667720415266,3000 SHATTUCK AVE,
Berkeley,Alameda,2025,,055-1826-018-02,2655 SHATTUCK Ave,,proj18,,,0,0,0,0,0,0,0,0,0,0,97,2025-08-14,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,N,,,,,,,,,,,,,,,37.86069065352949,-122.26644102671744,2655 SHATTUCK AVE,
Berkeley,Alameda,2025,,055-1887-003-00,2372 ELLSWORTH St,,proj28,,,0,0,0,0,0,0,0,0,0,0,63,2025-11-18,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,N,,,,,,,,,,,,,,,37.86654982460947,-122.26364792015735,2372 ELLSWORTH ST,
Berkeley,Alameda,2025,,058-2127-014-03,1740 SAN PABLO Ave,,proj32,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,54,2025-12-18,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,Y,,,,,,,,,,,,,,,37.87189306747787,-122.29344912366952,1740 SAN PABLO AVE,
Berkeley,Alameda,2025,,055-1871-001-03,2680 BANCROFT Way,,proj34,,,0,0,0,0,0,9,0,0,0,0,70,2025-06-13,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,N,,,,,,,,,,,,,,VLOW:NDR-default(no restriction detail),37.86897721110546,-122.25493601002294,2680 BANCROFT WAY,
Berkeley,Alameda,2025,,056-1983-042-01,2147 SAN PABLO Ave,,proj41,,,0,0,0,0,0,0,0,0,0,0,15,2025-09-09,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,N,,,,,,,,,,,,,,,37.867047132190656,-122.29108188862271,2147 SAN PABLO AVE,
Berkeley,Alameda,2025,,059-2326-011-00,1464 SIXTH St,,proj60,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,3,2025-09-18,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,Y,,,,,,,,,,,,,,,37.87534021260611,-122.30040498822191,1464 SIXTH ST,
