JURIS_NAME,CNTY_NAME,YEAR,PRIOR_APN,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,UNIT_CAT,TENURE,APP_SUBMIT_DT,ACUTELY_LOW_INCOME_DR,ACUTELY_LOW_INCOME_NDR,EXTREMELY_LOW_INCOME_DR,EXTREMELY_INCOME_NDR,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,ABOVE_MOD_INCOME,TOT_APPROVED_UNITS,TOT_PROPOSED_UNITS
Berkeley,Alameda,2025,,058-2149-019-04,1750 SACRAMENTO St,,proj1,,,2025-12-03,0,0,0,0,0,0,0,0,0,0,739,0,739
Berkeley,Alameda,2025,,057-2028-004-00,2276 SHATTUCK Ave,,proj2,,,2025-08-07,0,0,0,0,0,0,0,0,0,0,336,336,336
Berkeley,Alameda,2025,,055-1878-007-01,2425 DURANT Ave,,proj5,,,2024-11-15,0,0,0,0,0,0,0,0,0,0,117,117,117
Berkeley,Alameda,2025,,057-2053-008-01,2029 UNIVERSITY Ave,,proj6,,,2024-12-19,0,0,0,0,0,0,0,0,0,0,240,240,240
Berkeley,Alameda,2025,,053-1592-001-00,3000 SHATTUCK Ave,,proj10,,,2022-05-11,0,0,0,0,0,17,0,0,0,0,149,166,166
Berkeley,Alameda,2025,,055-1826-018-02,2655 SHATTUCK Ave,,proj18,,,2024-06-12,0,0,0,0,0,0,0,0,0,0,97,97,97
Berkeley,Alameda,2025,,055-1884-017-00,2330 DURANT Ave,,proj24,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,68,0,68
Berkeley,Alameda,2025,,055-1887-003-00,2372 ELLSWORTH St,,proj28,,,2024-01-01,0,0,0,0,0,0,0,0,0,0,63,63,63
Berkeley,Alameda,2025,,057-2023-013-00,2001 CENTER St,,proj30,,,2025-11-26,0,0,0,0,0,0,0,0,0,0,58,0,58
Berkeley,Alameda,2025,,054-1714-005-01,2712 TELEGRAPH Ave,,proj31,,,2025-11-26,0,0,0,0,0,0,0,0,0,0,57,0,57
Berkeley,Alameda,2025,,055-1871-001-03,2680 BANCROFT Way,,proj34,,,2024-03-19,0,0,0,0,0,9,0,0,0,0,70,79,79
Berkeley,Alameda,2025,,057-2026-004-05,2190 SHATTUCK Ave,,proj35,,,2025-11-21,0,0,0,0,34,0,0,0,34,0,384,0,452
Berkeley,Alameda,2025,,056-1983-042-01,2147 SAN PABLO Ave,,proj41,,,2024-07-17,0,0,0,0,0,0,0,0,0,0,15,15,15
Berkeley,Alameda,2025,,056-2011-022-00,1740 UNIVERSITY Ave,,proj42,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,12,0,12
Berkeley,Alameda,2025,,056-1958-003-01,2200 FIFTH St,,proj45,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,8,0,8
Berkeley,Alameda,2025,,059-2275-016-00,1745 CEDAR St,,proj46,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,6,0,6
Berkeley,Alameda,2025,,060-2447-036-00,1850 BERRYMAN St,,proj47,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,6,0,6
Berkeley,Alameda,2025,,057-2117-004-02,1618 SIXTH St,,proj49,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,4,0,4
Berkeley,Alameda,2025,,055-1865-014-01,2437 WARRING St,,proj52,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,4,0,4
Berkeley,Alameda,2025,,055-1848-018-00,2641 COLLEGE Ave,,proj53,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,3,0,3
Berkeley,Alameda,2025,,057-2116-022-00,1650 FIFTH St,,proj56,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,3,0,3
Berkeley,Alameda,2025,,052-1542-017-00,3101 SACRAMENTO St,,proj57,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,3,0,3
Berkeley,Alameda,2025,,060-2392-051-00,1449 CORNELL Ave,,proj58,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,3,0,3
Berkeley,Alameda,2025,,059-2260-005-00,1514 WALNUT St,,proj59,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,3,0,3
Berkeley,Alameda,2025,,059-2326-011-00,1464 SIXTH St,,proj60,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,3,0,3
Berkeley,Alameda,2025,,053-1658-005-03,2812 EIGHTH St,,proj61,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,3,0,3
