permit,apn,year,number_units,occtype,bucket,reason,wd
B2019-05574,055 189501805,2022,135,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",propose,"new-construction text, plain occ, no counted units at APN","Phase II of II - North Building; Structural Super Structure, Architectural Building Close In, Mechanical, Electrical and Plumbing for an  Eight story mixed use building with five s"
B2022-04623,057 205602300,2023,92,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congre",adjudicate_convention,convention-suspect occ/wd,REPLACEMENT OF MAIN HOUSE PANEL  DUE TO SEVERE CORROSION
B2023-04482,059 229300104,2024,82,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,Installation of water heater in Apartment 8.
B2024-00662,059 229300104,2025,82,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,Installation of water heater in #11
B2025-01553,059 229300104,2025,82,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,Installation of seismic safety shut off valve
B2019-05575,055 189501805,2023,69,A-2 Assembly: Food or Drink Consumption,propose,"new-construction text, plain occ, no counted units at APN",Phase I - South Building:  An eight-story mixed use building with five stories of Type IIIA residential space over 3 stories of Type IA mixed use.  The permit is split into 2 separ
B2018-02244,055 187500400,2019,55,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",propose,"new-construction text, plain occ, no counted units at APN","Phase 1 of 1: Excavation, Shoring & Earthwork of B2018-02243"
B2018-02708,055 187500400,2020,55,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",propose,"new-construction text, plain occ, no counted units at APN","Phase 2:  Foundation, concrete podium, underground & public utilities"
B2018-03422,055 187504500,2020,55,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",held,already in held_items (El Jardin class),Phase III of III for a New 6-Story mixed use building. See Permit B2018-02708 for foundation work and B2018-02244 for excavation and shoring
B2015-02998,057 204600802,2022,35,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",propose,"new-construction text, plain occ, no counted units at APN","ACHESON BLDG B: NEW 6 STORY, 32,673 SFT. BUILDING, TYPE IIIA OVER IA, WITH 35 NEW RESIDENTIAL UNITS (2ND- 6TH FL) AND NEW COMMERCIAL FIRST FLOOR. EXISTING EXTERIOR FACADES RETAINED"
B2019-01146,055 184600101,2019,30,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",adjudicate_unclear,neither clear new-construction nor alteration text,Remove unpermitted kitchen from storage space. To clear violation #2016-06679.
B2016-03148,057 202301701,2018,27,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",adjudicate_unclear,neither clear new-construction nor alteration text,"MEP permits issued.
Convert existing second floor office space into (6) residential dwelling units."
B2023-05748,060 243003201,2024,24,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,Obtaining Permit for Water Heater Installed in Mechanical Room
B2016-05139,054 174402500,2019,23,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",held,already in held_items (El Jardin class),BUILD (N) 4-STORY MIXED USED BUILDING - refer to BP # B2016-05399 for Demo of existing building
B2018-01295,058 218103000,2018,21,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",propose,"new-construction text, plain occ, no counted units at APN",Convert existing studio apartment into a 1 bedroom apartment. Move kitchen and add bedroom with new closet. Add wall heater to living room.
B2024-01153,057 208800801,2024,20,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,Remove old 25K wall heater and replace it with a 25k wall heating unit.
B2017-01987,057 207100200,2019,18,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",adjudicate_unclear,neither clear new-construction nor alteration text,legalize electrical in basement per Housing Report # H2016-06684 item # 4 - based on field inspection
B2024-04593,058 218101700,2024,16,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",propose,"new-construction text, plain occ, no counted units at APN","REROOF BUR: REMOVE TAR & GRAVEL ROOFING. INSTALL 2 LAYER POLY ISO, INSTALL 1 LAYER CERTAINTEED MEMBRANE.INSTALL NEW PIPES & FLASHINGS. TILE:REMOVE TILES AND UNDERLAYMENT. INSTALL N"
B2018-02394,055 184300800,2018,15,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",propose,"new-construction text, plain occ, no counted units at APN","Per Notice of Violation, legalize work performed without permit.  Add a non-bearing wall, new pocket doors & closet.  Repair floor/wall/ceiling fire assemblies at new openings & re"
B2021-03440,058 219100200,2025,14,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",adjudicate_unclear,neither clear new-construction nor alteration text,"Conversion of ground floor restaurant space into 2 dwelling units, while maintaining and retaining the storefront area along Euclid avenue.  Property in Fire Zone 2. **Contractor a"
B2018-03357,055 183301800,2019,13,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",propose,"new-construction text, plain occ, no counted units at APN",Legalize the new exterior door and security gate per housing case #H2018-00012 items #15 & #16.
B2018-04348,058 216901300,2018,12,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",propose,"new-construction text, plain occ, no counted units at APN","Per Notice of Violation dated Oct 11, 2018. Legalize work performed without permits. Interior remodel of kitchen & bath. Change closet to open alcove & install new 125AMP subpanel."
B2023-01374,058 218900300,2025,9,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",propose,"new-construction text, plain occ, no counted units at APN",Convert existing storage room into new laundry room.  Property in Fire Zone 2.
B2024-00772,055 185300400,2025,9,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",propose,"new-construction text, plain occ, no counted units at APN",Convert garage to new ADU.
B2025-01807,055 186601100,2025,9,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,"Modify existing water heater to bring it up to code: cut (T&P) copper
discharge pipe, install a third seismic strap to storage tank, install bonding
clamps & bonding wire for syste"
B2017-02735,059 225202000,2018,8,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,"Per housing report # BH2017-00115, Dated June 8, 2017, Items #4, #6, #7 & #9. Electrical, mechanical & plumbing. Install two (2) water heaters in units #7 & #8. Legalize installati"
B2022-06004,053 160101600,2023,8,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,400 amps main service panel upgrade(320 amps cont.)
B2024-03848,052 154502100,2025,8,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,"Housing Report #H2023-02356. Item #2 Replace living room window next to door with tempered glass. Item #7, Legalize laundry room alterations. Item #9, Repair microwave exhaust. Ite"
B2024-05306,057 204900700,2025,8,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",adjudicate_unclear,neither clear new-construction nor alteration text,Legalize unpermitted laundry utilities per violation notice.
B2020-03417,056 201003200,2023,7,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",adjudicate_unclear,neither clear new-construction nor alteration text,"Convert attic space back into storage and legalize stair to attic In pursuant Inspection Report H2019-00057, As ordered by the City of Berkeley, Housing Code Enforcement office."
B2022-03853,056 201101800,2023,7,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,Laundry Room - Repair damaged framing on ceiling and walls. Legalize water heater installation. Housing Case H2022-00197 Item #2 and #5.
B2025-01221,058 211901300,2025,7,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",adjudicate_unclear,neither clear new-construction nor alteration text,"Per Housing Rpt H2025-00090, Dated Feb 27, 2025, Item #6 Legalize installation of a 50 AMP subpanel in the kitchen serving the oven & range in first floor unit."
B2025-02883,056 201101800,2025,7,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,"Per Housing Rpt #H2022-00283. #2, & #3 Replace & relocate 80 AMP subpanel, install dedicated circuit for dishwasher. Legalize unapproved wiring alterations under the sink for dishw"
