year,bucket,match_via,apn_key,pdf_address,ckan_address,pdf_co_units,ckan_co_units,pdf_co_dates,ckan_co_dates,delta_co
2018,CKAN_ONLY,,059-2291-037-01,,1207 Virginia St,,1,,2018-01-12,-1
2018,CKAN_ONLY,,060-2406-011-00,,1224 Stannage Ave,,1,,2018-10-22,-1
2018,CKAN_ONLY,,060-2409-051-00,,1233 Evelyn Ave,,1,,2018-12-04,-1
2018,CKAN_ONLY,,055-1849-013-00,,2634 Piedmont Ave,,1,,2018-11-05,-1
2018,CKAN_ONLY,,052-1565-013-00,,2954 Russell St,,1,,2018-09-21,-1
2018,CKAN_ONLY,,060-2409-008-00,,1218 Evelyn Ave,,1,,2018-12-28,-1
2018,CKAN_ONLY,,060-2438-020-00,,1350 Carlotta Ave,,1,,2018-01-10,-1
2018,CKAN_ONLY,,059-2270-029-01,,1417 Josephine St,,1,,2018-06-27,-1
2018,CKAN_ONLY,,061-2604-007-00,,1835 Monterey Ave,,1,,2018-04-30,-1
2018,CKAN_ONLY,,056-2012-023-00,,2135 Roosevelt Ave,,1,,2018-05-23,-1
2018,CKAN_ONLY,,056-1970-020-00,,2217 Eighth St,,1,,2018-11-08,-1
2018,CKAN_ONLY,,054-1742-043-00,,2744 Mathews St,,1,,2018-09-04,-1
2018,CKAN_ONLY,,061-2562-020-01,,2075 Eunice St,,1,,2018-10-31,-1
2018,CKAN_ONLY,,053-1661-003-03,,1030 Grayson St,,4,,2018-10-17,-4
2018,CKAN_ONLY,,057-2023-017-01,,2002 Addison St,,7,,2018-08-28,-7
2018,CKAN_ONLY,,055-1883-005-00,,2414 Dana St,,1,,2018-03-08,-1
2018,CKAN_ONLY,,054-1785-022-00,,1120 Parker St,,1,,2018-06-26,-1
2018,CKAN_ONLY,,053-1663-003-00,,1206 Oregon St,,1,,2018-02-16,-1
2018,CKAN_ONLY,,053-1626-018-00,,1211 Haskell St,,1,,2018-03-14,-1
2018,CKAN_ONLY,,058-2124-023-00,,1641 Eighth St,,1,,2018-02-02,-1
2018,CKAN_ONLY,,056-1929-022-00,,2435 Byron St,,1,,2018-07-20,-1
2018,CKAN_ONLY,,054-1807-002-00,,2504 Grant St,,1,,2018-01-29,-1
2018,CKAN_ONLY,,052-1566-030-00,,2810 Ashby Ave,,1,,2018-07-26,-1
2018,CKAN_ONLY,,059-2326-001-02,,812 Page St,,2,,2018-01-30; 2018-02-06,-2
2018,CKAN_ONLY,,054-1800-011-00,,1527 Parker St,,1,,2018-11-05,-1
2018,CKAN_ONLY,,057-2078-024-00,,1805 Franklin St,,1,,2018-07-16,-1
2018,CKAN_ONLY,,062-2911-022-00,,1891 San Juan Ave,,1,,2018-11-13,-1
2018,CKAN_ONLY,,052-1560-013-00,,3030 Hillegass Ave,,1,,2018-05-30,-1
