na,delta,city,ours,keys,sks,yrs
2131 UNIVERSITY,37.0,37.0,0.0,057-2046-008-03,,2022
2740 SAN PABLO,23.0,23.0,0.0,054-1744-025-00,,2019
2002 ADDISON,7.0,7.0,0.0,057-2023-017-01,,2018
2580 BANCROFT,5.0,122.0,117.0,055-1877-019-02,B2019-00478,2021
1711 M L KING JR,4.0,4.0,0.0,058-2170-017-00,,"2019,2020,20"
2815 CHANNING,4.0,4.0,0.0,055-1864-010-00,,2021
2980 COLLEGE,4.0,4.0,0.0,052-1573-093-00,,2023
1512 CARLETON,3.0,3.0,0.0,054-1802-020-00,,2022
2718 DURANT,3.0,3.0,0.0,055-1869-016-00,,2023
3005 HARPER,2.0,2.0,0.0,053-1601-030-00,,2023
1825 BERKELEY 2,2.0,3.0,1.0,057-2063-011-00,B2021-02227,"2022,2023,20"
1173 HEARST,2.0,4.0,2.0,057-2086-013-00,"B2020-02941,B2020-02942",2023
1157 FRANCISCO,2.0,2.0,0.0,058-2129-002-00,,"2019,2022"
1526 6TH,2.0,2.0,0.0,059-2315-027-00,,2021
1828 EUCLID,2.0,2.0,0.0,058-2191-002-00,,2025
1506 BONITA,2.0,2.0,0.0,059-2268-006-01,,2023
2619 COLLEGE,2.0,4.0,2.0,055-1848-024-00,B2024-00819,2025
3353 M L KING JR,2.0,2.0,0.0,052-1433-012-00,,2022
912 CEDAR,2.0,2.0,0.0,058-2121-004-00,,2020
1023 CRAGMONT,2.0,2.0,0.0,063-2972-046-00,,2024
1811 SIXTY 3RD,2.0,5.0,3.0,052-1527-011-00,"B2019-03765,B2019-03766","2020,2021"
812 PAGE,2.0,2.0,0.0,059-2326-001-02,,2018
2233 GRANT,2.0,2.0,0.0,057-2014-019-01,,2024
908 CEDAR,2.0,2.0,0.0,058-2121-003-00,,2020
1812 UNIVERSITY,2.0,2.0,0.0,057-2016-021-01,,2025
2233 CURTIS,1.0,1.0,0.0,056-1987-028-00,,2019
2115 ROOSEVELT,1.0,1.0,0.0,056-2012-029-00,,2019
2374 EUNICE,1.0,1.0,0.0,060-2465-003-00,,2018
2031 PRINCE,1.0,1.0,0.0,053-1594-003-00,,2021
2075 EUNICE,1.0,1.0,0.0,061-2562-020-01,,2018
2335 5TH,1.0,1.0,0.0,056-1942-020-00,,2024
2131 DERBY,1.0,1.0,0.0,055-1826-011-00,,2021
2325 6TH,1.0,1.0,0.0,056-1941-019-00,,2025
2312 ROSE,1.0,1.0,0.0,059-2253-003-00,,2022
2271 VIRGINIA,1.0,1.0,0.0,058-2184-014-00,,2019
2145 GRANT,1.0,1.0,0.0,057-2015-022-00,,2021
2200 M L KING JR,1.0,1.0,0.0,057-2018-004-00,,2022
2213 JEFFERSON,1.0,1.0,0.0,056-2008-035-00,,2019
2220 MCGEE,1.0,1.0,0.0,056-2008-011-01,,2022
2022 DWIGHT,1.0,1.0,0.0,055-1822-024-00,,2023
0 GRIZZLY PEAK,1.0,2.0,1.0,063-2969-034-35,B2020-00781,2023
1943 HASTE,1.0,1.0,0.0,055-1899-004-00,,2021
2014 LOS ANGELES,1.0,1.0,0.0,061-2563-002-00,,2022
2013 2ND,1.0,20.0,19.0,058-2181-006-00|056-1954-008-01,B2015-06007,"2019,2020"
