JURIS_NAME,CNTY_NAME,YEAR,PRIOR_APN,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,UNIT_CAT,TENURE,ACUTELY_LOW_INCOME_DR,ACUTELY_LOW_INCOME_NDR,EXTREMELY_LOW_INCOME_DR,EXTREMELY_LOW_INCOME_NDR,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,ABOVE_MOD_INCOME,ENT_APPROVE_DT1,NO_ENTITLEMENTS,BP_ACUTELY_LOW_INCOME_DR,BP_ACUTELY_LOW_INCOME_NDR,BP_EXTREMELY_LOW_INCOME_DR,BP_EXTREMELY_INCOME_NDR,BP_VLOW_INCOME_DR,BP_VLOW_INCOME_NDR,BP_LOW_INCOME_DR,BP_LOW_INCOME_NDR,BP_MOD_INCOME_DR,BP_MOD_INCOME_NDR,BP_ABOVE_MOD_INCOME,BP_ISSUE_DT1,NO_BUILDING_PERMITS,CO_ACUTELY_LOW_INCOME_DR,CO_ACUTELY_LOW_INCOME_NDR,CO_EXTREMELY_LOW_INCOME_DR,CO_EXTREMELY_INCOME_NDR,CO_VLOW_INCOME_DR,CO_VLOW_INCOME_NDR,CO_LOW_INCOME_DR,CO_LOW_INCOME_NDR,CO_MOD_INCOME_DR,CO_MOD_INCOME_NDR,CO_ABOVE_MOD_INCOME,CO_ISSUE_DT1,NO_OTHER_FORMS_OF_READINESS,EXTR_LOW_INCOME_UNITS,APPROVE_SB35,HISTORIC_SITES,INFILL_UNITS,FIN_ASSIST_NAME,DR_TYPE,NO_FA_DR,TERM_AFF_DR,DEM_DES_UNITS,DEM_OR_DES_UNITS,DEM_DES_UNITS_OWN_RENT,DENSITY_BONUS_TOTAL,DENSITY_BONUS_NUMBER_OTHER_INCENTIVES,DENSITY_BONUS_INCENTIVES,DENSITY_BONUS_RECEIVE_REDUCTION,NOTES,LATITUDE,LONGITUDE,STD_ADDRESS,SCORE
BERKELEY,Alameda,2023,,055 187000300,2737 Durant Ave,,B2021-04892,2 to 4,Renter,0,0,0,0,0,0,0,0,0,0,4,2021-06-16,4,0,0,0,0,0,0,0,0,0,0,4,2023-03-22,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,NONE,0,Y,,,0,,0,0,0,0,0,,,,37.868631,-122.252716,"2737 Durant Ave, Berkeley, California, 94704",100
BERKELEY,Alameda,2023,,055 187800400,2439 Durant Ave,,ZP2021-0192,5+,Renter,0,0,0,0,0,0,0,0,0,0,22,2023-05-24,22,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,NONE,0,Y,,,0,,0,0,0,0,0,,,,37.867769,-122.259552,"2439 Durant Ave, Berkeley, California, 94704",100
BERKELEY,Alameda,2023,,055 189401500,2028 Bancroft Way,,B2019-04686,5+,Renter,0,0,0,0,2,0,0,0,0,0,35,2019-08-14,37,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,35,2023-07-28,37,0,NONE,0,Y,Other,DB,0,1000,0,0,0,23,1,Development Standards Modification,N,1 unit relocated to 1940 Haste,37.867423,-122.268867,"2028 Bancroft Way, Berkeley, California, 94704",100
BERKELEY,Alameda,2023,,055 187802200,2480 Bancroft Way,,B2022-05880,5+,Renter,0,0,0,0,2,0,0,0,0,0,26,2023-09-25,28,0,0,0,0,2,0,0,0,0,0,26,2023-12-13,28,0,0,0,0,0,0,0,0,0,0,0,,0,0,NONE,0,Y,Other,DB,0,1000,0,0,0,20,2,Development Standards Modification,N,Concession for public art allocation exemption; waiver to increase building height,37.868621,-122.259692,"2480 Bancroft Way, Berkeley, California, 94704",100
BERKELEY,Alameda,2023,,053 163300101,3000 San Pablo Ave,,B2020-04316,5+,Renter,0,0,0,0,7,0,0,0,0,0,71,2020-07-31,78,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,71,2023-06-05,78,0,NONE,0,Y,Other,DB,0,1000,0,0,0,35,4,Development Standards Modification,Y,,37.851943,-122.286703,"3000 San Pablo Ave, Berkeley, California, 94702",100
BERKELEY,Alameda,2023,,055 187700100,2590 Bancroft Way,,B2020-02831,5+,Renter,0,0,0,0,5,0,0,0,0,0,82,2020-07-17,87,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,82,2023-11-15,87,0,NONE,0,Y,Other,DB,0,1000,0,0,0,25,4,Development Standards Modification,N,"Waiver to exceed height, waiver to exceed FAR, waiver to permit ground floor residential units, concessino to decrease usable open space",37.868935,-122.257169,"2590 Bancroft Way, Berkeley, California, 94704",100
BERKELEY,Alameda,2023,,052 155400400,3120-30 Shattuck,,PLN2023-0017,5+,Owner,0,0,0,0,0,0,33,0,0,0,7,2023-08-23,40,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,SB 35 (2017),0,Y,"Other, CalHOME",DB,0,55,0,0,0,5,2,Development Standards Modification,N,"Waiver: exceed height, landscaped area (City Housing Trust Fund (predevelopment loan)
CalHome
California Energy Commission EPIC Design Grant
Mass Timber Competition )",37.889458,-122.269181,"Shattuck Ave, Berkeley, California, 94707",89.489999999999995
BERKELEY,Alameda,2023,,053 162701800,1221 Carrison St,,B2022-02837,ADU,Renter,0,0,0,0,0,1,0,0,0,0,0,2023-04-20,1,0,0,0,0,0,1,0,0,0,0,0,2023-04-20,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,NONE,0,Y,Other,,ABAG ADU Affordability Methodlogy,,0,0,0,0,0,,,ABAG ADU Affordability Methodlogy,37.851579,-122.285344,"1221 Carrison St, Berkeley, California, 94702",100
BERKELEY,Alameda,2023,,054 179101000,1327 Carleton St,,B2022-00935,ADU,Renter,0,0,0,0,0,1,0,0,0,0,0,2023-01-12,1,0,0,0,0,0,1,0,0,0,0,0,2023-01-12,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,NONE,0,Y,Other,,ABAG ADU Affordability Methodlogy,,0,0,0,0,0,,,ABAG ADU Affordability Methodlogy,37.859198,-122.283691,"1327 Carleton St, Berkeley, California, 94702",100
BERKELEY,Alameda,2023,,060 239105500,1371 Curtis St,,B2023-01554,ADU,Renter,0,0,0,0,0,1,0,0,0,0,0,2023-12-14,1,0,0,0,0,0,1,0,0,0,0,0,2023-12-14,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,NONE,0,Y,Other,,ABAG ADU Affordability Methodlogy,,0,0,0,0,0,,,ABAG ADU Affordability Methodlogy,37.879196,-122.290812,"1371 Curtis St, Berkeley, California, 94702",100
