block,n_sfr,lat,lon,market_ref_av_sqft,median_av_sqft,av_sqft_max_over_min,median_discount,share_under_25pct,share_near_market,share_hoex,benefit_usd_total,median_county_av_tax,median_city_sqft_tax,county_tax_max_over_min,city_tax_max_over_min
52-1425,8,37.852312,-122.26469,1315,742,2.8,0.436,0.0,0.25,0.625,87613,16132,3354,2.0,2.3
52-1448,8,37.848119,-122.281783,1013,262,40.9,0.741,0.5,0.25,0.5,89096,6101,2362,28.1,2.8
52-1452,8,37.849163,-122.282289,605,173,29.4,0.714,0.375,0.125,0.625,73824,3805,4099,38.6,2.9
52-1515,12,37.850604,-122.284323,748,361,23.4,0.518,0.25,0.167,0.833,104744,8249,3829,28.5,2.8
52-1516,22,37.850844,-122.281752,809,492,29.7,0.393,0.273,0.273,0.818,147952,7447,2767,28.7,2.8
52-1517,22,37.850097,-122.281947,931,243,40.9,0.739,0.5,0.273,0.773,213985,4850,2525,35.8,2.6
52-1518,23,37.848019,-122.28051,714,331,61.0,0.536,0.304,0.174,0.696,213035,6485,2995,31.7,3.4
52-1521,15,37.848744,-122.274972,713,218,46.7,0.695,0.333,0.267,0.867,167237,6629,4273,35.7,3.3
52-1523,15,37.846929,-122.274435,916,516,43.4,0.437,0.333,0.267,0.667,145146,8103,3361,36.8,2.6
52-1526,13,37.847521,-122.269944,986,224,28.7,0.773,0.538,0.154,0.923,221226,9820,4435,57.6,3.1
52-1528,9,37.849455,-122.269419,697,297,25.1,0.574,0.444,0.222,0.778,89368,7013,4173,26.2,1.8
52-1529,14,37.850475,-122.269277,734,532,28.7,0.275,0.286,0.5,0.5,94421,11122,3618,50.3,2.1
52-1535,12,37.849676,-122.274887,747,195,7.7,0.739,0.5,0.167,0.75,143934,5425,4468,13.4,3.2
52-1537,18,37.849031,-122.279102,729,331,38.7,0.545,0.222,0.333,0.611,139483,7235,3726,40.8,2.7
52-1538,32,37.849161,-122.280803,697,312,36.2,0.552,0.406,0.281,0.688,196851,4907,2654,46.6,2.8
52-1539,16,37.849799,-122.279332,812,265,29.7,0.674,0.375,0.188,0.562,155601,4942,3001,44.0,4.6
52-1540,15,37.850457,-122.279625,1185,286,70.5,0.759,0.533,0.133,0.533,258606,5478,3168,28.2,2.8
52-1541,8,37.850978,-122.279892,777,157,19.1,0.797,0.625,0.125,0.75,61465,2003,2361,20.3,1.9
52-1542,8,37.851099,-122.277424,1022,398,18.6,0.611,0.5,0.125,0.625,110015,10976,3272,38.8,3.6
52-1545,17,37.851436,-122.275243,934,372,10.8,0.602,0.294,0.176,0.765,200634,7160,3394,5.6,2.7
52-1546,10,37.851824,-122.273511,1027,287,10.7,0.72,0.3,0.2,0.8,125478,5637,3497,10.3,1.7
52-1547,9,37.850821,-122.273344,1009,406,11.5,0.597,0.111,0.111,0.667,101252,10671,3541,8.3,1.6
52-1548,10,37.851071,-122.272202,738,486,29.7,0.341,0.3,0.3,0.4,69309,10071,4321,52.1,1.9
52-1549,8,37.851878,-122.272429,1170,503,71.4,0.57,0.375,0.375,0.625,98071,8845,2921,34.9,3.7
52-1552,11,37.851634,-122.268746,731,238,17.6,0.674,0.455,0.364,0.636,108439,3748,3721,13.7,3.9
52-1554,16,37.852632,-122.267077,590,129,55.4,0.781,0.562,0.312,0.5,129747,3712,3384,37.2,2.6
52-1555,17,37.852878,-122.264992,972,363,39.9,0.627,0.412,0.176,0.588,244277,8654,4337,72.6,2.5
52-1556,22,37.852996,-122.263184,1025,670,43.7,0.346,0.273,0.364,0.5,226568,10993,3033,29.0,3.8
52-1558,9,37.85347,-122.258926,1152,225,23.2,0.805,0.667,0.111,0.778,188553,5807,4161,29.5,2.4
52-1559,26,37.853667,-122.257125,868,326,27.7,0.624,0.231,0.231,0.962,285385,7766,3882,19.1,2.7
52-1560,22,37.854723,-122.255362,1051,324,14.8,0.692,0.364,0.227,0.773,358270,8405,4419,18.4,2.9
52-1561,18,37.854807,-122.254374,635,278,30.4,0.562,0.222,0.278,1.0,175101,9093,5273,30.0,2.6
52-1562,16,37.854772,-122.253463,848,555,35.3,0.346,0.25,0.312,0.688,191541,14347,5104,44.4,2.2
52-1563,122,37.853474,-122.250694,985,400,39.6,0.594,0.27,0.23,0.836,1985512,12239,5016,49.2,5.0
52-1564,46,37.8555,-122.24962,895,348,42.5,0.612,0.391,0.196,0.957,736886,9293,5254,46.6,3.4
52-1565,117,37.857471,-122.247915,1036,339,45.6,0.673,0.427,0.214,0.744,2490380,9359,5038,64.0,4.6
52-1566,47,37.857593,-122.249752,919,306,33.1,0.667,0.426,0.277,0.809,968532,11244,5846,38.8,4.3
52-1567,41,37.857086,-122.251384,910,309,34.4,0.66,0.439,0.244,0.829,818729,10069,6510,47.3,4.9
52-1570,10,37.85746,-122.256277,828,282,19.0,0.659,0.4,0.2,0.8,150529,9550,5527,26.6,1.6
52-1571,14,37.857158,-122.257757,919,326,11.4,0.645,0.214,0.143,0.714,206771,11484,4528,7.7,2.2
52-1572,8,37.85671,-122.258692,727,202,13.8,0.722,0.5,0.125,0.625,74048,4459,3344,15.5,1.6
52-1573,17,37.856173,-122.255079,1110,352,21.3,0.683,0.353,0.118,0.647,338242,9868,4800,13.3,3.2
52-1574,30,37.854505,-122.257116,970,378,10.1,0.61,0.267,0.2,0.567,342545,7310,3467,14.0,2.3
52-1575,9,37.854123,-122.259087,1047,144,30.2,0.862,0.556,0.222,0.556,148599,3442,4237,21.2,2.0
52-1576,17,37.854355,-122.261311,881,255,25.6,0.71,0.412,0.294,0.529,209430,5118,3952,29.7,2.0
52-1577,12,37.855354,-122.261571,852,534,15.8,0.373,0.25,0.333,0.833,99895,12143,4031,13.7,1.5
52-1579,15,37.857256,-122.260636,865,278,31.2,0.678,0.467,0.267,0.733,163676,3660,3189,23.7,2.8
52-1580,8,37.856457,-122.261945,591,254,13.6,0.571,0.125,0.25,0.75,52584,7453,4544,32.9,2.5
52-1581,10,37.856568,-122.263148,787,446,13.7,0.433,0.2,0.4,0.9,65101,8085,3614,16.2,1.7
52-1582,11,37.856427,-122.264128,766,438,52.2,0.428,0.455,0.273,0.909,105293,6252,3193,30.3,3.0
52-1583,23,37.854606,-122.262743,959,462,35.8,0.518,0.261,0.304,0.739,258470,8653,3588,41.5,5.5
52-1584,16,37.854351,-122.263915,846,348,47.6,0.589,0.312,0.188,0.75,211936,7871,3679,37.8,3.5
52-1585,15,37.853555,-122.265308,909,315,11.8,0.654,0.4,0.133,0.867,202213,7134,3903,13.2,1.9
53-1586,15,37.854323,-122.265098,870,376,32.9,0.568,0.267,0.4,0.533,146474,9583,3516,45.2,3.3
53-1587,12,37.854984,-122.265181,1058,438,34.1,0.586,0.417,0.25,0.833,118259,6586,2830,31.4,2.0
53-1588,9,37.855932,-122.265059,846,139,21.0,0.836,0.556,0.333,0.667,102592,5048,4062,28.4,2.7
53-1591,8,37.855911,-122.267846,1283,227,86.6,0.823,0.75,0.125,0.5,182443,3836,3643,28.9,2.8
53-1593,17,37.854014,-122.267559,851,500,22.8,0.413,0.176,0.294,0.706,137086,11172,3731,41.9,2.4
53-1594,15,37.853299,-122.267356,1008,415,21.3,0.589,0.333,0.2,0.8,204079,9044,3911,20.6,2.3
53-1600,17,37.8554,-122.271773,1025,344,33.3,0.664,0.353,0.118,0.588,268189,9599,4635,44.2,3.0
53-1601,14,37.85317,-122.271553,662,221,17.6,0.666,0.357,0.143,0.786,164059,6098,4475,17.6,2.4
53-1602,17,37.852948,-122.272529,897,243,45.4,0.729,0.412,0.118,0.706,196790,4727,3504,49.8,2.0
53-1603,19,37.855154,-122.272806,721,352,34.7,0.511,0.316,0.316,0.737,137929,5682,3598,51.5,3.4
53-1604,26,37.854904,-122.273785,864,386,39.8,0.553,0.308,0.192,0.692,268054,6931,3318,46.0,3.1
53-1607,30,37.853261,-122.275487,795,380,35.2,0.522,0.167,0.2,0.667,253972,8215,3445,31.0,3.0
53-1608,29,37.854139,-122.275824,870,351,43.0,0.596,0.31,0.241,0.69,250559,6965,3024,30.8,2.5
