decile,median_av,median_sqft,ad_valorem,parcel_taxes,total,flat_share_pct,pct_of_av,measure_u_advertised_40yr_avg,measure_u_stated_peak_2040_41
1,76382,1566,941.26,3279.97,4236.94,77.4,5.547,16.91,26.73
2,168563,1900,2077.2,3926.71,5939.15,66.1,3.523,37.32,59.0
3,298685,1607,3680.7,3359.36,7091.24,47.4,2.374,66.13,104.54
4,435684,1731,5368.93,3599.46,9072.45,39.7,2.082,96.46,152.49
5,596898,1817,7355.57,3765.99,11133.6,33.8,1.865,132.15,208.91
6,785881,1695,9684.41,3529.75,13325.75,26.5,1.696,173.99,275.06
7,980635,1768,12084.37,3671.11,15878.31,23.1,1.619,217.11,343.22
8,1210757,1872,14920.16,3872.49,18901.78,20.5,1.561,268.06,423.76
9,1520307,2016,18734.74,4151.32,23047.39,18.0,1.516,336.6,532.11
10,2092819,2818,25789.81,5704.28,31780.27,17.9,1.519,463.35,732.49
