project_key,address,apn,units_best,units_source,planning_records,planning_status,planning_filed,building_records,building_status,building_filed,first_bp_issued,last_finaled,status_asof,v2_project_id,v2_match_basis,v2_units,v2_status,v2_bp_issued,v2_co,not_in_v2,needs_status_refresh,possible_v2_match,units_disagree,n_records,address_missing,address_borrowed
apn|058-2149-019-04,1750 SACRAMENTO St,058-2149-019-04,739,description,PLN2024-0010,Approved,2024-02-20,B2025-05534;B2026-03228,Corrections List Issued,2026-07-30,,,2026-09-21,1,address+apn+permit,739,Entitled,,,0,0,,0,3,0,0
apn|057-2053-003-01,1998 Shattuck,057-2053-003-01,599,description,ZP2022-0175;PLN2022-0118;PLN2023-0083,Closed,2023-11-30,,,,,,2026-07-08,,,,,,,1,0,"119(599u,block,=units);466(50u,block);901(142u,block)",0,3,0,0
addr|98|shattuck,98 SHATTUCK,,599,description,DRCP2023-0003;ZP2023-0040,Approved,2023-03-17,,,,,,2026-07-08,119,permit,599,Entitled,,,0,1,,0,2,0,0
apn|057-2031-001-01,2128 OXFORD St,057-2031-001-01,551,description,DRCP2021-0016;ZP2021-0162;PLN2022-0056;DRCP2022-0014;ZP2022-0135;DRCF2024-0006,Approved,2024-12-09,,,,,,2026-07-08,133,address+apn,456,Entitled,,,0,1,,1,6,0,0
addr|2190|shattuck,2190 SHATTUCK Ave,,326,description,PLN2022-0010;ZP2022-0026,Approved,2022-02-23,,,,,,2026-09-21,35,address,452,In Review,,,0,0,,1,2,0,0
addr|1931|san pablo,1931 SAN PABLO Ave,,323,description,PLN2022-0026,Closed,2022-03-17,,,,,,2026-09-21,,,,,,,1,0,,0,1,0,0
apn|054-1723-001-00,2700 SHATTUCK,054-1723-001-00,293,description,PLN2023-0081;DRCP2024-0006;ZP2024-0058,Approved,2024-05-14,,,,,,2026-07-08,3,address+apn+permit,359,Entitled,,,0,1,,1,3,0,0
apn|057-2101-001-03,1900 Fourth Street,057-2101-001-03,260,description,ZP2018-0052,Closed,2018-03-08,,,,,,2026-07-08,,,,,,,1,0,,0,1,0,0
addr|1914|5th,1914 FIFTH St,,257,description,ZP2020-0104;PLN2020-0044;PLN2022-0039,Closed,2022-05-03,,,,,,2026-09-21,4,address+permit,257,In Review,,,0,0,,0,3,0,0
addr|2601|san pablo,2601 SAN PABLO Ave,,242,description,PLN2021-0004;ZP2021-0066;PLN2022-0048;ZP2022-0171;PLN2023-0089,Closed,2023-12-08,,,,,,2026-09-21,7,address+permit,223,In Review,,,0,0,,1,5,0,0
addr|2029|university apartments,2029 UNIVERSITY AVENUE APARTMENTS,,240,description,PLN2024-0069,Under Review,2024-12-10,,,,,,2026-09-21,6,permit,240,Entitled,,,0,0,,0,1,0,0
apn|057-2053-008-01,2029 University Avenue,057-2053-008-01,240,description,ZP2024-0182;ZP2024-0181;DRCP2025-0002;DRCP2025-0001,Approved,2025-01-09,,,,,,2026-07-08,6,address+apn+permit,240,Entitled,,,0,1,,0,4,0,0
apn|057-2028-003-00,2274 SHATTUCK Ave,057-2028-003-00,239,description,PLN2022-0072;DRCP2023-0008;ZP2023-0079,Approved,2023-05-30,,,,,,2026-07-08,120,address+apn+permit,299,Entitled,,,0,1,,1,3,0,0
apn|058-2181-019-05,1899 OXFORD St,058-2181-019-05,222,description,PLN2023-0100;DRCP2024-0011;ZP2024-0075;ZP2026-0077,Under Review,2026-08-11,B2026-02298,Under Review,2026-06-02,,,2026-07-08,9,address+apn+permit,212,Entitled,,,0,1,,1,5,0,0
