record,module,source,record_type,role,units,units_source,status_source,address,apn,filed,issued,finaled,status,status_asof,description,production
B2014-01391,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,1471 SCENIC AVE,059-2249-030-02,2014-03-28,,2026-02-24,Finaled,2026-07-07,"NEW SINGLE FAMILY DWELLING W/ATTACHED ACCESSORY DWELLING UNIT. TOTAL 4310 SQFT

8/3/17 - ELEC & MECH ISSUED",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2014-02844,Building,cpra,New,new_unit,44,cpra_UnitsAdded,census,2526 DURANT AVE,055-1876-017-00,2014-06-25,2016-02-16,2019-06-14,Finaled,,"NEW MIXED USE BUILDING - 44 APTS WITH COMMERCIAL ON GROUND FLOOR. ADDING 41,634 S.F.: 36,638 S.F. RESIDENTIAL AND 4,996 S.F. COMMERCIAL
Backcheck processed.  $$",BP_Annual Permit Report-2018-2022.xlsx
B2014-05786,Building,cpra,New,new_unit,44,cpra_UnitsAdded,census,1808 UNIVERSITY AVE,057-2016-021-01,2014-12-29,2016-01-21,2021-08-31,Finaled,,"**PHASE II: NEW 36,554 SQFT MIXED USE BLDG. (28,095 RES /2,996COMM /6,083 GARAGE), 44 D.U. SEE 14-2907 FOR PHASE I.",BP_Annual Permit Report-2018-2022.xlsx
B2015-03000,Building,cpra,New,new_unit,65,cpra_UnitsAdded,census,1900 WALNUT ST,057-2046-006-00,2015-06-23,2018-06-27,2022-10-25,Finaled,2026-07-08,"""ACHESON COMMONS"" - BUILDING ""C"": (N) 82,740 SFT, 65 RES. UNIT, 6 STORY, TYPE III-A SPRINKLERED OVER TYPE I-A SPRINKLERED RESIDENTIAL PODIUM BUILDING WITH PARKI",BP_Annual Permit Report-2018-2022.xlsx
B2015-03005,Building,cpra,New,new_unit,68,cpra_UnitsAdded,census,2111 UNIVERSITY AVE,057-2046-010-00,2015-06-23,2018-06-27,2022-03-04,Finaled,2026-07-08,"ACHESON BLDG D: NEW 6 STORY 67,558 SFT  BUILDING, TYPE IIIA OVER IA, WITH 68 NEW RESIDENTIAL UNITS (2ND- 6TH FL) AND NEW COMMERCIAL FIRST FLOOR. EXISTING STREET",BP_Annual Permit Report-2018-2022.xlsx
B2016-00895,Building,cpra,New,new_unit,82,cpra_UnitsAdded,census,2035 BLAKE St,055-1822-009-00,2016-03-01,2017-08-10,2022-04-20,Finaled,2026-07-08,"New Construction 5-story (82) residential units and 1 ground floor retail space, with 63 underground parking spaces. Total of 86,144 sq ft.
**July 12, 2018, Dev",BP_Annual Permit Report-2018-2022.xlsx
B2016-03148,Building,cpra,Addition/Alteration,ambiguous,6,cpra_UnitsAdded,census,2002 ADDISON St,057-2023-017-01,2016-07-01,2018-02-01,2018-08-28,Finaled,2026-07-08,"MEP permits issued.
Convert existing second floor office space into (6) residential dwelling units.",BP_Annual Permit Report-2018-2022.xlsx
B2016-03471,Building,cpra,New,new_unit,70,cpra_UnitsAdded,census,2539 TELEGRAPH Ave,055-1839-020-00,2016-07-22,2017-07-12,2019-09-30,Finaled,2026-07-08,"New 69,667 sq.ft.  6-story 70' tall, mixed use podium building with 70 residential units, 5,330 sq.ft. of commercial floor area. Nine (9) automobile and fourtee",BP_Annual Permit Report-2018-2022.xlsx
B2016-04483,Building,cpra,New,new_unit,50,cpra_UnitsAdded,census,2124 BANCROFT Way,055-1893-018-00,2016-09-22,2017-11-06,2019-11-15,Finaled,2026-07-08,"New 50 unit mixed use multi-family building with retail and parking garage. 
**Contractor, Power Plus added Temp Power pole 400 Amps.**
REV01: Added and expande",BP_Annual Permit Report-2018-2022.xlsx
B2017-01029,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,2411 FIFTH St,056-1943-023-00,2017-03-13,2017-08-02,2018-10-30,Finaled,2026-07-08,"Construct new 3,348 sq.ft. 3-story duplex.

8/9/17 - Plumbing issued for plumbing work in bathrooms, kitchens, laundry and installation of water heaters.",BP_Annual Permit Report-2018-2022.xlsx
B2017-01850,Building,cpra,New,new_unit,10,cpra_UnitsAdded,census,2597 TELEGRAPH Ave,055-1837-003-00,2017-05-03,2018-08-09,2021-11-10,Finaled,2026-07-08,"New Residential building 25,182 sq ft.; 10 living units above concrete podium and parking. Includes the demo of Parking Slab on grade
- Deferred 02: truss joist",BP_Annual Permit Report-2018-2022.xlsx
B2017-02082,Building,cpra,Alteration,ambiguous,2,cpra_UnitsAdded,census,3353 M L KING JR Way,052-1433-012-00,2017-05-16,2019-08-07,2022-09-28,Finaled,2026-07-08,"Legalize two(2) residential units that were converted without Permits from original commercial.
See use permit ZP2015-0184 conditions on 2nd page of plans.",BP_Annual Permit Report-2018-2022.xlsx
B2017-02610,Building,cpra,New,new_unit,50,cpra_UnitsAdded,census,2067 UNIVERSITY Ave,057-2053-005-00,2017-06-15,2018-10-10,2023-08-10,Finaled,2026-07-08,"New 7-story, 29,968 sq.ft. mixed use building: R-2 and B occupancies and III-A over I-A. 50 residential units",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2017-03295,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,1030 GRAYSON St,053-1661-003-03,2017-07-28,2018-02-01,2018-10-17,Finaled,2026-07-08,New Rear (southern) Duplex (Address assignment needed) for 1032 and 1034 Grayson. Full plan check fees were assessed on B2017-00518 with valuation of $928042.00,BP_Annual Permit Report-2018-2022.xlsx
B2018-01337,Building,cpra,New,new_unit,40,cpra_UnitsAdded,census,2510 CHANNING Way,055-1875-008-00,2018-04-05,2020-01-27,,Closed Expired,2026-07-08,"Phase II of II: Superstructure and close in for a new 8 story mixed use building. Floors 1 through 3 is Type IA which include R-2, A-2 (restaurant) and M occupa",BP_Annual Permit Report-2018-2022.xlsx
B2018-02291,Building,cpra,New,new_unit,14,cpra_UnitsAdded,census,2340 FIFTH St,056-1945-006-00,2018-06-12,2019-05-30,2022-05-13,Finaled,2026-07-08,"Building A: 3 story, 6 Unit Apartment Building (Project consists of 3 separate buildings A, B and C)",BP_Annual Permit Report-2018-2022.xlsx
B2018-03255,Building,cpra,New,new_unit,63,cpra_UnitsAdded,census,2527 SAN PABLO Ave,054-1781-015-01,2018-08-17,2023-07-21,2024-04-30,Finaled,2026-07-08,"New 6 story mixed use with 63 residential units, leasing offices, community room, parking and commercial retail space.",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2018-04293,Building,cpra,New,new_unit,66,cpra_UnitsAdded,census,2072 ADDISON St,057-2023-025-00,2018-10-26,2020-01-29,2023-07-18,Finaled,2026-07-08,"New seven story building with ground commercial space and parking garage for twenty-nine automobiles with parking lift, and six stories of residential apartment",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2019-00478,Building,cpra,New,new_unit,117,cpra_UnitsAdded,census,2580 BANCROFT Way,055-1877-019-02,2019-02-04,2019-09-24,2021-11-29,Finaled,2026-07-08,"Phase II: Build out for a new 8 story 117 dwelling unit multi-family building. Phase I Foundation under permit B2018-02807.

**Revision 2-Changes and Engineerin",BP_Annual Permit Report-2018-2022.xlsx
