project_id,address,units,v2_status,flag,reason,co_evidence_date,n_census_building_permits,new_construction_permits,latest_building_status,planning_records,planning_statuses,live_planning,assessor_imps,apn,years_since_filing,address_matched_census
72,5 W PARNASSUS Ct,1,Permitted,completed_evidence,approved Building Final 2026-05-13 on new-construction permit(s) B2025-01579,2026-05-13,4,B2025-01579,Finaled,,,0,1132213.0,058-2232-022-00,1,1
4,1914 FIFTH St,257,In Review,dead_entitlement,no new-construction BP at the address; all 2 planning records terminal (Closed),,3,,Finaled,ZCBP2015-1149;ZCBP2015-1456,Closed,0,0,057-2100-007-08,3,1
41,2147 SAN PABLO Ave,15,Entitled,dead_entitlement,no new-construction BP at the address; all 1 planning records terminal (Closed),,0,,,PLN2018-0037,Closed,0,7035.0,056-1983-042-01,2,0
113,2138 KITTREDGE St,73,Permitted,built_no_final,"permitted/under construction with new-construction BP B2025-00984 and assessor Imps $2,142,000, but no approved Building Final — check for an unrecorded final",,4,B2025-00984;B2025-02344,Issued,DRCP2024-0015;DRCF2026-0002,Approved,2,2142000.0,057-2029-015-00,2,1
159,2403 SAN PABLO Ave,36,Under Construction,built_no_final,"permitted/under construction with new-construction BP B2024-00143 and assessor Imps $3,800,000, but no approved Building Final — check for an unrecorded final",,23,B2024-00143;B2024-00143-DEF01;B2024-00143-DEF03;B2024-00143-REV06,Under Review,,,0,3800000.0,056-1928-001-00,1,1
119,1974 SHATTUCK Ave,599,Entitled,stalled_no_bp,"3y since filing, no new-construction BP at the address; 2 live planning record(s)",,4,,Closed Expired,ZCBP2015-0809;ZCBL2020-0228,Approved,2,725185.0,057-2053-002-00,3,1
120,2274 SHATTUCK Ave,299,Entitled,stalled_no_bp,"3y since filing, no new-construction BP at the address; 0 live planning record(s)",,6,,Finaled,,,0,530600.0,057-2028-003-00,3,1
8,2920 SHATTUCK Ave,242,In Review,stalled_no_bp,"3y since filing, no new-construction BP at the address; 2 live planning record(s)",,0,,,DRCP2022-0013;ZP2022-0116,Approved;In Review,2,284452.0,053-1590-005-01,3,0
7,2601 SAN PABLO Ave,223,In Review,stalled_no_bp,"3y since filing, no new-construction BP at the address; 3 live planning record(s)",,1,,Finaled,ZCBP2015-0631;ZP2022-0171;DRCP2023-0001,Application Complete;Approved;In Review,3,0,054-1785-017-00,3,1
10,3000 SHATTUCK Ave,166,Entitled,stalled_no_bp,"4y since filing, no new-construction BP at the address; 2 live planning record(s)",,0,,,DRCP2015-0022;ZP2015-0229,Approved,2,459000.0,053-1592-001-00,4,0
36,2733 SAN PABLO Ave,152,In Review,stalled_no_bp,"3y since filing, no new-construction BP at the address; 0 live planning record(s)",,0,,,,,0,1071000.0,054-1742-032-00,3,0
13,2420 SHATTUCK Ave,132,In Review,stalled_no_bp,"3y since filing, no new-construction BP at the address; 0 live planning record(s)",,6,,Issued,,,0,15695.0,055-1896-003-00,3,1
14,2847 SHATTUCK Ave,132,In Review,stalled_no_bp,"3y since filing, no new-construction BP at the address; 1 live planning record(s)",,0,,,ZP2022-0132,Incomplete Pending Applicant,1,481630.0,053-1686-020-00,3,0
140,2136 SAN PABLO Ave,125,Entitled,stalled_no_bp,"5y since filing, no new-construction BP at the address; 0 live planning record(s)",,0,,,,,0,0,056-1977-011-01,5,0
16,2720 SAN PABLO Ave,113,In Review,stalled_no_bp,"3y since filing, no new-construction BP at the address; 1 live planning record(s)",,0,,,DRCP2016-0001,Approved,1,1673511.0,054-1744-007-00,3,0
