apn,recordid,busdesc,b1_per_sub_type,dba,naics,tax_code,employee_num,bus_own_type,b1_business_name,b1_address1,b1_city,b1_state,b1_zip,b1_contact_type,b1_full_address,b1_situs_city,b1_situs_state,b1_situs_zip
060 235300900,BL-000018,AUTOMOBILE REPAIR SERVICE,Business Personal Repair Svs,AUTOMETRICS,811111 - General Automotive Repair,B,4,Corporation,AUTOMETRICS,1340 SAN PABLO AVE,BERKELEY,CA,94702,Business Owner,1340 SAN PABLO AVE,BERKELEY,CA,94702
054 176300800,BL-000019,GENERAL CONTRACTOR,Construction or Contractor,ALWARD CONSTRUCTION,236118 - Residential Remodelers,C,24,Corporation,ALWARD CONSTRUCTION,1035 CARLETON ST,BERKELEY,CA,94710 263,Business Owner,1035 CARLETON St,BERKELEY,CA,94710
ZZZZZZZZZZZZZ,BL-000021,ELECTRICAL CONTRACTOR,Construction or Contractor,ANGEL ELECTRIC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,1,Sole Ownership,ANGEL ELECTRIC,1755 POST AVE,SAN PABLO,CA,94806,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-000025,ROOFING CONTRACTOR,Construction or Contractor,NATURESLATE ROOFING,238160 - Roofing Contractors,C,5,Corporation,NATURESLATE ROOFING,550 MARINE VIEW AVE STE D,BELMONT,CA,94002-2572,Business Owner,0 VARIOUS,BERKELEY,CA,94704
052 155400400,BL-000034,PUBLIC BENEFIT NON PROFIT,Non Profit Organizations,LONG HAUL,812990 - All Other Personal Services,N,0,Corporation,LONG HAUL,3124 SHATTUCK AVE,BERKELEY,CA,947051823,Business Owner,3124 SHATTUCK Ave,BERKELEY,CA,94705
ZZZZZZZZZZZZZ,BL-000039,ELECTRICAL CONTRACTOR,Construction or Contractor,ANSON ELECTRIC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,1,Sole Ownership,ANSON ELECTRIC,32 SANTA MARIA DR,NOVATO,CA,94947,Business Owner,0 VARIOUS,BERKELEY,CA,94704
060 239400500,BL-000047,GENERAL CONTRACTOR,Construction or Contractor,JRMK CONSTRUCTION LLC,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,1,Sole Ownership,JRMK CONSTRUCTION LLC,1442 STANNAGE AVE,BERKELEY,CA,94702-1049,Business Owner,1442 STANNAGE Ave,BERKELEY,CA,94702
052 151601800,BL-000049,PLUMBING CONTRACTOR,Construction or Contractor,ONE STEP PLUMBING,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,0,Sole Ownership,ONE STEP PLUMBING,1309 67TH ST,BERKELEY,CA,94702-2621,Business Owner,1309 SIXTY-SEVENTH St,BERKELEY,CA,94702
055 185000200,BL-000054,MULTI RESIDENTIAL,Rental of Real Property,ADX PARTNERS,531110 - Lessors of Residential Buildings and Dwellings,L,0,Partnership,ADX PARTNERS,2600 WARRING ST,BERKELEY,CA,94704-3415,Business Owner,2730 DWIGHT WAY,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-000058,PLUMBING CONTRACTOR,Construction or Contractor,BAY PLUMBING & ROOTER,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,1,Sole Ownership,BAY PLUMBING & ROOTER,525 VAQUEROS AVE,RODEO,CA,94572-1541,Business Owner,0 VARIOUS,BERKELEY,CA,94704
055 185102100,BL-000060,RESIDENTIAL-9 UNITS (U1),Rental of Real Property,A Z ASSOCIATES,531110 - Lessors of Residential Buildings and Dwellings,L,0,Partnership,A Z ASSOCIATES,PO BOX 9754,BERKELEY,CA,94709,Business Owner,2525 PIEDMONT AVE,BERKELEY,CA,94704
057 210200501,BL-000066,GENERAL CONTRACTOR,Construction or Contractor,ABRAMS D/MILLIKAN R/KENT,236118 - Residential Remodelers,C,6,Partnership,ABRAMS D/MILLIKAN R/KENT,1834 4TH ST,BERKELEY,CA,94710-1911,Business Owner,1834 FOURTH ST,BERKELEY,CA,94710
ZZZZZZZZZZZZZ,BL-000067,GLASS & GLAZE CONTRACTOR,Construction or Contractor,R & S GLAZING SPECIALTIES INC,238150 - Glass and Glazing Contractors,C,4,Corporation,R & S GLAZING SPECIALTIES INC,5353 NAPA VALLEJO HWY,AMERICAN CYN,CA,94503-9699,Business Owner,0 VARIOUS,BERKELEY,CA,94704
055 187000101,BL-000074,FRAT FOOTBALL PARKING,Non Profit Organizations,CALIFORNIA ALUMNI OF D.K.E.,812930 - Parking Lots and Garages,N,0,Corporation,CALIFORNIA ALUMNI OF D.K.E.,PO BOX 6688,MORAGA,CA,94570-6688,Business Owner,2302 PIEDMONT Ave,BERKELEY,CA,94704
