Permit Number,Address,old_units,new_units,net_unit_change,permit_year
ZP2020-0006,40 HILL Rd,0.0,1.0,1.0,2020.0
ZP2020-0104,1914 FIFTH St,0.0,257.0,257.0,2020.0
ZP2021-0072,2942 COLLEGE Ave,0.0,4.0,4.0,2021.0
ZP2021-0127,1710 UNIVERSITY Ave,0.0,16.0,16.0,2021.0
ZP2021-0158,130 BERKELEY Sq,0.0,50.0,50.0,2021.0
ZP2022-0021,2449 DWIGHT Way,24.0,51.0,27.0,2022.0
ZP2022-0046,3000 SHATTUCK Ave,0.0,166.0,166.0,2022.0
ZP2022-0106,2221 FIFTH St,0.0,3.0,3.0,2022.0
ZP2022-0116,2920 SHATTUCK Ave,0.0,221.0,221.0,2022.0
ZP2022-0120,1015 UNIVERSITY Ave,0.0,9.0,9.0,2022.0
ZP2022-0132,2847 SHATTUCK Ave,0.0,112.0,112.0,2022.0
ZP2022-0149,2420 SHATTUCK Ave,0.0,132.0,132.0,2022.0
ZP2022-0171,2601 SAN PABLO Ave,0.0,223.0,223.0,2022.0
ZP2022-0172,1139 KEELER Ave,0.0,1.0,1.0,2022.0
PLN2023-0065,1740 SAN PABLO Ave,0.0,54.0,54.0,2023.0
ZP2023-0058,2720 SAN PABLO Ave,0.0,84.0,84.0,2023.0
ZP2023-0063,1850 BERRYMAN St,0.0,3.0,3.0,2023.0
ZP2023-0070,1790 UNIVERSITY Ave,0.0,17.0,17.0,2023.0
ZP2023-0089,2441 LE CONTE Ave,0.0,65.0,65.0,2023.0
ZP2023-0090,2733 SAN PABLO Ave,0.0,32.0,32.0,2023.0
ZP2023-0095,2660 BANCROFT Way,0.0,78.0,78.0,2023.0
ZP2023-0096,2680 BANCROFT Way,0.0,37.0,37.0,2023.0
ZP2023-0099,2109 MILVIA St,0.0,105.0,105.0,2023.0
PLN2024-0001,2205 BLAKE St,0.0,3.0,3.0,2024.0
PLN2024-0010,1750 SACRAMENTO St,0.0,739.0,739.0,2024.0
PLN2024-0011,2138 KITTREDGE St,3.0,66.0,63.0,2024.0
PLN2024-0013,2201 BLAKE St,4.0,7.0,3.0,2024.0
PLN2024-0018,2317 CHANNING Way,17.0,22.0,5.0,2024.0
PLN2024-0023,2326 DURANT Ave,0.0,70.0,70.0,2024.0
PLN2024-0024,0 LE ROY Ave,0.0,1.0,1.0,2024.0
PLN2024-0025,2428 MILVIA St,6.0,14.0,8.0,2024.0
PLN2024-0047,1136 KEITH Ave,1.0,1.0,0.0,2024.0
PLN2024-0049,2425 DURANT Ave,3.0,117.0,114.0,2024.0
PLN2024-0054,2372 ELLSWORTH St,0.0,63.0,63.0,2024.0
PLN2024-0061,1939 MARIN Ave,0.0,1.0,1.0,2024.0
PLN2024-0062,2328 GRANT St,0.0,1.0,1.0,2024.0
PLN2024-0069,2029 UNIVERSITY Ave,0.0,240.0,240.0,2024.0
PLN2024-0070,2029 UNIVERSITY Ave,0.0,160.0,160.0,2024.0
ZP2024-0027,2614 TELEGRAPH Ave,1.0,32.0,31.0,2024.0
ZP2024-0047,2450 SHATTUCK Ave,0.0,94.0,94.0,2024.0
ZP2024-0057,2655 SHATTUCK Ave,0.0,97.0,97.0,2024.0
ZP2024-0058,2700 SHATTUCK Ave,0.0,276.0,276.0,2024.0
ZP2024-0059,2204 DWIGHT Way,0.0,2.0,2.0,2024.0
ZP2024-0066,2109 VIRGINIA St,0.0,131.0,131.0,2024.0
ZP2024-0067,2276 SHATTUCK Ave,0.0,336.0,336.0,2024.0
ZP2024-0071,2955 SHATTUCK Ave,0.0,74.0,74.0,2024.0
ZP2024-0074,1581 UNIVERSITY Ave,0.0,158.0,158.0,2024.0
ZP2024-0075,1899 OXFORD St,8.0,220.0,212.0,2024.0
ZP2024-0076,2720 SAN PABLO Ave,4.0,117.0,113.0,2024.0
ZP2024-0077,2847 SHATTUCK Ave,4.0,136.0,132.0,2024.0
ZP2024-0079,2036 BANCROFT Way,2.0,87.0,85.0,2024.0
ZP2024-0096,2147 SAN PABLO Ave,128.0,141.0,15.0,2024.0
ZP2024-0112,3035 COLBY St,2.0,2.0,0.0,2024.0
ZP2024-0126,2298 DURANT Ave,0.0,65.0,65.0,2024.0
ZP2024-0131,2115 KITTREDGE St,0.0,148.0,148.0,2024.0
ZP2024-0147,2420 ASHBY Ave,0.0,4.0,4.0,2024.0
ZP2024-0162,2425 DURANT Ave,19.0,250.0,250.0,2024.0
ZP2024-0181,2029 UNIVERSITY Ave,0.0,240.0,240.0,2024.0
ZP2024-0182,2029 UNIVERSITY Ave,0.0,160.0,160.0,2024.0
PLN2025-0013,1111 ALLSTON Way,0.0,1.0,1.0,2025.0
PLN2025-0017,1464 SIXTH St,3.0,6.0,3.0,2025.0
PLN2025-0031,2437 WARRING St,0.0,4.0,4.0,2025.0
PLN2025-0037,1464 SIXTH St,3.0,6.0,3.0,2025.0
PLN2025-0038,2330 DURANT Ave,,68.0,68.0,2025.0
PLN2025-0039,2001 CENTER St,0.0,58.0,58.0,2025.0
PLN2025-0040,1745 CEDAR St,0.0,6.0,6.0,2025.0
PLN2025-0041,1650 FIFTH St,1.0,4.0,3.0,2025.0
PLN2025-0046,1449 CORNELL Ave,0.0,3.0,3.0,2025.0
PLN2025-0048,5 W PARNASSUS Ct,,1.0,1.0,2025.0
PLN2025-0050,1850 BERRYMAN St,0.0,6.0,6.0,2025.0
PLN2025-0052,1850 BERRYMAN St,,6.0,6.0,2025.0
PLN2025-0053,2330 DURANT Ave,0.0,68.0,68.0,2025.0
PLN2025-0058,2812 EIGHTH St,1.0,4.0,3.0,2025.0
