name,organization,role,email,category,last_contacted,notes
Berkeleyside housing reporter,Berkeleyside,Reporter,tips@berkeleyside.org,Media,,
Andrew Nelson,SFYimby,Reporter,,Media,,
Frances Dinkelspiel,Berkeleyside,Founder,,Media,,
David Garcia,Terner Center,Director,,Research,,
Ben Metcalf,Terner Center,Managing Director,,Research,,
Darrell Owens,Terner Labs,Data Analyst,,Research,,
Moira O'Neill,Terner Center,Researcher,,Research,,
Amy Lerman,Possibility Lab,Executive Director,,Research,,
Adena Ishii,Berkeley Mayor,Mayor,mayor@berkeleyca.gov,City Council,,
Rashi Kesarwani,District 1,Councilmember,rkesarwani@berkeleyca.gov,City Council,,
Terry Taplin,District 2,Councilmember,ttaplin@berkeleyca.gov,City Council,,
Ben Bartlett,District 3,Councilmember,bbartlett@berkeleyca.gov,City Council,,
Igor Tregub,District 4,Councilmember,itregub@berkeleyca.gov,City Council,,
Shoshana O'Keefe,District 5,Councilmember,sokeefe@berkeleyca.gov,City Council,,
Brent Blackaby,District 6,Councilmember,bblackaby@berkeleyca.gov,City Council,,
Cecilia Lunaparra,District 7,Councilmember,clunaparra@berkeleyca.gov,City Council,,
Mark Humbert,District 8,Councilmember,mhumbert@berkeleyca.gov,City Council,,
All Council,Berkeley City Council,All,council@berkeleyca.gov,City Council,,
Jordan Klein,Planning and Development,Director,,City Staff,,
Sharon Gong,Planning Department,Senior Planner,sgong@cityofberkeley.info,City Staff,,
Jenny Wong,City Auditor,Auditor,,City Staff,,
Eleanor Hollander,Economic Development,Manager,ehollander@cityofberkeley.info,City Staff,,
Elizabeth Redman Cleveland,Economic Development,Chief Strategist,ercleveland@cityofberkeley.info,City Staff,,
East Bay for Everyone,YIMBY,Organization,,Advocacy,,
California YIMBY,State YIMBY,Organization,,Advocacy,,
Berkeley Architectural Heritage Association,Preservation,Organization,,Advocacy,,
Patrick Kennedy,Panoramic Interests,Developer,,Real Estate,,
Isaiah Stackhouse,Trachtenberg Architects,Architect,,Real Estate,,
Mark Rhoades,Rhoades Planning Group,Planning Consultant,,Real Estate,,
UC Berkeley Goldman School,Public Policy,Department,,Education,,
Berkeley City College,Community College,Institution,,Education,,
