GEOID20,adus
060014211001004,1
060014211001006,1
060014211001008,2
060014211002000,2
060014211002001,1
060014211002010,1
060014211002012,1
060014211002013,1
060014211002019,1
060014211002021,1
060014212001004,1
060014212001010,1
060014212001012,1
060014212002013,1
060014212002017,1
060014212002019,1
060014212002023,1
060014212003005,1
060014212003007,1
060014212003009,1
060014212003011,2
060014212003013,1
060014212004000,1
060014212004002,3
060014212004004,1
060014212004006,3
060014213001009,1
060014213001015,1
060014213001017,1
060014213001020,2
060014213001021,1
060014213002001,5
060014213002003,1
060014213002004,5
060014213002008,1
060014213002010,1
060014213002011,2
060014213002013,2
060014213002015,1
060014213002017,1
060014213003001,2
060014213003002,1
060014213003003,1
060014213003004,3
060014213003005,3
060014213003008,4
060014213003009,4
060014213003010,4
060014213003012,1
060014213003013,3
060014213004000,2
060014213004001,1
060014213004002,1
060014213004005,1
060014213004006,1
060014213004009,1
060014213004012,2
060014214001002,1
060014214001005,2
060014214001006,4
060014214001010,2
060014214002001,1
060014214002003,2
060014214002005,1
060014214002007,1
060014214002008,1
060014214002010,3
060014215001007,1
060014215001009,1
060014215001015,1
060014215001020,2
060014215001021,1
060014215001022,2
060014215001028,3
060014215002008,2
060014215002009,1
060014215002018,1
060014215002022,1
060014215003003,1
060014215003016,1
060014215003017,1
060014215003020,1
060014216001002,1
060014216001003,2
060014216001004,1
060014216001005,2
060014216001007,3
060014216001008,9
060014216001009,5
060014216001010,1
060014216002001,1
060014216002002,4
060014216002003,1
060014216002007,2
060014216002009,1
060014216003000,2
060014216003008,2
060014216003011,1
060014216003012,1
060014216003013,1
060014216003015,1
060014216004001,1
060014216004002,1
060014216004004,1
060014216004005,1
060014216004007,1
060014216004008,1
060014216004009,1
060014217001000,2
060014217001006,1
060014217001007,1
060014217001010,1
060014217001011,3
060014217001012,1
060014217001016,1
060014217001017,2
060014217002000,1
060014217002001,1
060014217003000,1
060014217003007,1
060014218001002,2
060014218001004,1
060014218001005,2
060014218001009,1
060014218002001,3
060014218002004,1
060014218002005,2
060014218002007,5
060014218002008,1
060014218002009,1
060014218002012,1
060014218002013,1
060014218002014,1
060014218002016,1
060014218002017,1
060014218002018,1
060014218002020,1
060014219001000,2
060014219001001,1
060014219001002,1
060014219001004,3
060014219001005,1
060014219001006,2
060014219001008,3
060014219001010,1
060014219001011,3
060014219002000,2
060014219002003,1
060014219002006,4
060014219002007,1
060014219002012,1
060014219002016,1
060014219003002,6
060014219003003,2
060014219003004,3
060014219003005,2
060014219003006,1
060014219003010,3
060014219003011,2
060014219004001,2
060014219004002,3
060014219004003,2
060014219004005,1
060014219004007,1
060014219004012,1
060014219004013,3
060014219004014,1
060014219004015,2
060014219004017,1
060014220001021,1
060014220001022,1
060014220001029,1
060014220001030,1
060014220001055,1
060014220001072,1
060014220002055,1
060014220002056,1
060014220002057,1
060014220002062,2
060014220002066,1
060014221001001,3
060014221001004,1
060014221001006,2
060014221001009,2
060014221001013,2
060014221001017,2
060014221001019,1
060014221001020,1
060014221002001,1
060014221002002,2
060014221002004,3
060014221002005,3
060014221002006,2
060014221002009,2
060014221002011,2
060014221002025,1
060014221002026,2
060014222001001,1
060014222001004,4
060014222001006,2
060014222001017,1
060014222001018,1
060014222001019,1
060014222001021,1
060014222001022,1
060014222001023,1
060014222002000,2
060014222002002,1
060014222002004,1
060014222002005,2
060014222002006,1
060014222002007,1
060014222003000,1
060014222003001,2
060014222003004,1
060014222003005,1
060014222003006,1
060014222003007,1
060014222003013,2
060014223001002,1
060014223001003,2
060014223001004,1
060014223001005,3
060014223001009,1
060014223001013,3
060014223002000,1
060014223002001,1
060014223002002,1
060014223002003,2
060014223002006,1
060014223002008,1
060014223002009,2
060014223002010,2
060014223002014,1
060014223002016,1
060014223002017,1
060014223003000,2
060014223003001,1
060014223003010,2
060014224001000,2
060014224003001,1
060014224003002,1
060014224004000,2
060014224004001,1
060014224004006,1
060014225001008,1
060014225001010,2
060014225001011,1
060014225001014,2
060014225002001,1
060014225003011,1
060014227001003,1
060014227002000,1
060014227002001,1
060014227002006,1
060014227003001,1
060014227003003,1
060014227004002,1
060014228002003,1
060014228003002,1
060014228003004,2
060014228003005,1
060014229012002,1
060014229012003,1
060014229022010,1
060014230001001,1
060014230001008,1
060014230001012,1
060014230001013,1
060014230001014,2
060014230002000,1
060014230002001,1
060014230002002,1
060014230002003,4
060014230002004,1
060014230002006,2
060014230002007,1
060014230002008,1
060014230002009,1
060014230002011,1
060014230002012,1
060014230003000,3
060014230003001,1
060014230003007,1
060014230003008,1
060014230003009,3
060014230003010,4
060014230003011,3
060014230003012,1
060014230003013,1
060014230003014,2
060014231001009,1
060014231001011,1
060014231001012,2
060014231001013,1
060014231002000,4
060014231002002,1
060014231002003,2
060014231002004,1
060014231003000,2
060014231003002,2
060014231003003,1
060014231003004,3
060014231003006,2
060014231003008,1
060014231004000,2
060014231004001,4
060014231004005,4
060014231004007,1
060014232001008,1
060014232001009,1
060014232001010,2
060014232001012,1
060014232001016,1
060014232001019,2
060014232001020,2
060014232002001,1
060014232002002,3
060014232002004,1
060014232002005,4
060014232002008,2
060014232002010,1
060014232002012,2
060014232002013,1
060014233001000,1
060014233001001,5
060014233001002,1
060014233001003,2
060014233001006,3
060014233001007,2
060014233001008,1
060014233001009,2
060014233001010,2
060014233001011,3
060014233001013,3
060014233002000,1
060014233002001,5
060014233002002,5
060014233002003,3
060014233002006,1
060014233002007,5
060014233002008,2
060014233002010,2
060014233002011,1
060014233002013,1
060014233002014,1
060014233003000,1
060014233003002,2
060014233003003,3
060014233003004,1
060014233003007,2
060014233003012,2
060014233003013,2
060014234001001,1
060014234001002,1
060014234001003,2
060014234001006,5
060014234001007,1
060014234001009,1
060014234002008,3
060014234002009,1
060014234003000,1
060014234003006,2
060014234003007,1
060014234003008,1
060014234003009,2
060014234003010,2
060014234004001,1
060014234004002,4
060014234004006,1
060014234004007,2
060014234004008,1
060014234004010,1
060014234004011,2
060014235001003,2
060014235001005,4
060014235001009,1
060014235001012,1
060014235001017,1
060014235002000,1
060014235002005,1
060014235002009,1
060014235002014,2
060014235003000,3
060014235003004,1
060014235003006,1
060014235003010,1
060014235003013,1
060014235003014,1
060014235003015,3
060014236011000,1
060014236011006,1
060014236011007,1
060014236011008,1
060014236011011,1
060014236011013,1
060014236011014,1
060014236011015,1
060014236012001,2
060014236012003,2
060014236012005,1
060014236012007,3
060014236012008,3
060014236012010,2
060014236021001,1
060014236021002,2
060014236021004,2
060014236022005,1
060014236023000,1
060014236023002,2
060014236023003,2
060014236023006,1
060014236023007,2
060014236023012,1
060014237001004,2
060014237001005,2
060014237001011,1
060014237002001,1
060014237002003,1
060014237002006,2
060014237002007,2
060014237002008,3
060014237002009,2
060014237002011,2
060014237002014,1
060014237002018,3
060014237003000,1
060014237003001,3
060014237003002,3
060014237003003,2
060014237003004,3
060014238001009,1
060014238001010,1
060014238002001,1
060014238002002,1
060014238002004,2
060014238002005,1
060014238002006,3
060014238002007,2
060014238002010,5
060014238002014,4
060014238003003,2
060014238003004,1
060014238003007,1
060014238003008,9
060014238003010,1
060014238003011,1
060014238003012,4
060014238003013,4
060014238003014,3
060014238003016,1
060014238003017,3
060014239011005,3
060014239011014,1
060014239011016,1
060014239011018,1
060014239011022,2
060014239011025,1
060014239011026,1
060014239011028,4
060014239011029,1
060014239012002,2
060014239012008,3
060014239012009,1
060014239021002,1
060014239021003,2
060014239021004,2
060014239021005,1
060014239022005,1
060014239022008,1
060014239022015,4
060014240011000,1
060014240011001,3
060014240011003,2
060014240011004,2
060014240011007,2
060014240012000,1
060014240012003,3
060014240012004,1
060014240012006,2
060014240013002,1
060014240013004,1
060014240013007,2
060014240013008,1
060014240014002,1
060014240014003,1
060014240014005,2
060014240014008,1
