key,lat,lon,type,units,source,addr,status
053-1612-017-00,37.85270175,-122.27854887,ADU,1,v4,,
052-1516-033-00,37.8511691,-122.28144336,ADU,1,v4,,
052-1564-067-00,37.85577728,-122.24788877,ADU,1,v4,,
059-2330-010-00,37.87656622,-122.29608293,ADU,1,v4,,
054-1739-028-00,37.85793265,-122.28369945,ADU,1,v4,,
054-1802-014-00,37.85903174,-122.27950283,ADU,1,v4,,
062-2922-032-00,37.89877786,-122.27912114,ADU,1,v4,,
062-2870-024-00,37.89176549,-122.28628063,ADU,1,v4,,
060-2409-026-00,37.88252396,-122.29249007,ADU,1,v4,,
060-2417-006-00,37.88221247,-122.2876417,ADU,1,v4,,
058-2124-023-00,37.8732191,-122.2967012,ADU,1,v4,,
058-2186-011-00,37.87852357,-122.26413438,ADU,1,v4,,
058-2133-009-00,37.8736343,-122.28871945,ADU,1,v4,,
056-2012-029-00,37.8696882,-122.27582235,ADU,1,v4,,
053-1601-030-00,37.85392973,-122.27176614,ADU,1,v4,,
052-1527-010-02,37.84817598,-122.27055141,ADU,1,v4,,
062-2888-031-00,37.89358472,-122.27765195,ADU,1,v4,,
052-1564-054-00,37.85563928,-122.24967888,ADU,1,v4,,
054-1781-007-00,37.86073648,-122.28781707,ADU,1,v4,,
062-2922-027-00,37.89868329,-122.2783311,ADU,1,v4,,
060-2406-016-00,37.8812075,-122.2944092,ADU,1,v4,,
060-2417-056-00,37.87833366,-122.28947538,ADU,1,v4,,
064-4251-032-00,37.85335545,-122.24293789,ADU,1,v4,,
054-1783-020-00,37.86140926,-122.28524764,ADU,1,v4,,
062-2868-013-00,37.89509534,-122.28585384,ADU,1,v4,,
053-1697-002-00,37.85973344,-122.25181026,ADU,1,v4,,
052-1574-049-00,37.8541571,-122.25687843,ADU,1,v4,,
060-2423-031-00,37.87916421,-122.28608139,ADU,1,v4,,
059-2292-017-02,37.87557897,-122.28911218,ADU,1,v4,,
053-1669-004-00,37.85555685,-122.28058794,ADU,1,v4,,
052-1584-030-00,37.85438437,-122.26396246,ADU,1,v4,,
054-1782-023-00,37.86127205,-122.28652244,ADU,1,v4,,
053-1608-033-00,37.85427023,-122.27593832,ADU,1,v4,,
052-1567-037-00,37.85723587,-122.2510264,ADU,1,v4,,
060-2415-026-00,37.88159916,-122.28870886,ADU,1,v4,,
056-2008-005-00,37.86793675,-122.2775507,ADU,1,v4,,
059-2249-023-01,37.8825245,-122.26279049,ADU,1,v4,,
057-2013-015-00,37.86704223,-122.27513568,ADU,1,v4,,
062-2874-005-00,37.89230935,-122.28509245,ADU,1,v4,,
053-1594-004-00,37.85322962,-122.26695811,ADU,1,v4,,
057-2083-029-00,37.87052036,-122.28933806,ADU,1,v4,,
054-1802-002-00,37.85953956,-122.27836478,ADU,1,v4,,
055-1851-018-00,37.86454753,-122.25111122,ADU,1,v4,,
052-1542-008-00,37.85099117,-122.27727926,ADU,1,v4,,
052-1564-069-00,37.85585196,-122.24746752,ADU,1,v4,,
052-1550-013-00,37.8516694,-122.27170472,ADU,1,v4,,
059-2336-014-00,37.87667777,-122.3001924,ADU,1,v4,,
058-2232-022-00,37.88117817,-122.25398282,ADU,1,v4,,
055-1831-029-00,37.86448254,-122.26118609,ADU,1,v4,,
055-1905-021-00,37.86498853,-122.27523569,ADU,1,v4,,
061-2588-025-00,37.88917514,-122.26708789,ADU,1,v4,,
060-2398-010-00,37.87816765,-122.29263962,ADU,1,v4,,
055-1914-036-00,37.86538489,-122.28070777,ADU,1,v4,,
052-1577-028-00,37.85567919,-122.26108633,ADU,1,v4,,
056-1965-020-00,37.86587917,-122.29659441,ADU,1,v4,,
054-1794-014-01,37.85959574,-122.28220382,ADU,1,v4,,
057-2076-002-00,37.87266821,-122.28316649,ADU,1,v4,,
058-2247-008-00,37.88122821,-122.26063982,ADU,1,v4,,
055-1913-027-00,37.86482278,-122.27992163,ADU,1,v4,,
061-2613-019-00,37.89065754,-122.28083875,ADU,1,v4,,
052-1564-004-00,37.85544603,-122.24786826,ADU,1,v4,,
058-2157-022-00,37.8748971,-122.27965548,ADU,1,v4,,
054-1742-009-00,37.85637033,-122.28714855,ADU,1,v4,,
058-2123-015-00,37.87135656,-122.29588235,ADU,1,v4,,
060-2462-015-00,37.88314357,-122.26588163,ADU,1,v4,,
063-3140-063-00,37.89391655,-122.25596634,ADU,1,v4,,
057-2117-015-00,37.873511,-122.30029053,ADU,1,v4,,
064-4295-046-00,37.85165807,-122.24932888,ADU,1,v4,,
053-1607-015-00,37.85300524,-122.27591203,ADU,1,v4,,
063-2987-013-00,37.89050952,-122.26261048,ADU,1,v4,,
059-2288-006-00,37.87556132,-122.29265979,ADU,1,v4,,
060-2423-014-00,37.87953636,-122.28676524,ADU,1,v4,,
058-2158-030-00,37.87399484,-122.27922417,ADU,1,v4,,
060-2489-025-00,37.88297668,-122.24984514,ADU,1,v4,,
060-2489-024-00,37.88282837,-122.24979672,ADU,1,v4,,
052-1564-056-00,37.85565408,-122.24942171,ADU,1,v4,,
056-1968-008-00,37.86646524,-122.29519252,ADU,1,v4,,
054-1742-072-00,37.85702875,-122.28586036,ADU,1,v4,,
059-2332-017-00,37.8775824,-122.29561268,ADU,1,v4,,
059-2270-005-04,37.88090948,-122.2743987,ADU,1,v4,,
052-1580-001-00,37.85712716,-122.26236546,ADU,1,v4,,
056-1998-040-00,37.86625356,-122.28276751,ADU,1,v4,,
054-1733-041-00,37.85758587,-122.2792252,ADU,1,v4,,
052-1571-019-00,37.85680048,-122.25763563,ADU,1,v4,,
054-1805-033-00,37.86157862,-122.27670688,ADU,1,v4,,
052-1448-005-00,37.84839263,-122.28183997,ADU,1,v4,,
055-1816-013-00,37.86190815,-122.27089287,ADU,1,v4,,
064-4245-017-00,37.85443652,-122.24354118,ADU,1,v4,,
052-1519-022-00,37.84833304,-122.27912573,ADU,1,v4,,
058-2158-005-00,37.87398568,-122.27816202,ADU,1,v4,,
057-2117-016-00,37.87366131,-122.30034027,ADU,1,v4,,
054-1708-015-00,37.86168347,-122.25320207,ADU,1,v4,,
053-1698-006-00,37.85964895,-122.2504689,ADU,1,v4,,
054-1719-009-00,37.86020921,-122.26549688,ADU,1,v4,,
060-2416-007-00,37.88175259,-122.28662611,ADU,1,v4,,
055-1856-014-00,37.86651481,-122.24920439,ADU,1,v4,,
054-1793-014-00,37.85893318,-122.28228788,ADU,1,v4,,
052-1563-036-00,37.85459664,-122.25233795,ADU,1,v4,,
060-2485-041-00,37.88376053,-122.25089479,ADU,1,v4,,
056-1934-002-00,37.8640049,-122.29246582,ADU,1,v4,,
056-1974-020-00,37.86624812,-122.29319634,ADU,1,v4,,
060-2489-042-00,37.88342759,-122.24965525,ADU,1,v4,,
060-2453-018-00,37.88300794,-122.27161641,ADU,1,v4,,
060-2429-024-00,37.88200572,-122.28250231,ADU,1,v4,,
058-2130-033-00,37.87211227,-122.29201885,ADU,1,v4,,
056-1926-003-00,37.86445397,-122.28881571,ADU,1,v4,,
063-2951-023-03,37.90428278,-122.27010034,ADU,1,v4,,
060-2436-003-00,37.88429382,-122.27978291,ADU,1,v4,,
057-2095-004-00,37.8705077,-122.29772681,ADU,1,v4,,
060-2482-016-00,37.88526767,-122.25266832,ADU,1,v4,,
053-1607-032-00,37.85345907,-122.27511203,ADU,1,v4,,
053-1663-020-00,37.85429289,-122.28608486,ADU,1,v4,,
056-1919-006-00,37.86343837,-122.28249076,ADU,1,v4,,
061-2612-013-00,37.8901063,-122.27962288,ADU,1,v4,,
053-1589-007-00,37.8561505,-122.26586828,ADU,1,v4,,
063-2962-013-00,37.89682356,-122.26463878,ADU,1,v4,,
062-2911-022-00,37.89799869,-122.27824131,ADU,1,v4,,
052-1448-003-00,37.8485494,-122.28189971,ADU,1,v4,,
064-4240-017-00,37.8554978,-122.24604552,ADU,1,v4,,
058-2191-002-00,37.87549432,-122.26054768,ADU,1,v4,,
059-2248-014-00,37.88227109,-122.26119769,ADU,1,v4,,
057-2063-007-00,37.87261521,-122.27364866,ADU,1,v4,,
061-2605-007-00,37.88718619,-122.27644271,ADU,1,v4,,
052-1566-013-00,37.85803883,-122.25009137,ADU,1,v4,,
056-1940-026-00,37.86134472,-122.29513478,ADU,1,v4,,
061-2563-008-00,37.88932787,-122.27069954,ADU,1,v4,,
058-2125-035-00,37.8743224,-122.29579274,ADU,1,v4,,
057-2076-007-00,37.87277795,-122.28251488,ADU,1,v4,,
055-1848-023-00,37.86305413,-122.25327297,ADU,1,v4,,
