GEOID20,pop,housing_units,ALAND20
060014240022012,81,31,5984
060014220002000,0,0,6964
060014220002013,0,0,9826
060014221001000,31,15,6227
060014221001015,18,4,6110
060014221001016,15,5,9945
060014221002000,24,16,7715
060014221002015,28,14,8452
060014221002016,18,6,5441
060014232001014,22,1,7218
060014232001015,28,10,8612
060014232002000,15,1,8860
060014232002006,15,1,9188
060014220001031,0,0,14548
060014220001038,11,5,7211
060014220001039,59,33,3975
060014220001057,18,7,9400
060014220001063,16,4,3016
060014230001008,55,29,9849
060014230003003,31,9,4486
060014230003008,65,22,9388
060014225001000,21,5,8602
060014235002000,81,36,14534
060014235003012,0,0,1409
060014239011003,23,9,2401
060014239011015,15,4,3210
060014239011021,0,0,1517
060014238003017,148,91,24242
060014236022005,268,143,14491
060014238003005,0,0,2420
060014225003003,45,28,7098
060014232002008,101,47,19375
060014240021005,145,98,4281
060014240022010,42,24,7855
060014235002002,0,0,1549
060014238001006,0,0,1300
060014237002016,0,0,1687
060014223001013,93,41,17531
060014222002013,27,0,2340
060014220001068,0,0,5634
060014220001034,0,0,16459
060014239011009,4,2,29611
060014220001059,0,0,2329
060014233003006,40,16,11565
060014234003013,142,49,18904
060014224002005,39,12,4174
060014230003004,128,87,11058
060014215003003,34,18,9704
060014223003004,26,8,3332
060014233001013,98,39,17072
060014220002024,0,0,18916
060014240014001,35,10,9865
060014234001006,101,36,18424
060014221002002,96,40,19479
060014216001007,78,37,40526
060014213003011,0,0,1584
060014223002006,21,7,3322
060014213004009,44,19,13298
060014229011000,213,127,15387
060014232001012,127,39,16114
060014223003009,220,95,18648
060014224001004,0,0,1129
060014222001003,0,0,1086
060014223003014,0,0,1374
060019821001011,0,0,13201
060014229012006,8,0,6053
060014229022010,172,94,10448
060014233002005,66,33,13980
060014220001062,10,1,31447
060014221002026,65,37,12933
060014220002054,46,15,12180
060014224002000,264,149,21037
060014213003008,108,46,27677
060014231001015,49,12,10872
060014235003013,82,43,13002
060014215003018,13,11,9284
060014238003001,0,0,1051
060014234003014,0,0,1325
060014211001004,111,45,41712
060014234002002,122,54,19563
060014234002001,95,56,19913
060014234002010,90,35,19602
060014234003001,154,75,20026
060014234003007,123,51,19597
060014234003012,119,38,19919
060014234003008,155,56,20266
060014234002011,98,52,15773
060014234003011,144,69,20127
060014234004000,13,0,14007
060014234004009,116,52,18989
060014234004008,142,52,18108
060014234004011,153,61,24765
060014240011003,129,60,23772
060014240012004,159,70,17796
060014240013004,156,67,17481
060014240013007,177,83,16846
060014238001000,39,11,17450
060014238001003,60,19,17836
060014238001002,19,4,2933
060014238001009,99,35,61851
060014229022002,0,0,5349
060014229022008,22,1,1487
060014229022009,32,10,1238
060014229022013,17,1,1419
060014229021006,282,143,20846
060014229012008,11,0,21570
060014235001005,166,81,20739
060014235001012,121,40,20999
060014235001003,137,60,21421
060014229012000,0,0,1361
060014229012005,61,51,1323
060014229012009,0,0,1292
060014235001010,29,0,1231
060014220001037,8,1,8131
060014216002001,137,58,51897
060014215001011,26,9,9209
060014229011001,61,26,16607
060014222003016,3,1,5725
060014228003006,15,1,7431
060014220001050,8,4,10059
060014239022004,0,0,1824
060014233003004,81,38,19608
060014239012009,58,25,9232
060014239011025,25,14,2701
060014240014016,23,10,1927
060014240014012,140,34,9704
060014240014018,0,0,1767
060014238002002,45,15,13028
060014238001004,58,24,21247
060014238002013,61,22,11120
060014223001007,98,45,18959
060014223002004,38,19,8478
060014222001018,55,21,12825
060014222002005,84,30,10576
060014222001017,40,21,11312
060014222002006,102,45,16389
060014222002002,68,32,12605
060014222002010,152,99,10775
060014231001011,103,51,18367
060014231002001,184,63,47006
060014231002006,0,0,2198
060014231002003,119,52,18303
060014231004009,0,0,2238
060014233001004,0,0,1135
060014231004007,79,41,15568
060014231004005,105,43,18565
060014232002005,256,128,39760
060014232001019,74,31,19620
060014232001020,64,22,20547
060014220001022,48,22,20454
060014232002015,0,0,1727
060014232002004,220,86,19778
060014232002001,54,32,11545
060014232002009,0,0,1589
060014220001028,17,7,20397
060014220001026,12,0,22855
060014220001044,0,0,69576
060014220001075,78,17,134861
060014220001033,0,0,1106
060014220001051,0,0,9544
060014220001073,0,0,1381
060014220001053,0,0,27846
060014220002057,42,19,13614
060014220002042,31,16,11574
060014220002065,23,12,6974
060014221001007,0,0,1068
060014221001005,90,47,13840
060014221001008,0,0,1070
060014221001022,0,0,1047
060014221002007,35,7,1588
060014221001010,43,17,13578
060014221001011,35,22,12947
060014220002015,0,0,10801
060014219004016,0,0,2269
060014219004017,84,37,15528
060014219004005,84,26,11649
060014221001003,0,0,1095
060014219003007,0,0,1803
060014221001019,53,17,12634
060014221002004,84,41,18613
060014221001023,29,10,2927
060014219003005,69,28,10162
060014219003010,70,27,10211
060014219003011,58,31,15575
060014219003013,31,11,9302
060014219003012,43,16,7261
060014219002015,45,10,6039
060014222001022,102,45,14656
060014222001021,74,34,15124
060014220002038,0,0,38020
060014220001010,0,0,52250
060014219004002,62,41,14704
060014212003010,76,32,40569
060014212003012,57,24,19516
060014212004006,112,41,22123
060014213002013,81,30,15808
060014213001016,51,20,11763
060014213001017,38,21,11904
060014213002011,32,19,15932
060014213002015,99,59,16864
060014213004002,39,14,14962
060014213001021,70,26,27474
060014213002001,62,30,15560
060014220002029,0,0,9277
060014220002003,75,3,28015
060014240021011,45,17,5391
060014227003003,372,71,16083
060014228001004,2563,66,13581
060014228001007,245,14,7091
060014228002001,8,2,6989
060014228002004,50,5,2434
060014228001012,210,42,11357
060014228001011,1533,63,13548
060014229011003,322,147,13846
060014228003002,68,54,4117
060014215001018,36,17,11638
060014225003011,58,32,3962
060014215003014,55,22,23245
060014220002064,30,16,6292
060014220002066,20,6,7120
060014212002001,39,13,14577
060014213004008,0,0,1444
060014214002006,0,0,2018
060014211002014,25,12,8601
060014211002019,91,45,31497
060014240014002,158,67,19794
060014232001002,216,97,13605
060014224004007,0,0,1090
060014222002011,0,0,1035
060014222001015,0,0,1623
060014217001010,143,91,19041
060014237001002,0,0,1078
060014212004004,153,70,54392
060014212002006,127,53,33879
060014230002000,69,35,8616
060014220002032,11,1,14221
060014220002023,0,0,18881
060014220002005,0,0,1075
060014220002021,0,0,1618
060014220002018,0,0,19684
060014220002019,225,4,20393
060014220002043,8,0,12379
060014213004005,106,37,24311
060014213004004,75,40,26621
