priority_rank,address,units,status,entitled_date,permits,apn
1,1974 SHATTUCK Ave,599.0,Approved,2025-06-03,ZP2023-0040,057 205300200
2,2128 Oxford St,485.0,Approved,2024-10-04, ZP2022-0135,
3,2425 DURANT Ave,250.0,Pending Final Action,2025-10-09,"ZP2024-0162, PLN2024-0049",055 187800701
4,2029 UNIVERSITY Ave,240.0,Pending Final Action,2025-11-13,"ZP2024-0181, ZP2024-0182, PLN2024-0069, PLN2024-0070",057 205300801
5,2274 SHATTUCK Ave,227.0,Approved,2025-04-22,ZP2023-0079,057 202800300
6,1899 OXFORD St,212.0,Pending Final Action,2026-02-11,ZP2024-0075,058 218101905
7,2100 MILVIA St,201.0,Approved,2025-07-01,ZP2023-0163,057 202201701
8,2109 VIRGINIA St,131.0,Approved,2026-02-26,ZP2024-0066,058 217801800
9,2136 SAN PABLO Ave,125.0,Approved,2024-04-01,TBD,056 197701101
10,2530 BANCROFT Way,110.0,Approved,2024-12-27,ZP2023-0126,055 187701601
11,2198 SAN PABLO Ave,100.0,Entitled,,TBD,056 197701300
12,2655 SHATTUCK Ave,97.0,Pending Final Action,2025-08-14,ZP2024-0057,055 182601802
13,2427 San Pablo,78.0,Approved,2024-09-16,ZP2022-0115,056192802200
14,2037 DURANT Ave,74.0,Approved,2024-06-19,ZP2023-0064,055 189400200
15,2462 BANCROFT Way,66.0,Approved,2024-07-01,ZP2023-0107,055 187802000
16,2138 KITTREDGE St,66.0,Approved,2025-10-20,ZP2024-0114,057 202901500
17,2298 DURANT Ave,65.0,Pending Final Action,,ZP2024-0126,055 188700100
18,2680 BANCROFT Way,37.0,Approved,2025-06-13,"ZP2023-0096, ZP2024-0029",055 187100103
19,2442 HASTE St,34.0,Approved,2025-09-08,ZP2024-0070,055 188101800
20,2480 Bancroft Way,28.0,Approved,2023-10-02,DRCF2023-0005,055187802200
