id,address_display,apn,owner,net_units,new_units,old_units,year,permits,description,status,num_permits,project_size_category,slug,address_norm,latitude,longitude,unit_category,tenure,sb35_flag,sb330_flag,ab2011_flag,density_bonus,density_bonus_pct,vli_units_extracted,height_stories,height_feet,app_filed_date,app_complete_date,entitled_date,total_processing_days,accela_status,accela_status_date,bp_issued_date,co_date,construction_start_date,estimated_completion_date,construction_status,app_packet_size_mb
1,1750 SACRAMENTO St,058 214901904,,739.0,739.0,0.0,2024.0,"B2025-05534, PLN2024-0010","AB 2011 Ministerial Application. The proposed project is a transit-oriented in-fill development of 13 mixed-use and multi-family residential buildings totaling approximately 769,300 SF and one wrap garage structure with approximately 296 parking spaces in parking lots surrounding the North Berkeley BART Station. Buildings range in height from 3 to 8 stories and consist of 739 units with over 50% of the homes at affordable rent levels. The project includes improvements to the Ohlone Greenway and over 6,000 SF of community-serving ground floor uses as well as street and public realm upgrades, and over 48,000 SF of publicly accessible open space.",Under Review,2.0,Mega (100+),1750-sacramento-st,1750 SACRAMENTO ST,37.87431211415104,-122.2829585340012,5+,Renter,False,False,True,False,,0.0,8.0,,2025-12-03,,2026-03-03,90.0,Consolidated Comments: Corrections List Issued,2026-03-03,,,,,,0.0
2,2276 SHATTUCK Ave,057 202800400,,336.0,336.0,0.0,2024.0,"LMSAP2024-0005, ZP2024-0067","SB330 Preliminary Application: Retaining of the existing east and south facades of the existing morse block building; Reduction of existing 32,350 square feet of commercial space to 7,486 square feet; and addition of 105,237 square feet of multi-family residential space. Through utilizing a 50 percent density bonus, 28 density bonus maximum units will be included and 15 percent of the base project units (56 units) are dedicated to nine Very Low-Income households.",In Review,2.0,Mega (100+),2276-shattuck-ave,2276 SHATTUCK AVE,37.86773770249066,-122.26824034145176,5+,Renter,False,True,False,True,50.0,0.0,,,2025-08-07,2025-08-07,2025-12-04,119.0,CEQA Determination - LPC Staff Report: Completed,2025-12-23,,,,,,134.09
3,2700 SHATTUCK Ave,054 172300100,,359.0,359.0,0.0,2024.0,ZP2024-0058,SB330 project to demolish an existing commercial structure and construct a eight-story mixed-use housing development with 276 dwelling units. [Updated: 359 units per SFYimby],In Review,1.0,Mega (100+),2700-shattuck-ave,2700 SHATTUCK AVE,37.85978024166641,-122.26782803899088,5+,Renter,False,True,False,False,,0.0,,,2024-06-13,2024-10-10,,,Application Processing: Corrections - Pending Applicant,2024-11-07,,,,,,0.0
4,1914 FIFTH St,057 210000702,,257.0,257.0,0.0,2020.0,"PLN2023-0025, ZP2020-0104","demolish an existing parking lot and portions of an existing commercial building and construct a new seven-story mixed-use building with 5,500 square feet of commercial area and 257 dwelling units, including 26 Very Low-Income Units, pursuant to State Density Bonus law.",Under Review,2.0,Mega (100+),1914-fifth-st,1914 FIFTH ST,37.86823001458789,-122.29929592368056,5+,Renter,False,False,False,True,,26.0,,,2023-06-20,2023-06-20,,,Case Closed: Research Completed,2023-06-20,,,,,,0.0
5,2425 DURANT Ave,055 187800701,2425 Durant Avenue LLC,250.0,250.0,19.0,2024.0,"ZP2024-0162, PLN2024-0049","SB-330 PROJECT - Demolition of all existing buildings on site to construct a 20-story residential building with a total floor area of approximately 145,000 square feet. The building height will be 200-ft with zero vehicle parking spaces. The State Density Bonus Project will have 13 affordable housing units designated for VLI households and 13 for moderate-income households. All 19 existing dwelling units, when replaced, will be below-market-rate rentals.",Pending Final Action,2.0,Mega (100+),2425-durant-ave,2425 DURANT AVE,37.8679506825664,-122.2601418162647,5+,Renter,False,True,False,True,,0.0,20.0,200.0,2024-11-15,2025-03-13,2025-10-09,328.0,Completeness Review: Application Complete,2025-12-26,,,,,,0.0
6,2029 UNIVERSITY Ave,057 205300801,Talai Mohammad E & Kokab S Trs,240.0,240.0,0.0,2024.0,"ZP2024-0181, ZP2024-0182, PLN2024-0069, PLN2024-0070","The project is the construction of a new 23-story (256'-0""), 240-unit housing development with 190,878_sf of new residential use and parking garage for up to 29 spaces. The project includes removal of existing non-landmarked 2-story commercial structure and surface parking. 15% (18 units) of the base project's units will be affordable to very-low-income households, and 15% (18 units) will be affordable to moderate income households, making the project eligible for a 100% density bonus, waivers, and up to 4 concessions as a State Density Bonus Law development per California Government Code § 65915.",Pending Final Action,4.0,Mega (100+),2029-university-ave,2029 UNIVERSITY AVE,37.87226180309335,-122.26983809759253,5+,Renter,False,False,False,True,,0.0,23.0,256.0,2024-12-19,2025-06-03,2025-11-13,329.0,Application Processing: Pending Final Action,2025-11-17,,,,,,0.0
7,2601 SAN PABLO Ave,054 178501700,,223.0,223.0,0.0,2022.0,ZP2022-0171,"Demolish existing development (includes vacant residential) to construct an 8-story mixed-use building 223 dwelling units over a 1,940 commercial space, utilizing density bonus.",In Review,1.0,Mega (100+),2601-san-pablo-ave,2601 SAN PABLO AVE,37.859267643513995,-122.2886634855373,5+,Renter,False,False,False,True,,0.0,8.0,,2023-01-13,2023-11-17,,,Completeness Review: Application Complete,2023-11-17,,,,,,112.97
8,2920 SHATTUCK Ave,053 159000501,,221.0,221.0,0.0,2022.0,ZP2022-0116,"Demolish two commercial buildings and construct a 10-story mixed-use residential building with 221 dwelling units, ground-floor retail, and nine uncovered parking spaces utilizing State Density Bonus.",In Review,1.0,Mega (100+),2920-shattuck-ave,2920 SHATTUCK AVE,37.856347300047105,-122.26693200991916,5+,Renter,False,False,False,True,,0.0,10.0,,2022-10-04,2022-12-15,,,Completeness Review: Application Complete,2022-12-15,,,,,,132.07
9,1899 OXFORD St,058 218101905,,212.0,220.0,8.0,2024.0,ZP2024-0075,"SB-330 Project -  Use Permit to demolish a two-story multifamily building (8 units), merge two lots, and construct a 7-story, (78 feet, 9 inches in maximum height) mixed-use building with 94,140 residential floor area, 3,873 commercial floor area, 15 off-street parking spaces, and 80 bicycle parking spaces. The project would utilize a 96.3 percent density bonus and provide 17 very-low-income units and 16 middle-income units.",Pending Final Action,1.0,Mega (100+),1899-oxford-st,1899 OXFORD ST,37.87449601168048,-122.26605902083782,5+,Renter,False,False,False,True,3.0,0.0,7.0,78.0,2024-07-03,2024-10-31,2026-02-11,588.0,CEQA Determination: No Appeal,2026-02-11,,,,,,18.87
10,3000 SHATTUCK Ave,053 159200100,,166.0,166.0,0.0,2022.0,ZP2022-0046,"Demolish the existing gas station, and construct a 10-story (114 feet) mixed-use building utilizing a Density Bonus, with 166 dwellings, including 17 Very Low-Income units, and 1,043 square-feet of commercial space.",In Review,1.0,Mega (100+),3000-shattuck-ave,3000 SHATTUCK AVE,37.855008098375635,-122.2667720415266,5+,Renter,False,False,False,True,,17.0,10.0,114.0,2022-05-11,2022-08-03,2025-03-11,1035.0,[COMPLETE] Hearing Notice: as: Notice Issued |,2025-03-11,,,,,,25.2
