project_id,address,year,net_units,existing_vli_column,vli_extracted,li_extracted,mod_extracted,is_100pct_affordable,raw_matches,confidence
1,1750 SACRAMENTO St,2024.0,739.0,0,,,,,,none
2,2276 SHATTUCK Ave,2024.0,336.0,0,,,,,,none
3,2700 SHATTUCK Ave,2024.0,276.0,0,,,,,,none
4,1914 FIFTH St,2020.0,257.0,26,26,,,,VLI:26,high
5,2425 DURANT Ave,2024.0,250.0,0,,,13,,MOD:13,high
6,2029 UNIVERSITY Ave,2024.0,240.0,0,,,,,,none
7,2601 SAN PABLO Ave,2022.0,223.0,0,,,,,,none
8,2920 SHATTUCK Ave,2022.0,221.0,0,,,,,,none
9,1899 OXFORD St,2024.0,212.0,0,17,,16,,"VLI:17, MOD:16",high
10,3000 SHATTUCK Ave,2022.0,166.0,17,17,,,,VLI:17,high
11,1581 UNIVERSITY Ave,2024.0,158.0,0,,,,,,none
12,2115 KITTREDGE St,2024.0,148.0,0,12,,12,,"VLI:12, MOD:12",high
13,2420 SHATTUCK Ave,2022.0,132.0,0,,,,,,none
14,2847 SHATTUCK Ave,2024.0,132.0,0,,,,,,none
15,2109 VIRGINIA St,2024.0,131.0,0,,,,,,none
16,2720 SAN PABLO Ave,2024.0,113.0,0,,,,,,none
17,2109 MILVIA St,2023.0,105.0,0,,,,,,none
18,2655 SHATTUCK Ave,2024.0,97.0,0,10,,,,VLI:10,high
19,2450 SHATTUCK Ave,2024.0,94.0,0,,,,,,none
20,2036 BANCROFT Way,2024.0,85.0,4,4,,,,VLI:4,high
21,2660 BANCROFT Way,2023.0,78.0,0,8,,,,VLI:8,high
22,2955 SHATTUCK Ave,2024.0,74.0,0,,,,,,none
23,2326 DURANT Ave,2024.0,70.0,0,,,,Yes,,medium
24,2330 DURANT Ave,2025.0,68.0,0,,,,Yes,,medium
25,2455 TELEGRAPH Ave,2025.0,68.0,7,7,,,,VLI:7,high
26,2298 DURANT Ave,2024.0,65.0,0,,,,,,none
27,2441 LE CONTE Ave,2023.0,65.0,0,7,,,,VLI:7,high
28,2372 ELLSWORTH St,2024.0,63.0,0,,,,,,none
29,2138 KITTREDGE St,2024.0,63.0,5,5,,,,VLI:5,high
30,2001 CENTER St,2025.0,58.0,0,,,,,,none
31,2712 TELEGRAPH Ave,2025.0,57.0,0,,,,,,none
32,1740 SAN PABLO Ave,2023.0,54.0,0,,,,Yes,,medium
33,130 BERKELEY Sq,2021.0,50.0,0,,,,,,none
34,2680 BANCROFT Way,2023.0,37.0,0,,,,,,none
35,2190 SHATTUCK Ave,2025.0,36.0,0,,,,,,none
36,2733 SAN PABLO Ave,2023.0,32.0,0,,,,,,none
37,2614 TELEGRAPH Ave,2024.0,31.0,0,,,,,,none
38,2449 DWIGHT Way,2022.0,27.0,2,2,,,,VLI:2,high
39,1790 UNIVERSITY Ave,2023.0,17.0,0,,,,,,none
40,1710 UNIVERSITY Ave,2021.0,16.0,0,,,,,,none
41,2147 SAN PABLO Ave,2024.0,15.0,0,,,,,,none
42,1740 UNIVERSITY Ave,2025.0,12.0,0,,,,,,none
43,1015 UNIVERSITY Ave,2022.0,9.0,0,,,,,,none
44,2428 MILVIA St,2024.0,8.0,0,,,,,,none
45,2200 FIFTH St,2025.0,8.0,0,,,,,,none
46,1745 CEDAR St,2025.0,6.0,0,,,,,,none
47,1850 BERRYMAN St,2025.0,6.0,0,,,,,,none
48,2317 CHANNING Way,2024.0,5.0,0,,,,,,none
49,1618 SIXTH St,2025.0,4.0,0,,,,,,none
50,2420 ASHBY Ave,2024.0,4.0,0,,,,,,none
51,2942 COLLEGE Ave,2021.0,4.0,0,,,,,,none
52,2437 WARRING St,2025.0,4.0,0,,,,,,none
53,2641 COLLEGE Ave,2025.0,3.0,0,,,,,,none
54,2205 BLAKE St,2024.0,3.0,0,,,,,,none
55,2221 FIFTH St,2022.0,3.0,0,,,,,,none
56,1650 FIFTH St,2025.0,3.0,0,,,,,,none
57,3101 SACRAMENTO St,2025.0,3.0,0,,,,,,none
58,1449 CORNELL Ave,2025.0,3.0,0,,,,,,none
59,1514 WALNUT St,2025.0,3.0,0,,,,,,none
60,1464 SIXTH St,2025.0,3.0,0,,,,,,none
61,2812 EIGHTH St,2025.0,3.0,0,,,,,,none
62,2201 BLAKE St,2024.0,3.0,0,,,,,,none
63,1716 SEVENTH St,2025.0,2.0,0,,,,,,none
64,1515 DERBY St,2025.0,2.0,0,,,,,,none
65,1922 FRANCISCO St,2025.0,2.0,0,,,,,,none
66,2204 DWIGHT Way,2024.0,2.0,0,,,,,,none
67,1419 GRANT St,2025.0,2.0,0,,,,,,none
68,1236 DWIGHT Way,2025.0,2.0,0,,,,,,none
69,2808 NINTH St,2025.0,2.0,0,,,,,,none
70,3001 BENVENUE Ave,2025.0,1.0,0,,,,,,none
71,40 HILL Rd,2020.0,1.0,0,,,,,,none
72,5 W PARNASSUS Ct,2025.0,1.0,0,,,,,,none
73,0 LE ROY Ave,2024.0,1.0,0,,,,,,none
74,2328 GRANT St,2024.0,1.0,0,,,,,,none
75,1939 MARIN Ave,2024.0,1.0,0,,,,,,none
76,1731 ADDISON St,2025.0,1.0,0,,,,,,none
77,1420 FIFTH St,2025.0,1.0,0,,,,,,none
78,1139 KEELER Ave,2022.0,1.0,0,,,,,,none
79,1111 ALLSTON Way,2025.0,1.0,0,,,,,,none
80,659 GRIZZLY PEAK Blvd,2025.0,1.0,0,,,,,,none
81,1522 JOSEPHINE St,2025.0,0.0,0,,,,,,none
82,3035 COLBY St,2024.0,0.0,0,,,,,,none
83,1136 KEITH Ave,2024.0,0.0,0,,,,,,none
84,2705 BENVENUE Ave,2025.0,-1.0,0,,,,,,none
85,1730 PARKER St,2022.0,0.0,0,,,,,,none
86,2740 SHASTA Rd,2022.0,0.0,0,,,,,,none
87,1109 COWPER St,2022.0,0.0,0,,,,,,none
88,705 ARLINGTON Ave,2023.0,0.0,0,,,,,,none
89,2027 SEVENTH St,2023.0,0.0,0,,,,,,none
90,576 SAN LUIS Rd,2024.0,0.0,0,,,,,,none
91,2009 ADDISON St,2024.0,0.0,0,,,,,,none
92,3036 REGENT St,2024.0,0.0,0,,,,,,none
93,1312 ADDISON St,2024.0,0.0,0,,,,,,none
94,2145 GRANT St,2024.0,0.0,0,,,,,,none
95,2903 ADELINE St,2025.0,0.0,0,,,,,,none
96,2099 M L KING JR Way,2025.0,0.0,0,,,,,,none
97,1507 JOSEPHINE St,2025.0,0.0,0,,,,,,none
98,1338 SEVENTH St,2025.0,0.0,0,,,,,,none
99,2238 SEVENTH St,2025.0,0.0,0,,,,,,none
100,703 SANTA BARBARA Rd,2025.0,0.0,0,,,,,,none
101,385 VERMONT Ave,2025.0,0.0,0,,,,,,none
102,1246 ROSE St,2025.0,0.0,0,,,,,,none
103,1512 CHANNING Way,2025.0,0.0,0,,,,,,none
104,1475 CATHERINE Dr,2025.0,0.0,0,,,,,,none
105,1187 SHATTUCK Ave,2025.0,0.0,0,,,,,,none
106,2016 DELAWARE St A,2025.0,0.0,0,,,,,,none
107,1123 BLAKE St,2025.0,0.0,0,,,,,,none
108,830 BANCROFT Way,2025.0,0.0,0,,,,,,none
109,2740 SHASTA Rd,2025.0,0.0,0,,,,,,none
110,2143 BLAKE St,2025.0,0.0,0,,,,,,none
111,411 VASSAR Ave,2025.0,0.0,0,,,,,,none
112,1621 SACRAMENTO St,2025.0,1.0,0,,,,,,none
113,2138 KITTREDGE St,2026.0,73.0,0,,,,,,none
114,2727 HASTE St,2026.0,45.0,0,,,,,,none
115,2455 TELEGRAPH Ave,2026.0,68.0,7,7,,,,VLI:7,high
116,2462 BANCROFT Way,2023.0,66.0,3,3,,,,VLI:3,high
117,2317 CHANNING Way,2024.0,22.0,0,,,,,,none
118,2138 KITTREDGE St,2024.0,66.0,5,5,,,,VLI:5,high
