address,permit_number,units,what_is_missing,accela_search_term,priority,completeness_score
Ashby BART,TBD,618.0,"permit_discovery, zoning_events, building_permits, processing_status, fees, attachments",ASHBY BART,Critical,25
3030 TELEGRAPH Ave,TBD,144.0,"permit_discovery, zoning_events, building_permits, processing_status, fees, attachments",3030 TELEGRAPH AVE,High,30
2136 SAN PABLO Ave,TBD,125.0,"permit_discovery, zoning_events, building_permits, processing_status, fees, attachments",2136 SAN PABLO AVE,High,30
2198 SAN PABLO Ave,TBD,100.0,"permit_discovery, zoning_events, building_permits, processing_status, fees, attachments",2198 SAN PABLO AVE,Critical,25
2001 ASHBY Ave,TBD,87.0,"permit_discovery, zoning_events, building_permits, processing_status, fees, attachments",2001 ASHBY AVE,High,30
1700 SACRAMENTO St,TBD,85.0,"permit_discovery, zoning_events, building_permits, processing_status, fees, attachments",1700 SACRAMENTO ST,High,25
2538 DURANT Ave,TBD,83.0,"permit_discovery, zoning_events, building_permits, processing_status, fees, attachments",2538 DURANT AVE,High,30
1708 HARMON St,TBD,80.0,"permit_discovery, zoning_events, building_permits, processing_status, fees, attachments",1708 HARMON ST,High,25
2550 SHATTUCK Ave,TBD,72.0,"permit_discovery, zoning_events, building_permits, processing_status, fees, attachments",2550 SHATTUCK AVE,High,25
2300 ELLSWORTH St,TBD,69.0,"permit_discovery, zoning_events, building_permits, processing_status, fees, attachments",2300 ELLSWORTH ST,High,25
2127 DWIGHT Way,TBD,58.0,"permit_discovery, zoning_events, building_permits, processing_status, fees, attachments",2127 DWIGHT WAY,High,25
2902 ADELINE St,TBD,54.0,"permit_discovery, zoning_events, building_permits, processing_status, fees, attachments",2902 ADELINE ST,High,25
2587 TELEGRAPH Ave,TBD,52.0,"permit_discovery, zoning_events, building_permits, processing_status, fees, attachments",2587 TELEGRAPH AVE,High,25
2016 ASHBY Ave,TBD,50.0,"permit_discovery, zoning_events, building_permits, processing_status, fees, attachments",2016 ASHBY AVE,High,25
2350 TELEGRAPH Ave,TBD,48.0,"permit_discovery, zoning_events, building_permits, processing_status, fees, attachments",2350 TELEGRAPH AVE,Medium,25
2449 DWIGHT Way,ZP2022-0021,39.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2022-0021,Medium,35
1367 UNIVERSITY Ave,TBD,39.0,"permit_discovery, zoning_events, building_permits, processing_status, fees, attachments",1367 UNIVERSITY AVE,Medium,30
2403 SAN PABLO Ave,TBD,36.0,"permit_discovery, zoning_events, building_permits, processing_status, fees, attachments",2403 SAN PABLO AVE,Medium,25
2800 TELEGRAPH Ave,TBD,18.0,"permit_discovery, zoning_events, building_permits, processing_status, fees, attachments",2800 TELEGRAPH AVE,Low,25
2344 FULTON St,TBD,18.0,"permit_discovery, zoning_events, building_permits, processing_status, fees, attachments",2344 FULTON ST,Low,25
1790 UNIVERSITY Ave,ZP2023-0070,17.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2023-0070,Low,35
1710 UNIVERSITY Ave,ZP2021-0127,16.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2021-0127,Low,35
2018 BLAKE St,TBD,12.0,"permit_discovery, zoning_events, building_permits, processing_status, fees, attachments",2018 BLAKE ST,Low,25
1015 UNIVERSITY Ave,ZP2022-0120,9.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2022-0120,Low,35
2428 MILVIA St,PLN2024-0025,8.0,"zoning_events, building_permits, processing_status, fees, attachments",PLN2024-0025,Low,35
1745 CEDAR St,PLN2025-0040,6.0,"zoning_events, building_permits, processing_status, fees, attachments",PLN2025-0040,Low,35
1850 BERRYMAN St,"ZP2023-0063, PLN2025-0050, PLN2025-0052",6.0,"zoning_events, building_permits, fees, attachments",ZP2023-0063,Low,45
1618 SIXTH St,PLN2025-0068,4.0,"zoning_events, building_permits, processing_status, fees, attachments",PLN2025-0068,Low,35
2420 ASHBY Ave,ZP2024-0147,4.0,"zoning_events, building_permits, fees, attachments",ZP2024-0147,Low,45
2942 COLLEGE Ave,ZP2021-0072,4.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2021-0072,Low,35
2437 WARRING St,PLN2025-0031,4.0,"zoning_events, building_permits, processing_status, fees, attachments",PLN2025-0031,Low,35
2641 COLLEGE Ave,PLN2025-0061,3.0,"zoning_events, building_permits, processing_status, fees, attachments",PLN2025-0061,Low,35
2205 BLAKE St,PLN2024-0001,3.0,"zoning_events, building_permits, processing_status, fees, attachments",PLN2024-0001,Low,35
