id,project_id,permit_number,permit_type,address,status,filed_date,finaled_date,job_value,description,owner,applicant,source,imported_at,source_file
1,17,B2005-02350,"Building Permit (Electrical)","2109 MILVIA ST","Closed Expired",,,,"Electrical - run conduit for pay station.",,,accela,"2026-03-28 16:22:35",
2,13,B2019-05657,"Building Electrical Mechanical Plumbing Permit","2420 SHATTUCK AVE","Closed Expired",2019-12-30,,,"TI to convert old Gio's pizza to Edel restaurant, new kitchen layout, walk-in cooler",,,accela,"2026-03-28 16:22:35",
3,13,B2016-01435-REV01,"Building Revision","2420 SHATTUCK AVE",Issued,2016-12-14,,,"Revision for restaurant TI - alter front elevation, exterior storage area, deck coating, bar updates",,,accela,"2026-03-28 16:22:35",
4,13,B2016-01435,"Building Electrical Mechanical Plumbing Permit","2420 SHATTUCK AVE",Finaled,2016-03-29,2015-11-04,,"Commercial Restaurant T.I. for Giovanni's",,,accela,"2026-03-28 16:22:35",
5,13,B2016-00787,"Electrical Permit","2420 SHATTUCK AVE",Finaled,2016-02-23,2015-11-04,,"Temp power pole (see B2015-06033)",,,accela,"2026-03-28 16:22:35",
6,13,B2015-06033,"Building Permit","2420 SHATTUCK AVE",Finaled,2015-12-11,2015-11-04,,"Demolition of interior finishes, equipment, built-in seating and non-structural partition walls (TI under separate permit)",,,accela,"2026-03-28 16:22:35",
7,13,B2015-05395,"Building Permit","2420 SHATTUCK AVE",Finaled,2015-11-04,2015-11-04,,"Re-roof with Class A roof",,,accela,"2026-03-28 16:22:35",
8,13,B1998-05207,"Building Permit","2420 SHATTUCK AVE","Closed Expired",1998-11-24,,,"Add second layer of tar & paint",,,accela,"2026-03-28 16:22:35",
9,7,B2015-00364,"Building Permit (Demolition)","2601 SAN PABLO AVE",Finaled,2015-12-13,,"$20,000.00","DEMOLITION OF (E) 1424 SQ FT URM STRUCTURE.","2601 SAN PABLO AVENUE LLC, 1795 Solano Ave, Berkeley CA 94707","Marke Forbes, 1795 Solano Ave, Berkeley CA 94707, (510)526-7933, mforbes@feforbes.com",accela,"2026-03-28 16:22:35",
10,14,B2014-03919,"Building Permit","2847 SHATTUCK AVE","Closed Expired",,,,"Install two (2) exterior signs.",,,accela,"2026-03-28 16:22:35",
11,8,B1999-03755,"Building Permit","2920 SHATTUCK AVE","Closed Expired",,,,"T/O EXISTING ROOFING MATL. INSTALL CLASS A MODIFIED BITUMEN ROOF SYSTEM, HEAT WELDING SEAMS","EDINOFF PETER & SUSAN & WORTH, 2920 Shattuck Ave","Nicholas Rofing, 1816 San Pablo Ave, Berkeley CA 94702, (510)848-4433",accela,"2026-03-28 16:22:35",
23,,B2025-05892,,12/22/2025,,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_bp_batch2.txt
24,,B2025-04830,,10/28/2025,,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_bp_batch2.txt
25,,B2025-00674,,02/20/2025,,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_bp_batch2.txt
26,,B2025-01509,,04/14/2025,,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_bp_batch2.txt
27,,B2025-01610,,04/21/2025,,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_bp_batch2.txt
33,,B2025-05410,,11/25/2025,,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_bp_batch3.txt
34,,B2025-03398,,08/12/2025,,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_bp_batch3.txt
35,,B2025-02295,,06/05/2025,,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_bp_batch3.txt
36,,B2025-05428,,11/25/2025,,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_bp_batch3.txt
37,,B2025-02476,,06/18/2025,,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_bp_batch3.txt
48,,B2025-01124,,03/19/2025,,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_bp_batch4_final.txt
49,,B2025-05635,,"2712 TELEGRAPH Ave",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
50,,B2025-05618,,"2800 TELEGRAPH Ave",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
51,,B2025-03529,,"2442 HASTE St",,,,,"38-unit residential new construction",,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
52,,B2025-05447,,"2298 DURANT Ave",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
53,,B2025-02344,,"2138 KITTREDGE St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
54,,B2025-05345,,"2128 OXFORD St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
55,,B2025-05654,,"2372 ELLSWORTH St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
56,,B2025-05624,,"1850 BERRYMAN St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
57,,B2025-00168,,"2330 BLAKE St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
58,,B2025-05890,,"901 CAMELIA St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
60,,B2025-04070,,"1627 JAYNES St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
61,,B2025-05845,,"1745 CEDAR St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
62,,B2025-05846,,"1745 CEDAR St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
63,,B2025-05849,,"1745 CEDAR St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
64,,B2025-05850,,"1745 CEDAR St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
65,,B2025-05852,,"1745 CEDAR St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
66,,B2025-02361,,"811 CEDAR St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
67,,B2025-02283,,"0 VIRGINIA St",,,,,,,,accela,"2026-04-02 04:49:27",2025_housing_building_permits.txt
