id,project_id,address,permit_number,stage,action,event_date,assigned_to,marked_by,comment,stage_status,source,imported_at,permit_type,source_file
1,133,"2128 Oxford St"," ZP2022-0135","Completeness Review","Application Complete",2023-03-17,TBD,"Sharon Gong",,Complete,accela,"2026-03-28 16:22:26",Planning,
2,133,"2128 Oxford St"," ZP2022-0135","CEQA Determination","EIR Required",2024-09-12,TBD,Unknown,,Complete,accela,"2026-03-28 16:22:26",Planning,
3,133,"2128 Oxford St"," ZP2022-0135","Staff Decision",Approved,2024-09-12,TBD,Unknown,,Complete,accela,"2026-03-28 16:22:26",Planning,
4,133,"2128 Oxford St"," ZP2022-0135",Appeal,"No Appeal",2024-10-02,TBD,Unknown,,Complete,accela,"2026-03-28 16:22:26",Planning,
5,133,"2128 Oxford St"," ZP2022-0135","Case Closed",Approved,2024-10-04,TBD,Unknown,,Complete,accela,"2026-03-28 16:22:26",Planning,
6,1,"1750 SACRAMENTO St",B2025-05534,"Application Submittal","Plan Distribution",2025-12-03,"Mariafelisa Baber",,,,accela,"2026-03-28 16:22:26",Building,
7,1,"1750 SACRAMENTO St",B2025-05534,"Plan Distribution","Pending Payment",2025-12-03,"Mariafelisa Baber",,,,accela,"2026-03-28 16:22:26",Building,
8,1,"1750 SACRAMENTO St",B2025-05534,"Plan Distribution",Route,2025-12-16,"Ramona Smith",,,,accela,"2026-03-28 16:22:26",Building,
9,1,"1750 SACRAMENTO St",B2025-05534,"Building and Safety Review",Assigned,2025-12-18,"Kong Chung",,,,accela,"2026-03-28 16:22:26",Building,
10,1,"1750 SACRAMENTO St",B2025-05534,"Building and Safety Review",Corrections,2026-01-13,TLS,,,,accela,"2026-03-28 16:22:26",Building,
11,1,"1750 SACRAMENTO St",B2025-05534,"Zoning Review",Assigned,2025-12-17,"Victoria Schlepp",,,,accela,"2026-03-28 16:22:26",Building,
12,1,"1750 SACRAMENTO St",B2025-05534,"Zoning Review",Corrections,2026-02-05,"Victoria Schlepp",,,,accela,"2026-03-28 16:22:26",Building,
13,1,"1750 SACRAMENTO St",B2025-05534,"Fire Review",Corrections,2026-02-25,"Jesus Del Toro",,,,accela,"2026-03-28 16:22:26",Building,
14,1,"1750 SACRAMENTO St",B2025-05534,"Public Works Review",Corrections,2026-01-06,,,,,accela,"2026-03-28 16:22:26",Building,
15,1,"1750 SACRAMENTO St",B2025-05534,"Traffic Review","Under Review",2025-12-26,"Nhat Phan",,,,accela,"2026-03-28 16:22:26",Building,
16,1,"1750 SACRAMENTO St",B2025-05534,"Traffic Review","Under Review",2026-02-17,"Nhat Phan",,,,accela,"2026-03-28 16:22:26",Building,
17,1,"1750 SACRAMENTO St",B2025-05534,"Traffic Review",Approved,2026-02-24,"Nhat Phan",,,,accela,"2026-03-28 16:22:26",Building,
18,1,"1750 SACRAMENTO St",B2025-05534,"Zero Waste Review",Corrections,2026-02-05,,,,,accela,"2026-03-28 16:22:26",Building,
19,1,"1750 SACRAMENTO St",B2025-05534,"PSC Review",Corrections,2026-02-26,"Deborah Stanley",,,,accela,"2026-03-28 16:22:26",Building,
20,1,"1750 SACRAMENTO St",B2025-05534,"Consolidated Comments","Corrections List Issued",2026-02-26,dc,,,,accela,"2026-03-28 16:22:26",Building,
21,1,"1750 SACRAMENTO St",B2025-05534,"Consolidated Comments","Corrections List Issued",2026-03-03,"Shanitra Roan",,,,accela,"2026-03-28 16:22:26",Building,
22,1,"1750 SACRAMENTO St",B2025-05534,"Consolidated Comments",TBD,,,,,,accela,"2026-03-28 16:22:26",Building,
23,134,"2480 BANCROFT",DRCF2023-0005,"Completeness Review","Application Complete",2023-09-12,TBD,Unknown,,Complete,accela,"2026-03-28 16:22:26",Other,
