id,project_id,permit_number,address,fee_type,fee_description,amount,date,source
1,141,B2024-01268,"2016 ASHBY Ave",,"Total Paid",2192720.87,,accela
2,147,B2024-05944,"2300 ELLSWORTH St 94704",,"Total Paid",1469330.41,,accela
3,147,B2024-05944,"2300 ELLSWORTH St 94704",,"Total Paid",1467705.41,,accela
4,150,B2023-06416,"3030 TELEGRAPH Ave",,"Total Paid (building)",1259375.39,,accela
5,154,B2021-02905,"2001 ASHBY AVE",,"Total Paid",965120.98,,accela
6,157,UNKNOWN,"2587 TELEGRAPH Ave",,"Total Paid",953910.91,,accela
7,157,UNKNOWN,"2587 TELEGRAPH Ave",,"Total Paid",745604.82,,accela
8,143,UNKNOWN,"2902 ADELINE ST",,"Total Paid",713390.77,,accela
9,164,B2023-00774,"1752 SHATTUCK AVE",,"Total Paid",628046.4,,accela
10,133,UNKNOWN,"** 2128 Oxford St",,"Total Paid",377724.51,,accela
11,,B2025-05534,"1825 San Pablo, Suite 200, Oakland CA 94612",,"Total Paid",309266.48,,accela
12,140,ZP2021-0046,"2136 SAN PABLO AVE",,"Total Paid",212874.0,,accela
13,133,UNKNOWN,"** 2128 Oxford St",,,140469.0,2022-10-28,accela
14,158,B2022-04366,"1367 UNIVERSITY Ave",,"Total Paid",128165.99,,accela
15,20,ZP2024-0079,"2036 BANCROFT Way",,"Total Paid",114313.0,,accela
16,38,ZP2022-0021,"2449 DWIGHT Way",,"Total Paid",101780.0,,accela
17,33,ZP2021-0158,"130 BERKELEY Sq",,,97855.5,2022-02-17,accela
18,10,ZP2022-0046,"3000 SHATTUCK Ave",,"Total Paid",89178.38,,accela
19,9,ZP2024-0075,"1899 OXFORD St",,"Total Paid",79652.0,,accela
20,121,ZP2023-0163,"** 2100 Milvia St",,"Total Paid",78888.0,,accela
21,,ZP2022-0171,"9101 BURNING TREE RD, BETHESDA MD 20817",,,76230.0,2024-02-07,accela
22,27,ZP2023-0089,"2441 LE CONTE Ave",,,61895.0,2024-06-06,accela
23,164,ZP2022-0011,"1752 SHATTUCK AVE",,"Total Paid",54425.0,,accela
24,120,ZP2023-0079,"** 2274 Shattuck Ave",,"Total Paid",51289.76,,accela
25,,ZP2022-0116,"9101 BURNING TREE RD, BETHESDA MD 20817",,,49402.0,2025-10-23,accela
26,133,UNKNOWN,"** 2128 Oxford St",,,49062.5,2024-09-09,accela
27,,ZP2024-0066,"1683 SHATTUCK AVE A",,"Total Paid",48988.0,,accela
28,127,P2022-0038,"** 2820 San Pablo Ave",,,46635.0,2022-09-09,accela
29,161,ZP2022-0019,"2555 COLLEGE AVE",,,45666.4,2023-06-09,accela
30,147,ZP2023-0024,"2300 ELLSWORTH St",,"Total Paid",38885.0,,accela
31,119,ZP2023-0040,"1974 Shattuck",,"Total Paid",38817.0,,accela
32,139,ZP2022-0097,"2538 DURANT Ave",,"Total Paid",38137.7,,accela
33,139,PLN2022-0018,"2538 DURANT Ave",,"Total Paid",38137.7,,accela
34,133,UNKNOWN,"** 2128 Oxford St",,,37326.0,2022-10-28,accela
35,149,ZP2018-0112,"2198 SAN PABLO AVE",,"Total Paid",36610.0,,accela
36,29,ZP2024-0114,"2138 KITTREDGE St",,"Total Paid",34925.0,,accela
37,157,UNKNOWN,"2587 TELEGRAPH Ave",,"Total Paid",33742.4,,accela
38,143,UNKNOWN,"2902 ADELINE ST",,"Total Paid",30183.0,,accela
39,161,ZP2022-0019,"2555 COLLEGE AVE",,,29890.0,2022-04-14,accela
40,133,UNKNOWN,"** 2128 Oxford St",,,28950.0,2025-09-18,accela
41,133,UNKNOWN,"** 2128 Oxford St",,,28773.0,2023-09-25,accela
42,,PLN2021-0072,"2024 ASHBY Ave",,"Total Paid",26270.0,,accela
43,159,ZP2023-0103,"2403 SAN PABLO AVE",,"Total Paid",25624.0,,accela
44,152,UNKNOWN,"1598 UNIVERSITY Ave",,"Total Paid",25095.6,,accela
45,152,ZP2022-0011,"1598 UNIVERSITY Ave",,"Total Paid",25095.6,,accela
46,158,B2021-05326,"1367 UNIVERSITY Ave",,"Total Paid",24059.48,,accela
47,124,ZP2024-0070,"** 2442 Haste St",,,23830.0,2025-09-18,accela
48,161,ZP2022-0019,"2555 COLLEGE AVE",,,22337.25,2023-06-09,accela
49,34,ZP2024-0029,"2680 Bancroft Way",,"Total Paid",19998.0,,accela
50,153,UNKNOWN,"1701 SAN PABLO AVE",,"Total Paid",18910.0,,accela
51,,ZP2024-0096,"2417 MARINER SQUARE LOOP 247, ALAMEDA CA 94501",,"Total Paid",16267.5,,accela
52,13,ZP2022-0149,"2420 SHATTUCK Ave",,"Total Paid",16110.6,,accela
53,,ZP2024-0126,"2425 CHANNING WAY B PM",,"Total Paid",15837.5,,accela
54,,ZP2024-0074,"22377 Stevens Creek Blvd, Cupertino CA 95014",,"Total Paid",14103.0,,accela
55,133,UNKNOWN,"** 2128 Oxford St",,,13900.0,2023-08-25,accela
56,,ZP2023-0090,"2672 RELIEZ VALLEY RD, MARTINEZ CA 94553",,"Total Paid",13729.0,,accela
57,153,UNKNOWN,"1701 SAN PABLO AVE",,,13055.0,2022-04-26,accela
58,22,ZP2024-0071,"2955 SHATTUCK Ave",,"Total Paid",12900.0,,accela
59,31,ZP2025-0105,"2712 TELEGRAPH Ave",,,12360.0,2026-03-23,accela
60,154,B2021-05653,"2001 ASHBY AVE",,"Total Paid",11975.48,,accela
61,,ZP2024-0058,"1600 Shattuck Ave 218",,"Total Paid",11929.25,,accela
62,116,ZP2023-0107,"2462 Bancroft Way",,"Total Paid",11383.0,,accela
63,,ZP2023-0058,"9101 BURNING TREE RD, BETHESDA MD 20817",,"Total Paid",11039.0,,accela
64,,ZP2024-0057,"1442 A WALNUT ST 349, YOCHAI KIDRON",,"Total Paid",10968.0,,accela
65,159,ZP2021-0220,"2403 SAN PABLO AVE",,"Total Paid",10530.0,,accela
66,133,UNKNOWN,"** 2128 Oxford St",,,10350.0,2023-09-13,accela
67,,ZP2023-0099,"499 EMBARCADERO, OAKLAND CA 94606",,"Total Paid",10068.0,,accela
68,156,ZP2023-0138,"2550 SHATTUCK Ave",,"Total Paid",10068.0,,accela
69,161,ZP2022-0019,"2555 COLLEGE AVE",,,10000.0,2023-07-27,accela
70,31,ZP2025-0105,"2712 TELEGRAPH Ave",,,10000.0,2026-02-18,accela
71,161,ZP2022-0019,"2555 COLLEGE AVE",,,9685.2,2023-06-09,accela
72,133,UNKNOWN,"** 2128 Oxford St",,,9050.0,2023-09-19,accela
73,133,UNKNOWN,"** 2128 Oxford St",,,8970.0,2022-10-07,accela
74,127,P2022-0038,"** 2820 San Pablo Ave",,,8750.0,2024-10-09,accela
75,,ZP2022-0132,"614 Bridgewater Cir, Danville CA 94526",,"Total Paid",8715.0,,accela
76,157,UNKNOWN,"2587 TELEGRAPH Ave",,"Total Paid",8705.0,,accela
77,133,UNKNOWN,"** 2128 Oxford St",,,8256.0,2023-01-20,accela
78,5,ZP2024-0162,"2425 Durant Ave",,,8250.0,2025-09-03,accela
79,164,ZP2025-0046,"1752 SHATTUCK AVE",,"Total Paid",8205.0,,accela
80,,ZP2024-0059,"1958A UNIVERSITY AVE",,"Total Paid",7952.0,,accela
81,158,ZP2019-0173,"1367 University Ave",,"Total Paid",7695.0,,accela
82,,ZP2024-0047,"2091 ROSE ST",,"Total Paid",7423.0,,accela
83,21,ZP2023-0095,"2660 Bancroft Way",,"Total Paid",7423.0,,accela
84,133,UNKNOWN,"** 2128 Oxford St",,,7359.38,2024-09-09,accela
85,161,ZP2022-0019,"2555 COLLEGE AVE",,,7345.91,2023-06-09,accela
86,161,ZP2022-0019,"2555 COLLEGE AVE",,,7300.0,2023-03-27,accela
87,133,UNKNOWN,"** 2128 Oxford St",,,6708.0,2024-07-02,accela
88,157,UNKNOWN,"2587 TELEGRAPH Ave",,"Total Paid",6595.0,,accela
