id,project_id,geometry_type_id,geojson,height_meters,base_elevation_meters,source_document_id,version_label,edited_by,edit_notes,is_current,superseded_by,created_at,updated_at
1,1,1,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-122.28253889574741, 37.873963734114], [-122.2833232633541, 37.87387017609439], [-122.28340467549997, 37.874662763835346], [-122.28264828392587, 37.874766203336286], [-122.28253889574741, 37.873963734114]]]]}",28.0,,,parcel_import_2026-04-25,parcel_import_script,"Imported from berkeley_parcels.csv via APN match",1,,"2026-04-25 18:51:20","2026-04-25 18:51:20"
2,2,1,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-122.26839820987634, 37.86760063152184], [-122.268447246836, 37.86784023737008], [-122.26808449132832, 37.86788481305854], [-122.2680598123012, 37.867648951947615], [-122.26839820987634, 37.86760063152184]]]]}",63.0,,,parcel_import_2026-04-25,parcel_import_script,"Imported from berkeley_parcels.csv via APN match",1,,"2026-04-25 18:51:20","2026-04-25 18:51:20"
3,3,1,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-122.26814529534384, 37.85938810237744], [-122.26828837728414, 37.860085707524775], [-122.26823133889663, 37.86009136377392], [-122.26815904707063, 37.85974703866181], [-122.26802097411243, 37.85976765369747], [-122.26808972700947, 37.86010927644639], [-122.26738697753152, 37.86020494680588], [-122.26768074820805, 37.859447940422136], [-122.26814529534384, 37.85938810237744]]]]}",52.5,,,parcel_import_2026-04-25,parcel_import_script,"Imported from berkeley_parcels.csv via APN match",1,,"2026-04-25 18:51:20","2026-04-25 18:51:20"
4,5,1,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-122.25999301224887, 37.867797796169725], [-122.26024138789072, 37.8677653188486], [-122.26031796235097, 37.86811738479477], [-122.2602404724875, 37.86812751695053], [-122.26007987117404, 37.868148517285], [-122.25999301224887, 37.867797796169725]]]]}",61.0,,,parcel_import_2026-04-25,parcel_import_script,"Imported from berkeley_parcels.csv via APN match",1,,"2026-04-25 18:51:20","2026-04-25 18:51:20"
5,6,1,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-122.26964461434542, 37.872134731148954], [-122.26999703385181, 37.872092370549986], [-122.27005800284498, 37.87239703808411], [-122.26970737992343, 37.87244212108648], [-122.26964461434542, 37.872134731148954]]]]}",78.0,,,parcel_import_2026-04-25,parcel_import_script,"Imported from berkeley_parcels.csv via APN match",1,,"2026-04-25 18:51:20","2026-04-25 18:51:20"
6,7,1,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-122.28854021911629, 37.859216774383135], [-122.28876813003608, 37.85918584168565], [-122.28881316504844, 37.859329373538706], [-122.28857139308256, 37.85936050647946], [-122.28854021911629, 37.859216774383135]]]]}",28.0,,,parcel_import_2026-04-25,parcel_import_script,"Imported from berkeley_parcels.csv via APN match",1,,"2026-04-25 18:51:20","2026-04-25 18:51:20"
7,8,1,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-122.2667401480044, 37.856102708681924], [-122.26708047323233, 37.85606396466496], [-122.26709333832326, 37.856168155884156], [-122.26710785200832, 37.85626818617434], [-122.26712052819616, 37.85636413838727], [-122.26713770580794, 37.856503275259094], [-122.26715032858293, 37.85659716677563], [-122.26681018985246, 37.85664346318044], [-122.2667401480044, 37.856102708681924]]]]}",35.0,,,parcel_import_2026-04-25,parcel_import_script,"Imported from berkeley_parcels.csv via APN match",1,,"2026-04-25 18:51:20","2026-04-25 18:51:20"
8,9,1,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-122.26590232738812, 37.87461069027057], [-122.26588504733212, 37.874466734692845], [-122.26586350467389, 37.874289893264624], [-122.2661416664758, 37.874256893549045], [-122.26616770936238, 37.874258565545276], [-122.26619405627233, 37.87427463575083], [-122.26621522748009, 37.87429013021297], [-122.26622783811946, 37.87431054463941], [-122.26628087657382, 37.87471902298317], [-122.26592123604571, 37.874749802546255], [-122.26590232738812, 37.87461069027057]]]]}",23.8,,,parcel_import_2026-04-25,parcel_import_script,"Imported from berkeley_parcels.csv via APN match",1,,"2026-04-25 18:51:20","2026-04-25 18:51:20"
9,10,1,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-122.26657635533849, 37.85489794582511], [-122.26693375217175, 37.85484932760576], [-122.26699411941514, 37.855129291088055], [-122.26661422438595, 37.85517892391511], [-122.26657635533849, 37.85489794582511]]]]}",34.7,,,parcel_import_2026-04-25,parcel_import_script,"Imported from berkeley_parcels.csv via APN match",1,,"2026-04-25 18:51:20","2026-04-25 18:51:20"
10,11,1,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-122.28055199625508, 37.87073191111111], [-122.28073334723472, 37.87070857703476], [-122.28077091412317, 37.87104654865218], [-122.2807225032433, 37.87105071339525], [-122.2805894567276, 37.8710657758446], [-122.28055199625508, 37.87073191111111]]]]}",48.2,,,parcel_import_2026-04-25,parcel_import_script,"Imported from berkeley_parcels.csv via APN match",1,,"2026-04-25 18:51:20","2026-04-25 18:51:20"
11,12,1,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-122.26699171628572, 37.868701854913766], [-122.26733197529634, 37.868658311599454], [-122.26736758175193, 37.86884387843026], [-122.26738141237793, 37.86891509444319], [-122.26740127898348, 37.869021913887835], [-122.26736770810464, 37.869026768447014], [-122.26719468226673, 37.86905178582438], [-122.26706136955896, 37.86906856542085], [-122.2670609146114, 37.86906617236289], [-122.26699171628572, 37.868701854913766]]]]}",35.0,,,parcel_import_2026-04-25,parcel_import_script,"Imported from berkeley_parcels.csv via APN match",1,,"2026-04-25 18:51:20","2026-04-25 18:51:20"
12,13,1,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-122.2677970130208, 37.865272124542756], [-122.26818551319239, 37.865218233501466], [-122.2681934744431, 37.865261379182336], [-122.26820694423766, 37.8653181731219], [-122.26781653764152, 37.86536521967802], [-122.2677970130208, 37.865272124542756]]]]}",59.5,,,parcel_import_2026-04-25,parcel_import_script,"Imported from berkeley_parcels.csv via APN match",1,,"2026-04-25 18:51:20","2026-04-25 18:51:20"
13,14,1,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-122.26616472438718, 37.85688865891305], [-122.26660507417897, 37.85683125014626], [-122.26663347275465, 37.85707803266258], [-122.26621551778646, 37.857130302215026], [-122.26616472438718, 37.85688865891305]]]]}",41.5,,,parcel_import_2026-04-25,parcel_import_script,"Imported from berkeley_parcels.csv via APN match",1,,"2026-04-25 18:51:20","2026-04-25 18:51:20"
14,15,1,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-122.2684051405695, 37.87726574689183], [-122.26839035147249, 37.87715404366436], [-122.26837728542152, 37.87704161568805], [-122.26834117964766, 37.87676336747056], [-122.26875064142084, 37.8767132716366], [-122.26881190101207, 37.87724798499854], [-122.2684071699731, 37.87727807473793], [-122.2684051405695, 37.87726574689183]]]]}",39.9,,,parcel_import_2026-04-25,parcel_import_script,"Imported from berkeley_parcels.csv via APN match",1,,"2026-04-25 18:51:20","2026-04-25 18:51:20"
15,16,1,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-122.2885780863559, 37.85748227996431], [-122.28849395908641, 37.857231409128254], [-122.28882407478976, 37.857142870198366], [-122.28890696216224, 37.857398192924116], [-122.2885780863559, 37.85748227996431]]]]}",35.7,,,parcel_import_2026-04-25,parcel_import_script,"Imported from berkeley_parcels.csv via APN match",1,,"2026-04-25 18:51:20","2026-04-25 18:51:20"
16,17,1,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-122.27021907921606, 37.87048932915641], [-122.27026226283938, 37.87048386370987], [-122.27051790683129, 37.87045188837567], [-122.27054238464014, 37.87067882035553], [-122.27025911676868, 37.870715331967894], [-122.27021907921606, 37.87048932915641]]]]}",49.0,,,parcel_import_2026-04-25,parcel_import_script,"Imported from berkeley_parcels.csv via APN match",1,,"2026-04-25 18:51:20","2026-04-25 18:51:20"
17,18,1,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-122.26613057025851, 37.860547199248735], [-122.26678165021562, 37.860463975174014], [-122.26677505799377, 37.860551282036184], [-122.2667561221218, 37.8608468576224], [-122.26632954472754, 37.86090130626557], [-122.26619648327699, 37.86091496264939], [-122.26613057025851, 37.860547199248735]]]]}",25.9,,,parcel_import_2026-04-25,parcel_import_script,"Imported from berkeley_parcels.csv via APN match",1,,"2026-04-25 18:51:20","2026-04-25 18:51:20"
18,19,1,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-122.26770797902974, 37.8644439220885], [-122.26808796782319, 37.86439702831648], [-122.26809355020539, 37.86441274190318], [-122.26816573747223, 37.86446110423199], [-122.2682140824923, 37.86467326704248], [-122.2682199953658, 37.86470270034828], [-122.26774502462095, 37.8647626827703], [-122.26770797902974, 37.8644439220885]]]]}",24.5,,,parcel_import_2026-04-25,parcel_import_script,"Imported from berkeley_parcels.csv via APN match",1,,"2026-04-25 18:51:20","2026-04-25 18:51:20"
19,20,1,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-122.26834072600992, 37.86671496660818], [-122.26841151195394, 37.86706823711974], [-122.26857562398996, 37.86704861446543], [-122.26864821260112, 37.8674046080076], [-122.26848061906367, 37.86742291306954], [-122.26804366193926, 37.86748027478138], [-122.2679694310436, 37.86676447485359], [-122.26834072600992, 37.86671496660818]]]]}",25.9,,,parcel_import_2026-04-25,parcel_import_script,"Imported from berkeley_parcels.csv via APN match",1,,"2026-04-25 18:51:20","2026-04-25 18:51:20"
