id,address_display,units,status,permits,filed,complete,entitled,bp_issued,co_date,height_stories,height_feet,is_uc_project,construction_status,developer,architect,description,latitude,longitude,processing_days,density_bonus,vli_units,apn,owner,accela_status,accela_status_date,construction_start,estimated_completion,sb35_flag,sb330_flag,ab2011_flag,total_fees,app_packet_mb,construction_method,field_survey_date,field_survey_notes,demolition_permit_date,demolition_start_date,inspection_count,first_inspection_date,last_inspection_date,final_inspection_date,density_bonus_pct,construction_data_reliability,is_stalled,fee_count,unit_category,tenure,project_size,created_at,updated_at,bp_filed_date,total_units,year,pipeline_stage,construction_substage,coord_source,project_category
1,"1750 SACRAMENTO St",739,"Under Review","B2025-05534, PLN2024-0010",2025-12-03,"",2026-03-03,,,8,,0,,,,"AB 2011 Ministerial Application. The proposed project is a transit-oriented in-fill development of 13 mixed-use and multi-family residential buildings totaling approximately 769,300 SF and one wrap garage structure with approximately 296 parking spaces in parking lots surrounding the North Berkeley BART Station. Buildings range in height from 3 to 8 stories and consist of 739 units with over 50% of the homes at affordable rent levels. The project includes improvements to the Ohlone Greenway and ",37.874312114151,-122.282958534001,90,0,0,"058 214901904",,"Consolidated Comments: Corrections List Issued",2026-03-03,,,0,0,1,,0.0,,,,,,,,,,,Unknown,1,1,5+,Renter,"Mega (100+)","2026-04-01 21:02:26","2026-04-01 21:02:26",,739.0,2024,"In Review",,initial_import,housing_addition
2,"2276 SHATTUCK Ave",336,"In Review","LMSAP2024-0005, ZP2024-0067",2025-08-07,2025-08-07,2025-12-04,,,18,,0,,,,"SB330 Preliminary Application: Retaining of the existing east and south facades of the existing morse block building; Reduction of existing 32,350 square feet of commercial space to 7,486 square feet; and addition of 105,237 square feet of multi-family residential space. Through utilizing a 50 percent density bonus, 28 density bonus maximum units will be included and 15 percent of the base project units (56 units) are dedicated to nine Very Low-Income households.",37.8677377024907,-122.268240341452,119,1,0,"057 202800400",,"CEQA Determination - LPC Staff Report: Completed",2025-12-23,,,0,1,0,,134.09,,,,,,,,,,50.0,Unknown,1,1,5+,Renter,"Mega (100+)","2026-04-01 21:02:26","2026-04-01 21:02:26",,336.0,2024,"In Review",,initial_import,housing_addition
3,"2700 SHATTUCK Ave",359,"In Review",ZP2024-0058,2024-06-13,2024-10-10,"",,,15,,0,,,"Studio KDA","SB330 project to demolish an existing commercial structure and construct a eight-story mixed-use housing development with 276 dwelling units. [Updated: 359 units per SFYimby]",37.8597802416664,-122.267828038991,119,0,0,"054 172300100",,"Application Processing: Corrections - Pending Applicant",2024-11-07,,,0,1,0,,0.0,,,,,,,,,,,estimated_height,0,1,5+,Renter,"Mega (100+)","2026-04-01 21:02:26","2026-04-01 21:02:26",,359.0,2024,"In Review",,initial_import,housing_addition
4,"1914 FIFTH St",257,"Under Review","PLN2023-0025, ZP2020-0104",2023-06-20,2023-06-20,"",,,15,,0,,,,"demolish an existing parking lot and portions of an existing commercial building and construct a new seven-story mixed-use building with 5,500 square feet of commercial area and 257 dwelling units, including 26 Very Low-Income Units, pursuant to State Density Bonus law.",37.8682300145879,-122.299295923681,0,1,26,"057 210000702",,"Case Closed: Research Completed",2023-06-20,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,1,5+,Renter,"Mega (100+)","2026-04-01 21:02:26","2026-04-01 21:02:26",,257.0,2020,"In Review",,initial_import,housing_addition
5,"2425 DURANT Ave",117,"Pending Final Action","ZP2024-0162, PLN2024-0049",2024-11-15,2025-03-13,2025-10-09,,,20,200,0,,Collabhome,,"SB-330 PROJECT - Demolition of all existing buildings on site to construct a 20-story residential building with a total floor area of approximately 145,000 square feet. The building height will be 200-ft with zero vehicle parking spaces. The State Density Bonus Project will have 13 affordable housing units designated for VLI households and 13 for moderate-income households. All 19 existing dwelling units, when replaced, will be below-market-rate rentals.",37.8679506825664,-122.260141816265,328,1,0,"055 187800701","2425 Durant Avenue LLC","Completeness Review: Application Complete",2025-12-26,,,0,1,0,22880.0,0.0,,,,,,,,,,,Unknown,1,1,5+,Renter,"Mega (100+)","2026-04-01 21:02:26","2026-04-01 21:02:26",,250.0,2024,"Decision Pending",,initial_import,housing_addition
6,"2029 UNIVERSITY Ave",240,Entitled,"ZP2024-0181, ZP2024-0182, PLN2024-0069, PLN2024-0070",2024-12-19,2025-06-03,2025-11-13,,,23,256,0,,,,"The project is the construction of a new 23-story (256'-0""), 240-unit housing development with 190,878_sf of new residential use and parking garage for up to 29 spaces. The project includes removal of existing non-landmarked 2-story commercial structure and surface parking. 15% (18 units) of the base project's units will be affordable to very-low-income households, and 15% (18 units) will be affordable to moderate income households, making the project eligible for a 100% density bonus, waivers, ",37.8722618030934,-122.269838097593,329,1,0,"057 205300801","Talai Mohammad E & Kokab S Trs","Application Processing: Pending Final Action",2025-11-17,,,0,0,0,19212.5,0.0,,,,,,,,,,,Unknown,1,1,5+,Renter,"Mega (100+)","2026-04-01 21:02:26","2026-04-01 21:02:26",,240.0,2024,Entitled,,initial_import,housing_addition
7,"2601 SAN PABLO Ave",223,"In Review",ZP2022-0171,2023-01-13,2023-11-17,"",,,8,,0,,"NX Ventures","Trachtenberg Architects","Demolish existing development (includes vacant residential) to construct an 8-story mixed-use building 223 dwelling units over a 1,940 commercial space, utilizing density bonus.",37.859267643514,-122.288663485537,308,1,0,"054 178501700",,"Completeness Review: Application Complete",2023-11-17,,,0,0,0,2573.48,112.97,,,,,,,,,,,Unknown,0,1,5+,Renter,"Mega (100+)","2026-04-01 21:02:26","2026-04-01 21:02:26",,223.0,2022,"In Review",,initial_import,housing_addition
8,"2920 SHATTUCK Ave",221,"In Review",ZP2022-0116,2022-10-04,2022-12-15,"",,,10,,0,,,"Studio KDA","Demolish two commercial buildings and construct a 10-story mixed-use residential building with 221 dwelling units, ground-floor retail, and nine uncovered parking spaces utilizing State Density Bonus.",37.8563473000471,-122.266932009919,72,1,0,"053 159000501",,"Completeness Review: Application Complete",2022-12-15,,,0,0,0,,132.07,,,,,,,,,,,Unknown,0,1,5+,Renter,"Mega (100+)","2026-04-01 21:02:26","2026-04-01 21:02:26",,221.0,2022,"In Review",,initial_import,housing_addition
9,"1899 OXFORD St",212,"Pending Final Action",ZP2024-0075,2024-07-03,2024-10-31,2026-02-11,,,7,78,0,,,"Studio KDA","SB-330 Project -  Use Permit to demolish a two-story multifamily building (8 units), merge two lots, and construct a 7-story, (78 feet, 9 inches in maximum height) mixed-use building with 94,140 residential floor area, 3,873 commercial floor area, 15 off-street parking spaces, and 80 bicycle parking spaces. The project would utilize a 96.3 percent density bonus and provide 17 very-low-income units and 16 middle-income units.",37.8744960116805,-122.266059020838,588,1,0,"058 218101905",,"CEQA Determination: No Appeal",2026-02-11,,,0,0,0,79652.0,18.87,,,,,,,,,,3.0,Unknown,1,1,5+,Renter,"Mega (100+)","2026-04-01 21:02:26","2026-04-01 21:02:26",,220.0,2024,"Decision Pending",,initial_import,housing_addition
10,"3000 SHATTUCK Ave",166,"In Review",ZP2022-0046,2022-05-11,2022-08-03,2025-03-11,,,10,114,0,,"NX Ventures","Trachtenberg Architects","Demolish the existing gas station, and construct a 10-story (114 feet) mixed-use building utilizing a Density Bonus, with 166 dwellings, including 17 Very Low-Income units, and 1,043 square-feet of commercial space.",37.8550080983756,-122.266772041527,1035,1,17,"053 159200100",,"[COMPLETE] Hearing Notice: as: Notice Issued |",2025-03-11,,,0,0,0,89178.38,25.2,,,,,,,,,,,Unknown,0,1,5+,Renter,"Mega (100+)","2026-04-01 21:02:26","2026-04-01 21:02:26",,166.0,2022,"In Review",,initial_import,housing_addition
