id,address_raw,address_clean,project_name,units,units_raw,status,date_raw,date_parsed,matched_project_id,match_confidence
1,"2317 Channing Way","2317 Channing Way",,17,"17 units","zoning permits filed","Oct 17, 2020",2020-10-17,48,exact
2,"1601 Oxford St (Jordan Court)","1601 Oxford St","Jordan Court",,"units TBD","affordable senior housing groundbreaking","Oct 2, 2020",2020-10-02,,
3,"2023 Shattuck Ave","2023 Shattuck Ave",,48,"48 units","permits filed","Nov 12, 2020",2020-11-12,,
4,"2590 Bancroft Way","2590 Bancroft Way",,87,"units TBD → 87 units","design review","Dec 2020",2020-12-01,,
5,"3000 San Pablo Ave","3000 San Pablo Ave",,,"units TBD","permits filed","Dec 2020",2020-12-01,,
6,"2015 Blake St","2015 Blake St",,168,"168 units","renderings revealed","Dec 23, 2020",2020-12-23,181,high
7,"2150/2176 Kittredge St","2150/2176 Kittredge St",,169,"169 units","permits filed","Jan 6, 2021",2021-01-06,,
8,"3031 Adeline St","3031 Adeline St",,42,"42 units → 64 units","permits submitted","Jan 19, 2021",2021-01-19,,
9,"2352 Shattuck Ave (Logan Park)","2352 Shattuck Ave","Logan Park",204,"204 units (ph1) + 69 units (ph2)","phase 1 topped out","Mar 11, 2021",2021-03-11,179,high
10,"2111 University Ave (Modera Berkeley)","2111 University Ave","Modera Berkeley",205,"205 units","construction underway","Mar 13, 2021",2021-03-13,178,high
11,"2556 Telegraph Ave (The Laureate)","2556 Telegraph Ave","The Laureate",,"units TBD","construction underway","Mar 20, 2021",2021-03-20,,
12,"2000 University Ave (Studio 2000)","2000 University Ave","Studio 2000",82,"82 units","design review pending","Apr 15, 2021",2021-04-15,137,exact
13,"2136 San Pablo Ave","2136 San Pablo Ave",,100,"100+ units","renderings revealed","May 18, 2021",2021-05-18,140,exact
14,"2650 Telegraph Ave","2650 Telegraph Ave",,45,"45 units","demolition permits filed","Jun 13, 2021",2021-06-13,,
15,"2435 San Pablo Ave (Poet's Place)","2435 San Pablo Ave","Poet's Place",40,"40 sleeping units + manager","permits filed","Jun 21, 2021",2021-06-21,,
16,"2001 Ashby Ave (Maudelle Building)","2001 Ashby Ave","Maudelle Building",87,"87 affordable units","permit filed","Jul 2021",2021-07-01,154,exact
17,"2902 Adeline St","2902 Adeline St",,54,"54 units","design review","Jul 14, 2021",2021-07-14,143,exact
18,"2352 Shattuck Ave ph2","2352 Shattuck Ave ph2",,69,"69 units","permits filed","Jul 28, 2021",2021-07-28,179,high
19,"2176 Kittredge St","2176 Kittredge St",,165,"165 units","design review → demolition permits","Jul 30, 2021",2021-07-30,,
20,"1951 Shattuck Ave (Ace Berkeley)","1951 Shattuck Ave","Ace Berkeley",163,"163 units","design review","Aug 19, 2021",2021-08-19,136,exact
21,"2099 MLK Jr Way","2099 MLK Jr Way",,72,"72 units","permits filed","Sep 13, 2021",2021-09-13,138,exact
22,"2128 Oxford St / 2132 Center St (The Hub)","2128 Oxford St / 2132 Center St","The Hub",485,"485 units","17-story proposed","Sep 21, 2021",2021-09-21,133,number_street
23,"People's Park","People's Park",,1113,"~1,113 student + ~100 low-income","UC approved","Oct 5, 2021",2021-10-05,,
24,"2190 Shattuck Ave","2190 Shattuck Ave",,326,"326 units","18-story redesign","Oct 18, 2021",2021-10-18,35,exact
25,"2176 Kittredge St","2176 Kittredge St",,165,"165 units","demolition permits filed","Nov 2, 2021",2021-11-02,,
26,"2421 Fifth St","2421 Fifth St",,,"units TBD","permits filed","Nov 6, 2021",2021-11-06,,
27,"2435 San Pablo Ave (Poet's Place)","2435 San Pablo Ave","Poet's Place",40,"40 sleeping units + manager","foundation permits","Nov 7, 2021",2021-11-07,,
28,"1915 Berryman St","1915 Berryman St",,,"units TBD","4-story townhomes proposed","Nov 18, 2021",2021-11-18,,
29,"2001 Ashby Ave","2001 Ashby Ave",,87,"87 affordable units","6-story proposed","Dec 17, 2021",2021-12-17,154,exact
30,"130-134 Berkeley Square","130-134 Berkeley Square",,50,"50 units","renderings revealed","Jan 3, 2022",2022-01-03,,
31,"1367 University Ave","1367 University Ave",,39,"39 affordable units","design review","Jan 18, 2022",2022-01-18,158,exact
32,"1921 Walnut St (Anchor House)","1921 Walnut St","Anchor House",772,"772 bedrooms",groundbreaking,"Feb 9, 2022",2022-02-09,,
33,"1201 San Pablo Ave","1201 San Pablo Ave",,66,"66 units","design review","Feb 9, 2022",2022-02-09,,
34,"2190 Shattuck Ave","2190 Shattuck Ave",,326,"326 units","25-story pre-application","Feb 10, 2022",2022-02-10,35,exact
35,"2449 Dwight Way","2449 Dwight Way",,,"units TBD","renovation permits","Feb 11, 2022",2022-02-11,38,exact
36,"2900 Shattuck Ave","2900 Shattuck Ave",,221,"221 units","plans filed","Mar 9, 2022",2022-03-09,,
37,"1598 University Ave","1598 University Ave",,210,"210 units","renderings published","Mar 17, 2022",2022-03-17,152,exact
38,"2132 Center St (The Hub)","2132 Center St","The Hub",283,"283 units","renderings updated","Mar 17, 2022",2022-03-17,,
39,"1931-1941 San Pablo Ave (Rivoli Theatre)","1931-1941 San Pablo Ave","Rivoli Theatre",323,"323 units",pre-application,"Mar 18, 2022",2022-03-18,,
40,"2147 San Pablo Ave","2147 San Pablo Ave",,128,"128 group living units",pre-application,"Mar 19, 2022",2022-03-19,41,exact
41,"2000 University Ave (Studio 2000)","2000 University Ave","Studio 2000",82,"82 units","construction expected summer 2022","Mar 21, 2022",2022-03-21,137,exact
42,"2727 San Pablo Ave","2727 San Pablo Ave",,4,"4 units","design review","Apr 3, 2022",2022-04-03,,
43,"2015 Blake St","2015 Blake St",,,"units TBD","modifications application","Apr 6, 2022",2022-04-06,181,high
44,"3000 Shattuck Ave","3000 Shattuck Ave",,156,"156 units","expanded permits","Apr 6, 2022",2022-04-06,10,exact
45,"2065 Kittredge St","2065 Kittredge St",,188,"188 units","8-story student housing design review","Apr 20, 2022",2022-04-20,180,high
46,"2440 Shattuck Ave (The Lair)","2440 Shattuck Ave","The Lair",40,"40 units","design review","Apr 21, 2022",2022-04-21,,
47,"2072 Addison St (The Artisan)","2072 Addison St","The Artisan",66,"66 units","topped out","May 19, 2022",2022-05-19,182,high
48,"2067 University Ave","2067 University Ave",,50,"50 units","topped out (after fire rebuild)","May 20, 2022",2022-05-20,,
49,"1652 University Ave","1652 University Ave",,26,"26 units + 2 live-work","5-story pre-application","May 20, 2022",2022-05-20,,
50,"2601 San Pablo Ave","2601 San Pablo Ave",,242,"242 units","8-story proposed","May 20, 2022",2022-05-20,7,exact
51,"2099 MLK Jr Way","2099 MLK Jr Way",,72,"72 units","design review","May 18, 2022",2022-05-18,138,exact
52,"1921 Walnut St (Anchor House)","1921 Walnut St","Anchor House",772,"772 bedrooms","excavation underway","May 18, 2022",2022-05-18,,
53,"2847 Shattuck Ave","2847 Shattuck Ave",,112,"112 units","preliminary permits","May 22, 2022",2022-05-22,14,exact
54,"2111 University Ave (Modera Berkeley)","2111 University Ave","Modera Berkeley",205,"205 units","nearly complete","May 23, 2022",2022-05-23,178,high
55,"2012 Berkeley Way","2012 Berkeley Way",,,"units TBD","100% affordable wrapping up","May 24, 2022",2022-05-24,,
56,"2113 Kittredge St (California Theatre)","2113 Kittredge St","California Theatre",218,"218 units","15-story proposed","May 27, 2022",2022-05-27,,
57,"1974 Shattuck Ave","1974 Shattuck Ave",,599,"599 units","26-story pre-application","Jun 9, 2022",2022-06-09,119,exact
58,"2128 Oxford St (The Hub)","2128 Oxford St","The Hub",485,"485+ units","expanded to 25-story","Jun 10, 2022",2022-06-10,133,exact
59,"2420 Shattuck Ave","2420 Shattuck Ave",,146,"146 units","renderings revealed","Jun 15, 2022",2022-06-15,13,exact
60,"2439 Durant Ave","2439 Durant Ave",,,"units TBD","7-story preliminary application","Jun 16, 2022",2022-06-16,,
