id,project_id,permit_number,permit_type,permit_module,address,filed_date,status,status_date,is_primary,source,imported_at,permit_year,permit_sequence,permit_prefix
1,133," ZP2022-0135",Planning,,"2128 Oxford St",2023-03-17,"In Review",2024-10-04,0,accela,"2026-03-30 03:27:10",,,
2,1,B2025-05534,Building,,"1750 SACRAMENTO St",2025-12-03,"In Review",2026-03-03,0,accela,"2026-03-30 03:17:35",,,
3,134,DRCF2023-0005,Other,,"2480 BANCROFT",2023-09-12,"In Review",2023-10-02,0,accela,"2026-03-30 03:27:10",,,
4,2,LMSAP2024-0005,Other,,"2276 SHATTUCK Ave",2025-08-07,"In Review",2025-12-23,0,accela,"2026-03-30 03:27:10",,,
5,127,P2022-0038,Other,,"2820 San Pablo",2022-05-06,"In Review",2024-12-06,0,accela,"2026-03-30 03:27:10",,,
6,4,PLN2023-0025,Planning,,"1914 FIFTH St",2023-06-20,"In Review",2023-06-20,0,accela,"2026-03-30 03:27:10",,,
7,33,ZP2021-0158,Planning,,"130 BERKELEY Sq",2021-11-19,"In Review",2021-11-19,0,accela,"2026-03-30 03:27:10",,,
8,10,ZP2022-0046,Planning,,"3000 SHATTUCK Ave",2022-05-11,"In Review",2025-03-11,0,accela,"2026-03-30 03:27:10",,,
9,126,ZP2022-0115,Planning,,"2427 San Pablo",2022-10-05,"In Review",2024-09-16,0,accela,"2026-03-30 03:27:10",,,
10,8,ZP2022-0116,Planning,,"2920 SHATTUCK Ave",2022-10-04,"In Review",2022-12-15,0,accela,"2026-03-30 03:27:10",,,
11,14,ZP2022-0132,Planning,,"2847 SHATTUCK Ave",2022-11-23,"In Review",2023-07-05,0,accela,"2026-03-30 03:17:35",,,
12,13,ZP2022-0149,Planning,,"2420 SHATTUCK Ave",2022-10-04,"In Review",2023-12-01,0,accela,"2026-03-30 03:27:10",,,
13,7,ZP2022-0171,Planning,,"2601 SAN PABLO Ave",2023-01-13,"In Review",2023-11-17,0,accela,"2026-03-30 03:27:10",,,
14,119,ZP2023-0040,Planning,,"1974 Shattuck",2023-04-25,"In Review",2025-06-03,0,accela,"2026-03-30 03:27:10",,,
15,16,ZP2023-0058,Planning,,"2720 SAN PABLO Ave",2023-06-20,"In Review",2023-10-16,0,accela,"2026-03-30 03:17:35",,,
16,123,ZP2023-0064,Planning,,"2037 Durant",2024-03-29,"In Review",2024-06-19,0,accela,"2026-03-30 03:27:10",,,
17,120,ZP2023-0079,Planning,,"2274 SHATTUCK",2023-06-29,"In Review",2025-04-22,0,accela,"2026-03-30 03:27:10",,,
19,27,ZP2023-0089,Planning,,"2441 LE CONTE Ave",2023-07-21,"In Review",2023-11-21,0,accela,"2026-03-30 03:27:10",,,
20,36,ZP2023-0090,Planning,,"2733 SAN PABLO Ave",2023-09-18,"In Review",2024-05-09,0,accela,"2026-03-30 03:27:10",,,
21,21,ZP2023-0095,Planning,,"2660 BANCROFT",2023-07-28,"In Review",2023-07-28,0,accela,"2026-03-30 03:27:10",,,
22,17,ZP2023-0099,Planning,,"2109 MILVIA St",2023-09-13,"In Review",2024-04-11,0,accela,"2026-03-30 03:17:35",,,
23,116,ZP2023-0107,Planning,,"2462 BANCROFT",2023-08-18,"In Review",2024-07-01,0,accela,"2026-03-30 03:27:10",,,
24,128,ZP2023-0123,Planning,,"2833 Seventh St",2023-09-21,"In Review",2024-05-07,0,accela,"2026-03-30 03:27:10",,,
25,122,ZP2023-0126,Planning,,"2530 Bancroft",2024-03-12,"In Review",2024-12-27,0,accela,"2026-03-30 03:27:10",,,
26,121,ZP2023-0163,Planning,,"2100 Milvia",2023-12-20,"In Review",2025-07-01,0,accela,"2026-03-30 03:27:10",,,
27,129,ZP2024-0008,Planning,,"1614 Sixth St",2024-01-25,"In Review",2024-10-17,0,accela,"2026-03-30 03:27:10",,,
28,130,ZP2024-0014,Planning,," 1048 Keith St",2024-02-08,"In Review",2025-06-04,0,accela,"2026-03-30 03:27:10",,,
29,34,ZP2024-0029,Planning,,"2680 BANCROFT",2024-03-19,"In Review",2025-06-13,0,accela,"2026-03-30 03:27:10",,,
30,48,ZP2024-0033,Planning,,"2317 CHANNING Way",2024-03-29,"In Review",2024-09-30,0,accela,"2026-03-30 03:27:10",,,
31,19,ZP2024-0047,Planning,,"2450 SHATTUCK Ave",2024-05-16,"In Review",2024-11-01,0,accela,"2026-03-30 03:17:35",,,
32,18,ZP2024-0057,Planning,,"2655 SHATTUCK Ave",2024-06-12,"In Review",2025-08-14,0,accela,"2026-03-30 03:17:35",,,
33,3,ZP2024-0058,Planning,,"2700 SHATTUCK Ave",2024-06-13,"In Review",2024-11-07,0,accela,"2026-03-30 03:17:35",,,
34,66,ZP2024-0059,Planning,,"2204 DWIGHT Way",2024-06-06,"In Review",2026-02-27,0,accela,"2026-03-30 03:27:10",,,
35,15,ZP2024-0066,Planning,,"2109 VIRGINIA St",2024-07-03,"In Review",2026-02-26,0,accela,"2026-03-30 03:17:35",,,
36,124,ZP2024-0070,Planning,,"2442 Haste",2024-07-03,"In Review",2025-09-08,0,accela,"2026-03-30 03:27:10",,,
