project_id,address,apn,co_date,co_year,net_units,is_uc_project
135,2150 Kittredge St,057 202901600,2024-01-01,2024,169,false
136,1951 Shattuck Ave,057 204600100,2024-01-01,2024,163,false
137,2000 University Ave,057 202501300,2024-01-01,2024,82,false
138,2099 MLK Jr Way,057 202401300,2024-01-01,2024,72,false
186,1822 WOOLSEY St,052 154800800,2024-01-03,2024,1,false
241,1570 POSEN Ave,060 242900200,2024-01-08,2024,1,false
237,3122 Eton Ave,052 156310400,2024-01-31,2024,1,false
246,2631 WEBSTER St,052 157300900,2024-01-31,2024,1,false
253,1332 NEILSON St,060 239107403,2024-02-05,2024,1,false
279,1428 DELAWARE St,057 207600200,2024-02-07,2024,1,false
189,2150 RUSSELL St,052 158200400,2024-02-09,2024,1,false
266,1423 Acroft Ct,056 199804000,2024-02-23,2024,2,false
221,1340 QUEENS Rd,060 248201600,2024-02-27,2024,1,false
227,3002 HARPER St,053 160200300,2024-02-28,2024,1,false
234,1912 MONTEREY Ave,061 257301800,2024-02-28,2024,2,false
238,956 INDIAN ROCK Ave,061 257802600,2024-03-01,2024,1,false
185,1609 FIFTH St,057 211701500,2024-03-04,2024,1,false
269,2737 FOREST Ave,054 170800500,2024-03-11,2024,2,false
224,2233 GRANT St,057 201401901,2024-03-28,2024,2,false
191,2422 CALIFORNIA St,055 191304300,2024-03-29,2024,1,false
222,2164 OREGON St,053 168603300,2024-04-02,2024,1,false
267,1449 ORDWAY St,060 242304900,2024-04-05,2024,1,false
214,1725 BERKELEY Way,057 206201000,2024-04-19,2024,1,false
195,844 Miramar Ave,062 287400800,2024-04-23,2024,1,false
212,1625 SEVENTH St,058 212102600,2024-04-24,2024,1,false
220,1027 BANCROFT Way,056 197602000,2024-04-24,2024,1,false
187,1912 STUART St,053 168002400,2024-04-29,2024,1,false
196,921 ENSENADA Ave,061 261301900,2024-04-29,2024,1,false
228,2527 SAN PABLO Ave,054 178101501,2024-04-30,2024,63,false
231,15 Hillcrest Rd,064 424702100,2024-05-06,2024,1,false
232,1655 Belvedere Ave,059 229203300,2024-05-10,2024,1,false
206,35 Hillcrest Rd,064 424701700,2024-05-13,2024,1,false
235,2819 Benvenue Ave,053 169502101,2024-05-14,2024,1,false
217,85 Hazel Rd,064 423700900,2024-05-16,2024,1,false
96,2099 M L KING JR Way,057 202401300,2024-05-17,2024,0,false
240,1532 Blake St,054 180002800,2024-05-22,2024,1,false
248,1071 Page St,059 233201700,2024-05-24,2024,1,false
260,2335 Fifth St,056 194202000,2024-05-31,2024,1,false
200,2226 DWIGHT Way,055 183002200,2024-06-03,2024,2,false
264,1242 Kains Ave,060 240501800,2024-06-10,2024,1,false
216,3216 California St,052 153600400,2024-06-12,2024,1,false
250,1128 Parker St,054 178502500,2024-06-12,2024,1,false
273,1310 DERBY,054 173902500,2024-06-14,2024,1,false
201,2419 Jefferson Ave,055 191002900,2024-06-26,2024,1,false
207,483 Boynton Ave,062 294203000,2024-06-27,2024,1,false
210,1429 Bancroft Way,056 199802600,2024-07-02,2024,1,false
209,1386 Curtis St,060 239202200,2024-07-09,2024,1,false
192,2425 Prospect St,055 185601400,2024-07-10,2024,1,false
211,151 Tunnel Rd,064 422900300,2024-07-17,2024,1,false
257,1630 Posen Ave,060 243600300,2024-07-17,2024,1,false
262,766 Vincente Ave,062 288202500,2024-07-17,2024,1,false
219,2701 Shattuck Ave,054 171900100,2024-07-18,2024,57,false
259,1724 La Vereda Rd,058 220700501,2024-07-19,2024,1,false
223,2215 ROOSEVELT,057 201303200,2024-07-23,2024,1,false
274,1683 Oxford St,058 218301500,2024-07-24,2024,2,false
215,2610 Warring St,055 185200600,2024-07-25,2024,1,false
275,1701 Hopkins St,060 243702800,2024-07-25,2024,1,false
239,1023 Cragmont Ave,063 297204600,2024-07-29,2024,1,false
242,1812 Sixty-Second St,052 143301000,2024-07-29,2024,1,false
254,1380 GILMAN,060 242300100,2024-07-29,2024,1,false
278,1332 MILVIA,060 245101400,2024-07-30,2024,1,false
272,1216 Haskell St,052 151502600,2024-07-31,2024,1,false
230,1446 Campus Dr,060 247801300,2024-08-02,2024,1,false
203,1700 Walnut St,058 217700300,2024-08-07,2024,1,false
205,28 Hopkins Ct,060 242904100,2024-08-20,2024,1,false
170,1950 OXFORD St,,2024-08-21,2024,300,true
268,2433 Acton St,056 191902500,2024-08-23,2024,1,false
243,2206 Roosevelt Ave,056 200900600,2024-08-30,2024,1,false
265,1305 SIXTY-SIXTH,052 151701500,2024-09-06,2024,1,false
245,26 Rock Ln,063 296104700,2024-09-09,2024,1,false
251,1221 Carrison St,053 162701800,2024-09-12,2024,1,false
256,1517 VIRGINIA,058 215301200,2024-09-12,2024,1,false
252,1326 M L King Jr Way,060 244701000,2024-09-16,2024,1,false
263,1231 NEILSON,060 241502600,2024-09-19,2024,1,false
229,1154 Josephine St,061 260501700,2024-09-23,2024,1,false
270,2830 Cherry St,053 169601200,2024-09-23,2024,1,false
193,2818 Webster St,052 156405600,2024-09-24,2024,1,false
199,1709 Sacramento St,058 215101801,2024-09-24,2024,1,false
244,2303 GRANT St,055 190403300,2024-09-25,2024,1,false
258,1712 M L King Jr Way,058 216700400,2024-10-07,2024,1,false
190,1341 ADDISON,056 199501001,2024-10-16,2024,2,false
197,0 Cragmont Ave,063 298602200,2024-10-24,2024,1,false
247,1415 Fifth St,059 233701800,2024-10-31,2024,1,false
277,1325 ALCATRAZ,052 151800800,2024-10-31,2024,1,false
