year,apn,street_address,co_units
2024,057 211701500,1609 FIFTH St,1
2024,052 154800800,1822 WOOLSEY St,1
2024,053 168002400,1912 STUART St,1
2024,052 155402000,2024 Prince Street,1
2024,052 158200400,2150 RUSSELL St,1
2024,056 199501001,1341 ADDISON,1
2024,055 191304300,2422 CALIFORNIA St,1
2024,055 185601400,2425 Prospect St,1
2024,052 156405600,2818 Webster St,1
2024,062 286800600,626 Peralta Ave,1
2024,062 287400800,844 Miramar Ave,1
2024,061 261301900,921 ENSENADA Ave,1
2024,063 298602200,0 Cragmont Ave,1
2024,056 193800700,2312 Eighth St,1
2024,058 215101801,1709 Sacramento St,1
2024,055 183002200,2226 DWIGHT Way,2
2024,055 191002900,2419 Jefferson Ave,1
2024,053 166002400,1027 HEINZ,1
2024,058 217700300,1700 Walnut St,1
2024,057 206301100,1825 BERKELEY Way,1
2024,054 170800900,2723 Forest Ave,1
2024,060 242904100,28 Hopkins Ct,1
2024,064 424701700,35 Hillcrest Rd,1
2024,062 294203000,483 Boynton Ave,1
2024,062 294502800,469 Kentucky Ave,1
2024,060 239202200,1386 Curtis St,1
2024,056 199802600,1429 Bancroft Way,1
2024,064 422900300,151 Tunnel Rd,1
2024,058 212102600,1625 SEVENTH St,1
2024,054 178100400,2516 Mathews St,1
2024,057 206201000,1725 BERKELEY Way,1
2024,055 185200600,2610 Warring St,1
2024,052 153600400,3216 California St,1
2024,064 423700900,85 Hazel Rd,1
2024,061 257700600,886 Arlington Ave,1
2024,057 202501300,2000 UNIVERSITY Ave,82
2024,057 202901600,2150 KITTREDGE St,169
2024,054 171900100,2701 Shattuck Ave,57
2024,056 197602000,1027 BANCROFT Way,1
2024,060 248201600,1340 QUEENS Rd,1
2024,053 168603300,2164 OREGON St,1
2024,057 201303200,2215 ROOSEVELT,1
2024,057 201401901,2233 GRANT St,2
2024,055 191302700,2331 Spaulding Ave,1
2024,057 206300700,1837 Berkeley Way,3
2024,053 160200300,3002 HARPER St,1
2024,057 202401300,2099 M L KING JR Way,72
2024,054 178101501,2527 SAN PABLO Ave,63
2024,061 260501700,1154 Josephine St,1
2024,060 247801300,1446 Campus Dr,1
2024,064 424702100,15 Hillcrest Rd,1
2024,059 229203300,1655 Belvedere Ave,1
2024,058 212801600,1655 Tenth St,1
2024,061 257301800,1912 MONTEREY Ave,1
2024,053 169502101,2819 Benvenue Ave,1
2024,052 155600600,3120 Deakin St,1
2024,052 156310400,3122 Eton Ave,1
2024,056 193800700,2310 EIGHTH,1
2024,061 257802600,956 INDIAN ROCK Ave,1
2024,057 204600100,1951 SHATTUCK Ave,163
2024,063 297204600,1023 Cragmont Ave,1
2024,054 180002800,1532 Blake St,1
2024,060 242900200,1570 POSEN Ave,1
2024,052 143301000,1812 Sixty-Second St,1
2024,056 200900600,2206 Roosevelt Ave,1
2024,055 190403300,2303 GRANT St,1
2024,063 296104700,26 Rock Ln,1
2024,052 157300900,2631 WEBSTER St,1
2024,059 233701800,1415 Fifth St,1
2024,059 233201700,1071 Page St,1
2024,063 314004900,1067 Park Hills Rd,1
2024,054 178502500,1128 Parker St,1
2024,053 162701800,1221 Carrison St,1
2024,060 244701000,1326 M L King Jr Way,1
2024,060 239107403,1332 NEILSON St,1
2024,060 242300100,1380 GILMAN,1
2024,060 242304000,1381 Ada St,1
2024,058 215301200,1517 VIRGINIA,1
2024,060 243600300,1630 Posen Ave,1
2024,058 216700400,1712 M L King Jr Way,1
2024,058 220700501,1724 La Vereda Rd,1
2024,056 194202000,2335 Fifth St,1
2024,055 186500700,2430 Prospect St,1
2024,062 288202500,766 Vincente Ave,1
2024,060 241502600,1231 NEILSON,1
2024,060 240501800,1242 Kains Ave,1
2024,052 151701500,1305 SIXTY-SIXTH,1
2024,056 199804000,1423 Acroft Ct,1
2024,060 242304900,1449 ORDWAY St,1
2024,056 191902500,2433 Acton St,1
2024,054 170800500,2737 FOREST Ave,2
2024,053 169601200,2830 Cherry St,1
2024,052 154700600,3136 Ellis St,1
2024,063 297204600,1023 Cragmont Ave,1
2024,052 151502600,1216 Haskell St,1
2024,054 173902500,1310 DERBY,1
2024,058 218301500,1683 Oxford St,2
2024,060 243702800,1701 Hopkins St,1
2024,058 216001300,1709 Francisco St,1
2024,052 151800800,1325 ALCATRAZ,1
2024,060 245101400,1332 MILVIA,1
2024,057 207600200,1428 DELAWARE St,1
2025,053 166700300,2804 ACTON St,1
2025,055 183500901,2650 TELEGRAPH Ave,45
2025,059 228203700,1408 EDITH St,1
2025,052 158200200,2144 RUSSELL St,1
2025,053 160202100,3037 ELLIS St,1
2025,058 213401800,1215 DELAWARE St,1
2025,061 261101300,948 FRESNO Ave,1
2025,052 152600900,1817 SIXTY-SECOND St,1
2025,058 216401600,1619 EDITH St,1
2025,056 192400500,1280 BANCROFT Way,1
2025,060 242900900,1228 MONTEREY Ave,1
2025,061 261000900,1016 FRESNO Ave,1
2025,054 178302000,2501 MABEL St,1
2025,055 182201800,2000 DWIGHT Way,113
2025,059 228503800,1521 SACRAMENTO St,1
