"File Date","Status","Record Number","Record Type","Address","Description","Short Notes",
"06/30/2026","Permit Issued","SEA2600583","SolarApp+ (For roof mounted residential solar projects not exceeding 38.4kw total done with SolarApp+- contractor use)","1501 MAGNOLIA ST, Oakland CA 94607","8 Q.PEAK DUO BLK ML-G10.C+ 410 solar modules1 1707000-XX-Y {11.5kW} inverter1 1707000-XX-Y {11.5kW} ESSNew Busbar count - 1System Size: 3.28 kW DC (11.5 kW AC)",,
"06/30/2026","Intake-On Hold","RBC2601857","(RBC) - Building Residential Combo Alteration- 1 & 2 Unit Residential (Building)","4139 LUSK ST, Oakland CA 94608","Kitchen remodel with new exterior door and landing, upgrade electrical to current Code compliance.",,
"06/30/2026","Created","BW26001985","(BW) - Building Worksheet (Building)","3876 RHODA AVE, Oakland CA 94602","Remove and replace 69 lineal feet of reinforced concrete foundation along the left side perimeter. Install shear wall panels.New interior footing with stud wall and plywood sheathing.",,
"06/30/2026","Permit Issued","SEA2600582","SolarApp+ (For roof mounted residential solar projects not exceeding 38.4kw total done with SolarApp+- contractor use)","2000 86TH AVE, Oakland CA 94621","10 Q.PEAK DUO BLK ML-G10.C+ 410 solar modules1 1707000-XX-Y {11.5kW} inverter1 1707000-XX-Y {11.5kW} ESSNew Busbar count - 1",,
"06/30/2026",,"26TMP-031327","(RE) - Electrical - 1 & 2 Unit Residential (Building)","3248 BONA ST, Oakland CA 94601","replace existing 100 amp meter main with a new 100 amp meter main",,
"06/30/2026","Inspections - In Progress","SL2601234","(SL) - Sewer Lateral (OPW)","2836 MYRTLE ST, Oakland CA 94608","Replace sewer lateral from building to city main on the street.",,
"06/30/2026","Permit Issued","CGS2601570","DOT - Curb Gutter Sidewalk Exemption Certificate","1325 DRURY RD, Oakland CA 94705",,,
"06/30/2026","Created","BW26001989","(BW) - Building Worksheet (Building)","8656 MACARTHUR BLVD, Oakland CA 94605","install 100 sqf of sheet rock and install 2 lower cabinets plus hardwear",,
"06/30/2026","Permit Issued","RE2601599","(RE) - Electrical - 1 & 2 Unit Residential (Building)","3062 ROXBURY AVE, Oakland CA 94605","50AMP CIRCUIT FOR EV, ENERGY MANAGEMENT PANEL",,
"06/30/2026",,"25TMP-057613","(BW) - Building Worksheet (Building)","756 29TH ST, Oakland CA 94609","THE PROJECT IS A NEW ADU (CONVERSION OF BASEMENT TO AN ADU) IN AN EXISTING HOME:LOWER LEVEL (840 SF)- (N) LIVING AREA & KITCHEN,- (N) BEDROOMS,- (N) BATHROOM- (N) WINDOWS & DOORS THROUGHOUT- (N) WATER HEATER- (N) HVAC",,
"06/30/2026","Assigned","BW26001993","(BW) - Building Worksheet (Building)","5345 FOOTHILL BLVD, Oakland CA 94601","A MODIFICATION TO AN (E) VERIZON WIRELESS UNMANNED TELECOMMUNICATION FACILITY CONSISTING OF:REMOVING (6) (E) VERIZON WIRELESS ANTENNASREMOVING (3) (E) RRUS-4449 UNITS @ ANTENNASREMOVING (3) (E) RRUS-8843 UNITS @ ANTENNASREMOVING (3) (E) FRP BOXESINSTALLING (3) (N) FRP BOXESINSTALLING (6) (N) VERIZON WIRELESS ANTENNASINSTALLING (3) (N) RADIO 4490 UNITS @ ANTENNAS",,
"06/30/2026","Complete","BW26001996","(BW) - Building Worksheet (Building)","5831 SAN LEANDRO ST, Oakland CA 94621","Requesting Certificate of Occupancy for the new tenant (HXF Green Inc).previous tenant was CMC",,
"06/30/2026","Certificate Issued","R2600813","(R) - ReRoof Certificate (Building)","6250 CHELTON DR, Oakland CA 94611","TEAR OFF AND REROOF WITH 27 SQUARES OF DIMENSIONAL SHINGLES.",,
"06/30/2026","Permit Issued","CGS2601572","DOT - Curb Gutter Sidewalk Exemption Certificate","5649 CASTLE DR, Oakland CA 94611",,,
"06/30/2026","Permit Issued","CGS2601576","DOT - Curb Gutter Sidewalk Standard Compliance Certificate","758 61ST ST, Oakland CA 94609",,,
"06/30/2026","Permit Issued","LBP2600117","(LBP) - Lead Based Paint (Building)","4350 ALBERT ST, Oakland CA 94619","Painting complete exterior with removal of peeling lead base paint in front of home. All lead base practices will be observed and out into action",,
"06/30/2026",,"26TMP-031236","(R) - ReRoof Certificate (Building)","530 E 8TH ST, Oakland CA 94606","Tear off 2 layers, Install  Dens Deck",,
"06/30/2026","Permit Issued","RE2601594","(RE) - Electrical - 1 & 2 Unit Residential (Building)","13883 CAMPUS DR, Oakland CA 94605","DC-coupled Battery Energy Storage System (BESS) installation connected to existing SolarEdge Energy Hub inverter. Includes DC wiring, battery management system, and integration with existing rooftop solar.",,
"06/30/2026","Permit Issued","M2600802","(M) - Mechanical - 3+ Residential Units or Commercial (Building)","3513 LINCOLN AVE, Oakland CA 94602","REPLACE EXISTING FURNACE",,
"06/30/2026","Certificate Issued","R2600807","(R) - ReRoof Certificate (Building)","452 MCAULEY ST, Oakland CA 94609","Reroof, tear off, 19 SQ. Shingles",,
"06/30/2026","Permit Issued","CGS2601565","DOT - Curb Gutter Sidewalk Provisional Certificate","1005 PORTAL AVE, Oakland CA 94610",,,
"06/30/2026","In Progress","TR-ND26-00072","(ND) - Non-Developmental Tree Permit (OPW)","809 15TH ST, Oakland CA 94607","This tree is found to the left of 809 15th Street, Oakland. This Liquidambar is approximately 13–18 inches DBH and 46–60 feet in height. The tree has experienced repeated limb failures over the past year and has been the source of ongoing concern for the property owner. These limb failures have caused damage to the main trunk of the tree and is now unsafe.Due to its history of branch failures and the potential for future limb drop, the tree is considered a hazard by the owner, who has requested its removal. The request is based on the tree's documented history of failures and the desire to prevent future property damage or safety concerns.",,
"06/30/2026",,"26TMP-031122","(BW) - Building Worksheet (Building)","1700 BROADWAY, Oakland CA 94612","soft demolition - interior removal of non-load bearing partition walls, millwork on 4 floors of a 10 story building. Floors 7 through 10.Removal of plumbing fixtures on one floor. Capping and sealing of plumbing lines.Removal of abandoned electrical conduits at ground level space.",,
"06/30/2026","Permit Issued","RE2601590","(RE) - Electrical - 1 & 2 Unit Residential (Building)","551 22ND ST, Oakland CA 94612","we are upgrading 100A to 200A and redoing the connection to the meter with a new 2 meter panel.",,
"06/30/2026","Permit Issued","SEA2600584","SolarApp+ (For roof mounted residential solar projects not exceeding 38.4kw total done with SolarApp+- contractor use)","4711 SCOTIA AVE, Oakland CA 94605","9.45 KW DC (21) Panels Roof Mount PV system with (1) ESS, New 200A MPU, Main Panel Relocation",,
"06/30/2026","Permit Issued","SEA2600581","SolarApp+ (For roof mounted residential solar projects not exceeding 38.4kw total done with SolarApp+- contractor use)","2750 MOUNTAIN GATE WY, Oakland CA 94611","SOLAR INSTALLED AT DETACHED GARAGE - REFERENCE RELATED PERMIT # SEA2600361",,
"06/30/2026","Certificate Issued","R2600812","(R) - ReRoof Certificate (Building)","8118 SUNKIST DR, Oakland CA 94605","replacing modified bitumen with TPO Title 24 compliant",,
"06/30/2026","Certificate Issued","R2600808","(R) - ReRoof Certificate (Building)","9855 PLYMOUTH ST, Oakland CA 94603","Remove 19 sq. ft. of existing roof; furnish and install UDL 30 underlaymentInstall new OC ThuDef cool shingles",,
"06/30/2026","Scheduled Appointment","BW26001992","(BW) - Building Worksheet (Building)","444 HEGENBERGER RD, Oakland CA 94621","We are applying for a revision to our permit B2500482.  We encountered a hidden structural bracing that hinders us from proceeding with the proposed layout, therefore, we switched the locations of Classroom 142 with the restrooms.  Furthermore, we added a toilet room and moved the lavatories out in a common area.",,
"06/30/2026","Permit Issued","SEA2600585","SolarApp+ (For roof mounted residential solar projects not exceeding 38.4kw total done with SolarApp+- contractor use)","16040 BROADWAY TER, OAKLAND CA 94611","intallation of a 6.88 KW PV sytem, roof mount. 16 panels , 16 enphase microinverters, 2 enphase batteries 10C, 1 enphase combainer box and 1 enphase meter collar",,
"06/30/2026",,"26TMP-031278","(BW) - Building Worksheet (Building)","1729 E 15TH ST, Oakland CA 94606","Repair of Second-floor exterior elevated elements in compliance with SB721 requirements, which includes: repairing all rotted joists as specified on the structural details. Also, strengthen the loose railing connection as shown on structural details.",,
"06/30/2026","Permit Issued","CGS2601568","DOT - Curb Gutter Sidewalk Exemption Certificate","8249 SKYLINE CIR, Oakland CA 94605",,,
"06/30/2026","Permit Issued","E2601597","(E) - Electrical - 3+ Residential Units or Commercial (Building)","6434 INTERNATIONAL BLVD, Oakland CA 94621","Electrical service upgrade from 100 to 200 amps.",,
