Date	Permit Number	Status	Address	Occupancy Class
12/31/2025	ESR-2025-04632	Closed Expired	2416 ROOSEVELT Ave, BERKELEY CA 94703	R-2
12/31/2025	ESR-2025-04631	Closed Expired	1809 TENTH St, BERKELEY CA 94710	R-2
12/31/2025	ESR-2025-04630	Closed Expired	2332 M L KING JR Way, BERKELEY CA 94704	R-2
12/31/2025	ESR-2025-04625	Closed Expired	2410 NINTH St, BERKELEY CA 94710	R-2
12/30/2025	ESR-2025-04624	Closed Expired	2101 SACRAMENTO St, BERKELEY CA 94702	R-2
12/30/2025	ESR-2025-04617	Closed Expired	2000 CHANNING Way, BERKELEY CA 94704	R-2
12/29/2025	25TMP-036455		2809 CHERRY St, B, BERKELEY CA 94705	R-2
12/29/2025	ESR-2025-04599	Closed Expired	1635 FRANCISCO St, BERKELEY CA 94703	R-2
12/24/2025	ESR-2025-04581	Closed Expired	1810 DWIGHT Way, BERKELEY CA 94703	R-2
12/19/2025	ESR-2025-04537	Closed Expired	1115 ADDISON St, 1, BERKELEY CA 94702	R-2
12/17/2025	ESR-2025-04508	Closed Expired	2015 HEARST Ave, BERKELEY CA 94709	R-2
12/17/2025	ESR-2025-04498	Closed Expired	1622 MILVIA St, BERKELEY CA 94709	R-2
12/15/2025	ESR-2025-04443	Closed Expired	2601 COLLEGE Ave, 205, BERKELEY CA 94704	R-2
12/15/2025	ESR-2025-04452	Closed Expired	2529 ELLSWORTH St, 2, BERKELEY CA 94704	R-2
12/13/2025	ESR-2025-04440	Closed Expired	2012 GRANT St, 2, BERKELEY CA 94703	R-2
12/09/2025	ESR-2025-04375	Closed Expired	1716 JAYNES St, BERKELEY CA 94703	R-2
12/08/2025	ESR-2025-04359	Closed Expired	2644 DWIGHT Way, BERKELEY CA 94704	R-2
12/06/2025	ESR-2025-04348	Closed Expired	2227 DERBY St, BERKELEY CA 94705	R-2
12/06/2025	ESR-2025-04349	Closed Expired	2230 PRINCE St, BERKELEY CA 94705	R-2
12/06/2025	ESR-2025-04352	Closed Expired	1849 CEDAR St, BERKELEY CA 94703	R-2
12/04/2025	25TMP-033467		1139 OXFORD St, 2, BERKELEY CA 94707	R-2
12/04/2025	ESR-2025-04315	Closed Expired	2528 DANA St, BERKELEY CA 94704	R-2
11/26/2025	ESR-2025-04236	Closed Expired	1814 WOOLSEY St, BERKELEY CA 94703	R-2
11/25/2025	25TMP-032937		1614 ADDISON St, BERKELEY CA 94703	R-2
11/24/2025	ESR-2025-04172	Closed Expired	2126 JEFFERSON Ave, BERKELEY CA 94703	R-2
11/21/2025	ESR-2025-04147	Closed Expired	2526 ELLSWORTH St, BERKELEY CA 94704	R-2
11/20/2025	ESR-2025-04137	Closed Expired	2150 CHANNING Way, BERKELEY CA 94704	R-2
11/19/2025	ESR-2025-04113	Closed Expired	2341 EIGHTH St, B, BERKELEY CA 94710	R-2
11/17/2025	ESR-2025-04074	Closed Expired	2304 GRANT St, B, BERKELEY CA 94703	R-2
11/13/2025	ESR-2025-04042	Closed Expired	2515 DANA St, BERKELEY CA 94704	R-2
11/10/2025	ESR-2025-04001	Closed Expired	1616 BERKELEY Way, BERKELEY CA 94703	R-2
11/10/2025	ESR-2025-04000	Closed Expired	2711 CLAREMONT Blvd, BERKELEY CA 94705	R-2
11/04/2025	ESR-2025-03913	Closed Expired	2338 TELEGRAPH Ave, BERKELEY CA 94704	R-2
11/04/2025	ESR-2025-03927	Closed Expired	1735 HIGHLAND Pl, BERKELEY CA 94709	R-2
11/03/2025	ESR-2025-03889	Closed Expired	2118 CHANNING Way, A, BERKELEY CA 94704	R-2
10/31/2025	ESR-2025-03866	Closed Expired	2922 FULTON St, BERKELEY CA 94705	R-2
10/30/2025	ESR-2025-03842	Closed Expired	1921 DELAWARE St, BERKELEY CA 94709	R-2
10/29/2025	ESR-2025-03820	Closed Expired	2410 NINTH St, BERKELEY CA 94710	R-2
