Date	Permit Number	Status	Address
12/31/2025	undefined	Closed Expired	2416 ROOSEVELT Ave, BERKELEY CA 94703
12/31/2025	undefined	Closed Expired	1809 TENTH St, BERKELEY CA 94710
12/31/2025	undefined	Closed Expired	2332 M L KING JR Way, BERKELEY CA 94704
12/31/2025	undefined	Closed Expired	2410 NINTH St, BERKELEY CA 94710
12/30/2025	undefined	Closed Expired	2101 SACRAMENTO St, BERKELEY CA 94702
12/30/2025	undefined	Closed Expired	2000 CHANNING Way, BERKELEY CA 94704
12/29/2025	undefined		2809 CHERRY St, B, BERKELEY CA 94705
12/29/2025	undefined	Closed Expired	1635 FRANCISCO St, BERKELEY CA 94703
12/24/2025	undefined	Closed Expired	1810 DWIGHT Way, BERKELEY CA 94703
12/19/2025	undefined	Closed Expired	1115 ADDISON St, 1, BERKELEY CA 94702
12/17/2025	undefined	Closed Expired	2015 HEARST Ave, BERKELEY CA 94709
12/17/2025	undefined	Closed Expired	1622 MILVIA St, BERKELEY CA 94709
12/15/2025	undefined	Closed Expired	2601 COLLEGE Ave, 205, BERKELEY CA 94704
12/15/2025	undefined	Closed Expired	2529 ELLSWORTH St, 2, BERKELEY CA 94704
12/13/2025	undefined	Closed Expired	2012 GRANT St, 2, BERKELEY CA 94703
12/09/2025	undefined	Closed Expired	1716 JAYNES St, BERKELEY CA 94703
12/08/2025	undefined	Closed Expired	2644 DWIGHT Way, BERKELEY CA 94704
12/06/2025	undefined	Closed Expired	2227 DERBY St, BERKELEY CA 94705
12/06/2025	undefined	Closed Expired	2230 PRINCE St, BERKELEY CA 94705
12/06/2025	undefined	Closed Expired	1849 CEDAR St, BERKELEY CA 94703
12/04/2025	undefined		1139 OXFORD St, 2, BERKELEY CA 94707
12/04/2025	undefined	Closed Expired	2528 DANA St, BERKELEY CA 94704
11/26/2025	undefined	Closed Expired	1814 WOOLSEY St, BERKELEY CA 94703
11/25/2025	undefined		1614 ADDISON St, BERKELEY CA 94703
11/24/2025	undefined	Closed Expired	2126 JEFFERSON Ave, BERKELEY CA 94703
11/21/2025	undefined	Closed Expired	2526 ELLSWORTH St, BERKELEY CA 94704
11/20/2025	undefined	Closed Expired	2150 CHANNING Way, BERKELEY CA 94704
11/19/2025	undefined	Closed Expired	2341 EIGHTH St, B, BERKELEY CA 94710
11/17/2025	undefined	Closed Expired	2304 GRANT St, B, BERKELEY CA 94703
11/13/2025	undefined	Closed Expired	2515 DANA St, BERKELEY CA 94704
11/10/2025	undefined	Closed Expired	1616 BERKELEY Way, BERKELEY CA 94703
11/10/2025	undefined	Closed Expired	2711 CLAREMONT Blvd, BERKELEY CA 94705
11/04/2025	undefined	Closed Expired	2338 TELEGRAPH Ave, BERKELEY CA 94704
11/04/2025	undefined	Closed Expired	1735 HIGHLAND Pl, BERKELEY CA 94709
11/03/2025	undefined	Closed Expired	2118 CHANNING Way, A, BERKELEY CA 94704
10/31/2025	undefined	Closed Expired	2922 FULTON St, BERKELEY CA 94705
10/30/2025	undefined	Closed Expired	1921 DELAWARE St, BERKELEY CA 94709
10/29/2025	undefined	Closed Expired	2410 NINTH St, BERKELEY CA 94710
10/28/2025	undefined	Closed Expired	1735 HIGHLAND Pl, 31, BERKELEY CA 94709
10/22/2025	undefined	Closed Expired	1204 MILVIA St, BERKELEY CA 94709
10/21/2025	undefined	Closed Expired	1914 STUART St, B, BERKELEY CA 94703
10/21/2025	undefined	Closed Expired	2619 REGENT St, BERKELEY CA 94704
10/14/2025	undefined	Closed Expired	3040 TELEGRAPH Ave, BERKELEY CA 94705
10/14/2025	undefined	Closed Expired	1205 TALBOT Ave, BERKELEY CA 94706
10/10/2025	undefined	Closed Expired	650 EUCLID Ave, BERKELEY CA 94708
10/09/2025	undefined	Documents Uploaded	2318 PRINCE St, BERKELEY CA 94705
10/08/2025	undefined	Closed Expired	1350 BERKELEY Way, BERKELEY CA 94702
10/08/2025	undefined		2118 CHANNING Way, BERKELEY CA 94704
10/07/2025	undefined	Closed Expired	2118 CHANNING Way, BERKELEY CA 94704
10/06/2025	undefined	Closed Expired	2035 NINTH St, C, BERKELEY CA 94710
10/05/2025	undefined	Closed Expired	1810 DWIGHT Way, BERKELEY CA 94703
10/03/2025	undefined	Closed Expired	1224 CHANNING Way, BERKELEY CA 94702
10/02/2025	undefined	Closed Expired	1644 PRINCE St, BERKELEY CA 94703
10/01/2025	undefined	Closed Expired	1110 UNIVERSITY Ave, BERKELEY CA 94702
09/29/2025	undefined	Closed Expired	3211 ELLIS St, BERKELEY CA 94703
09/28/2025	undefined	Closed Expired	1922 GRANT St, BERKELEY CA 94703
09/27/2025	undefined		1522 OXFORD St, BERKELEY CA 94709
09/26/2025	undefined	Closed Expired	3014 COLLEGE Ave, BERKELEY CA 94705
09/25/2025	undefined	Closed Expired	1636 M L KING JR Way, BERKELEY CA 94709
09/24/2025	undefined		1518 DWIGHT Way, BERKELEY CA 94703
09/24/2025	undefined	Closed Expired	1729 MILVIA St, BERKELEY CA 94709
09/24/2025	undefined	Closed Expired	2835 REGENT St, BERKELEY CA 94705
09/24/2025	undefined	Closed Expired	2309 PRINCE St, BERKELEY CA 94705
09/22/2025	undefined	Closed Expired	723 WOODHAVEN Rd, BERKELEY CA 94708
09/22/2025	undefined	Closed Expired	853 CONTRA COSTA Ave, BERKELEY CA 94707
09/17/2025	undefined	Closed Expired	1914 STUART St, B, BERKELEY CA 94703
09/13/2025	undefined		2923 FLORENCE St, BERKELEY CA 94705
09/10/2025	undefined	Closed Expired	2311 LE CONTE Ave, BERKELEY CA 94709
09/10/2025	undefined	Closed Expired	1819 NINTH St, BERKELEY CA 94710
09/09/2025	undefined	Closed Expired	2417 SEVENTH St, A, BERKELEY CA 94710
09/03/2025	undefined	Closed Expired	1732 SAN PABLO Ave, BERKELEY CA 94702
08/30/2025	undefined	Closed Expired	1819 OREGON St, BERKELEY CA 94703
08/28/2025	undefined	Closed Expired	1817 OREGON St, A, BERKELEY CA 94703
08/27/2025	undefined	Closed Expired	1801 ROSE St, BERKELEY CA 94703
08/26/2025	undefined	Closed Expired	1914 STUART St, B, BERKELEY CA 94703
08/25/2025	undefined	Closed Expired	1610 MILVIA St, BERKELEY CA 94709
08/23/2025	undefined	Closed Expired	841 CONTRA COSTA Ave, BERKELEY CA 94707
08/23/2025	undefined	Closed Expired	2319 ROOSEVELT Ave, BERKELEY CA 94703
08/21/2025	undefined	Closed Expired	723 WOODHAVEN Rd, BERKELEY CA 94708
08/21/2025	undefined	Closed Expired	1918 GRANT St, BERKELEY CA 94703
08/21/2025	undefined	Closed Expired	1683 LA LOMA Ave, BERKELEY CA 94709
08/21/2025	undefined	Closed Expired	1430 JOSEPHINE St, BERKELEY CA 94703
08/18/2025	undefined	Closed Expired	1710 M L KING JR Way, BERKELEY CA 94709
08/16/2025	undefined	Closed Expired	2015 HEARST Ave, BERKELEY CA 94709
08/16/2025	undefined	Closed Expired	1218 DWIGHT Way, BERKELEY CA 94702
08/14/2025	undefined	Closed Expired	2283 HEARST Ave, BERKELEY CA 94709
08/13/2025	undefined	Closed Expired	1316 BONITA Ave, BERKELEY CA 94709
08/13/2025	undefined	Closed Expired	1735 BERKELEY Way, BERKELEY CA 94703
08/12/2025	undefined	Closed Expired	2550 COLLEGE Ave, 7, BERKELEY CA 94704
08/11/2025	undefined	Closed Expired	3101 CALIFORNIA St, BERKELEY CA 94703
08/08/2025	undefined	Closed Expired	1602 EDITH St, A, BERKELEY CA 94703
08/06/2025	undefined	Closed Expired	1330 UNIVERSITY Ave, 102, BERKELEY CA 94702
08/06/2025	undefined		1406 EUCLID Ave, 6, BERKELEY CA 94708
08/04/2025	undefined	Closed Expired	1319 PERALTA Ave, BERKELEY CA 94702
08/02/2025	undefined	Closed Expired	2147 EMERSON St, BERKELEY CA 94705
07/30/2025	undefined	Closed Expired	2118 CALIFORNIA St, A, BERKELEY CA 94703
07/28/2025	undefined	Closed Expired	1600 SIXTY-THIRD St, BERKELEY CA 94703
07/28/2025	undefined	Closed Expired	1739 ADDISON St, BERKELEY CA 94703
07/23/2025	undefined		1815 UNIVERSITY Ave, BERKELEY CA 94703
07/22/2025	undefined		488 KENTUCKY Ave, BERKELEY CA 94707
07/22/2025	undefined	Closed Expired	488 KENTUCKY Ave, BERKELEY CA 94707
07/21/2025	undefined		2410 STUART St, D, BERKELEY CA 94705
07/17/2025	undefined	Closed Expired	2118 CALIFORNIA St, B, BERKELEY CA 94703
07/17/2025	undefined	Closed Expired	2116 CALIFORNIA St, B, BERKELEY CA 94703
07/10/2025	undefined	Closed Expired	1313 HASKELL St, BERKELEY CA 94702
07/10/2025	undefined	Closed Expired	2534 DWIGHT Way, BERKELEY CA 94704
07/10/2025	undefined	Closed Expired	1315 HASKELL St, BERKELEY CA 94702
07/02/2025	undefined	Closed Expired	1600 SIXTY-THIRD St, BERKELEY CA 94703
07/02/2025	undefined	Closed Expired	2627 CALIFORNIA St, BERKELEY CA 94703
07/01/2025	undefined	Closed Expired	2908 DEAKIN St, C, BERKELEY CA 94705
06/30/2025	undefined	Closed Expired	1429 BONITA Ave, BERKELEY CA 94709
06/29/2025	undefined	Closed Expired	1036 COLUSA Ave, BERKELEY CA 94707
06/27/2025	undefined	Closed Expired	723 WOODHAVEN Rd, BERKELEY CA 94708
06/26/2025	undefined	Closed Expired	1804 SIXTY-SECOND St, BERKELEY CA 94703
06/19/2025	undefined	Closed Expired	1694 OXFORD St, D, BERKELEY CA 94709
06/15/2025	undefined	Closed Expired	1939 HASTE St, BERKELEY CA 94704
06/15/2025	undefined	Closed Expired	1937 HASTE St, BERKELEY CA 94704
06/10/2025	undefined	Closed Expired	1525 SPRUCE St, 32, BERKELEY CA 94709
06/10/2025	undefined	Closed Expired	2617 HILLEGASS Ave, BERKELEY CA 94704
06/10/2025	undefined	Closed Expired	1525 SPRUCE St, 22, BERKELEY CA 94709
06/10/2025	undefined	Closed Expired	1525 SPRUCE St, 2, BERKELEY CA 94709
06/04/2025	undefined	Closed Expired	891 VIRGINIA St, BERKELEY CA 94710
06/04/2025	undefined	Closed Expired	2908 DEAKIN St, C, BERKELEY CA 94705
