Record #,Address,Type,Description,Status,Date (Applied/Opened),Density Flag
B2019-01146,"2501 BENVENUE Ave, BERKELEY CA 94704",Building Permit,Remove unpermitted kitchen from storage space. To clear violation #2016-06679.,Finaled,03/15/2019,
B2016-00077-REV02,"2501 BENVENUE Ave, BERKELEY CA 94704",Building Revision for B2016-00077,"Revision Submitted to Proposed Support and Framing. Valuation Increased From $7,000 to $32,000",Issued,03/16/2017,
B2016-00077-REV01,"2501 BENVENUE Ave, BERKELEY CA 94704",Building Revision for B2016-00077,"**** REVISION 5/3/16 REPAIR IN KIND (2) BEAMS & CONCRETE DECKING - INCREASE IN VALUATION $4K TO NEW VALUATION $7,000 MR1",Issued,05/03/2016,
B2016-00077,"2501 BENVENUE Ave, BERKELEY CA 94704",Building Permit,E-3 Program to install vents and repair in kind balcony railings.,Finaled,01/07/2016,
B2020-03127,"2515 BENVENUE Ave, 301, BERKELEY CA 94704",Building Electrical Mechanical Plumbing Permit,"Fire damage repair, in unit 201 replace sheetrock, flooring and ceiling from water intrusion and in unit 301 replace sheetrock, flooring & ceiling, electrical, plumbing and one window like for like. We are renovating bathroom and kitchen and a wall heater all above on unit #301 Exactly lower of above unit, we are replacing drywall damaged cynic flooring and a wall heater.",Finaled,09/18/2020,
B1993-04538,"2515 BENVENUE AVE, 402, BERKELEY CA 94704",Building Electrical Permit,ADDING INTERIOR WALL TO CONVERT PATIO TO BEDROOM.,Closed Expired,05/27/1993,
B1993-04538-E,"2515 BENVENUE AVE, 402, BERKELEY CA 94704",Building Electrical Permit,ADDING INTERIOR WALL TO CONVERT PATIO TO BEDROOM.,Closed Expired,05/27/1993,
B2013-04962,"2521 BENVENUE AVE, BERKELEY CA 94704",Building Permit,DEMOLITION OF 173 S.F. OF GARAGE.,Closed Expired,10/28/2013,demolition
B2010-01506,"2524 BENVENUE AVE, BERKELEY CA 94704",Building Permit,TEAR OFF AND INSTALL MODIFIED BITUMEN ROOF SYSTEM. CLASS A.,Closed Expired,05/03/2010,
B2006-03581,"2525 BENVENUE AVE, BERKELEY CA 94704",Building Permit,Install New window guards with apropriate kick pedal fire releases,Closed Expired,09/07/2006,
B2004-02964,"2525 BENVENUE AVE, BERKELEY CA 94704",Building Permit,"Remove and replace built up roof. Class ""A""",Closed Expired,07/09/2004,
B2002-03348,"2525 BENVENUE AVE, BERKELEY CA 94704",Building Permit,REMOVE (E) WATER PROOFING SYSTEM ON EXTERIOR WALKWAYS & REPLACE.,Closed Expired,08/05/2002,
B2023-03762,"2528 BENVENUE Ave, BERKELEY CA 94704",Building Permit,tear off all the way to the wood installing 1/2 plywood 40 year shingles,Closed Expired,07/24/2023,
B2023-02108,"2528 BENVENUE Ave, BERKELEY CA 94704",Electrical Permit,replace breaker sub panel. add 1 50 amp 240 volt circuit for stove,Closed Expired,04/25/2023,
B2020-02715,"2528 BENVENUE Ave, BERKELEY CA 94704",Plumbing Permit,Install exterior tank-less water heater.,Finaled,08/19/2020,
B1998-04557,"2528 BENVENUE AVE, BERKELEY CA 94704",Building Permit,"SEISMIC RETROFIT. REPLACE BRICK FOUNDA- TION, SHEARWALLS, DRAINAGE.",Closed Expired,10/14/1998,
B2017-05237,"2529 BENVENUE Ave, BERKELEY CA 94704",Plumbing Permit,Remove old hot water heater system & install two (2) new hot water heaters & new flue pipe.** Plumbing ext. expires 12/4/2019.**,Closed Expired,12/04/2017,
B2017-02803-REV01,"2529 BENVENUE Ave, BERKELEY CA 94704",Building Revision for B2017-02803,Remove existing stucco discovered dry rot replaced plywood sheathing for entire exterior walls (North & South) and re-stucco. increase in valuation from $55450.00 to $73950.00 (increase $18500.00),Closed Expired,08/16/2017,
B2017-02803,"2529 BENVENUE Ave, BERKELEY CA 94704",Building Permit,Replace (61) windows and (5) sliders in kind and stucco patch @ garage opening.,Closed Expired,06/26/2017,
B2010-02591,"2529 BENVENUE AVE, BERKELEY CA 94704",Building Permit,"REMOVE/SWEEP GRAVEL, INSTALL 3 LAYERS OF FIBERCLASS PLY AND INSTALL GRAVEL BACK ON ROOF.",Closed Expired,07/19/2010,
B1999-05428,"2529 BENVENUE AVE, BERKELEY CA 94704",Building Permit,VOLUNTARY SEISMIC RETROFIT,Closed Expired,11/29/1999,
B2022-05000,"2530 BENVENUE Ave, BERKELEY CA 94704",Plumbing Permit,"Replace all cast iron drain lines using 3-4"" ABS in crawl space under home.",Finaled,10/26/2022,
B2017-05386,"2530 BENVENUE Ave, BERKELEY CA 94704",Plumbing Permit,Extending gas line plumbing to new meter location per direction of PG&E and gas pressure test included.,Closed Expired,12/13/2017,
B2021-01493,"2532 BENVENUE Ave, BERKELEY CA 94704",Building Electrical Plumbing Permit,Kitchen Remodel of the Main House (front building),Closed Expired,04/19/2021,
B2003-02998,"2532 BENVENUE AVE, A, BERKELEY CA 94704",Building Electrical Mechanical Plumbing Permit,"Relocate and remodel kitchen, remodel bedroom and study, relocate water heater.",Closed Expired,07/10/2003,
B2003-02998-E,"2532 BENVENUE AVE, A, BERKELEY CA 94704",Building Electrical Mechanical Plumbing Permit,"Relocate and remodel kitchen, remodel bedroom and study, relocate water heater.",Closed Expired,07/10/2003,
B2003-02998-M,"2532 BENVENUE AVE, A, BERKELEY CA 94704",Building Electrical Mechanical Plumbing Permit,"Relocate and remodel kitchen, remodel bedroom and study, relocate water heater.",Closed Expired,07/10/2003,
B2003-02998-P,"2532 BENVENUE AVE, A, BERKELEY CA 94704",Building Electrical Mechanical Plumbing Permit,"Relocate and remodel kitchen, remodel bedroom and study, relocate water heater.",Closed Expired,07/10/2003,
B1994-03614,"2532 BENVENUE AVE, BERKELEY CA 94704",Building Permit,"& INSTALL 1/2 1/2"" CDX PLYWOOD SHEAR WALL PERMIT CLOSED TIME LIMIT EXPIRED MP61401",Closed Expired,09/29/1994,
B1993-04239,"2532 BENVENUE AVE, A, BERKELEY CA 94704",Plumbing Permit,"SEWER REPAIR,BLD.DRAIN,REPLACE CAST IRON WITH ABS. 2""AND 4"".",Closed Expired,05/05/1993,
B1993-04240,"2532 BENVENUE AVE, BERKELEY CA 94704",Mechanical Permit,STUB GAS PIPE FOR FUTURE STOVE,Closed Expired,05/05/1993,
B1993-04160,"2532 BENVENUE AVE, BERKELEY CA 94704",Mechanical Permit,PRESSURE TEST FOR RE CONNECT GAS SERVICE- REAR COTTAGE,Closed Expired,04/29/1993,ADU/unit
