"apn","strnbr","strdirect","strname","strapart","strfract","bldsqfttaxable","lotsqft"
"016 141000101","3101",,"BENVENUE AVE",,,"1055","1639"
"016 141001501","6432",,"BENVENUE AVE",,,"0","100"
"016 141001801","6414",,"BENVENUE AVE",,,"0","200"
"016 141002201","2607",,"ALCATRAZ AVE",,,"837","1000"
"016 141003200","6420",,"BENVENUE AVE","COM",,"0","625"
"016 141404300","2400",,"WOOLSEY ST",,,"1000","1493"
"016 141404400","2412",,"WOOLSEY ST",,,"169","560"
"016 141404600","2418",,"WOOLSEY ST",,,"450","731"
"016 141404800","2420",,"WOOLSEY ST",,,"500","656"
"016 141405000","3100",,"COLBY ST",,,"0","850"
"016 142202000","6699",,"TELEGRAPH AVE",,,"5964","3768"
"016 142202200","2320",,"WOOLSEY ST",,,"0","1175"
"016 142202400","2314",,"WOOLSEY ST",,,"0","1174"
"016 142202600","2312",,"WOOLSEY ST",,,"0","4500"
"016 142202800","2308",,"WOOLSEY ST","VACNT",,"0","1202"
"016 142203000","2304",,"WOOLSEY ST",,,"0","1175"
"016 142203200","2300",,"WOOLSEY ST",,,"0","1204"
"016 142505700","6618",,"SHATTUCK AVE",,,"1000","1000"
"016 142800202","3208",,"SHATTUCK AVE",,,"1198","1995"
"048A707200500","6400",,"MYSTIC ST",,,"990","1941"
"048A707200800","6368",,"MYSTIC ST",,,"575","1440"
"048A707200900","6364",,"MYSTIC ST",,,"335","1000"
"048A707201200","6300",,"CLAREMONT AVE",,,"0","191"
"048A707501500","6451",,"MYSTIC ST",,,"0","486"
"048H760703800","256",,"ALVARADO RD",,,"1460","2976"
"048H760704200","290",,"ALVARADO RD",,,"0","1056"
"048H766303700","617",,"ALVARADO RD",,,"0","810"
"048H766303800","111",,"ALVARADO RD",,,"0","436"
"048H767002600","41",,"TUNNEL RD",,,"0","5700"
"048H767002902","0",,"TUNNEL RD",,,"0","1097"
"048H767003100","59",,"ALVARADO RD",,,"0","1782"
"048H768000102","3",,"TANGLEWOOD RD",,,"4447","8362"
"048H768000201","5",,"TANGLEWOOD RD",,,"3499","8814"
"048H768001400","19",,"TANGLEWOOD RD",,,"2802","13300"
"048H768001700","97",,"STONEWALL RD",,,"0","1582"
"048H768001900","11",,"TANGLEWOOD RD",,,"3688","11544"
"048H768002700","29",,"TANGLEWOOD RD",,,"0","3075"
"048H768003100","7",,"TANGLEWOOD RD",,,"3684","13875"
"048H768003201","25",,"TANGLEWOOD RD",,,"4545","19841"
"048H769000300","2951",,"DERBY ST",,,"125813","149846"
"048H769000400","1",,"TANGLEWOOD RD",,,"0","1692476"
"049 151200101","1318",,"SIXTY-SEVENTH ST","PARKG",,"0","675"
"049 151200302","6711",,"HOLLIS ST",,,"0","2025"
"049 151200601","1482",,"SIXTY-SEVENTH ST",,,"1350","2700"
"052 136400100","1908",,"ALCATRAZ AVE",,,"7772","4814"
"052 136400200","1916",,"ALCATRAZ AVE",,,"1269","3480"
"052 136400300","1918",,"ALCATRAZ AVE",,,"4789","4120"
"052 136400500","1926",,"ALCATRAZ AVE",,,"3153","3439"
"052 140900101","3200",,"COLLEGE AVE",,,"12449","8575"
"052 140900300","3212",,"COLLEGE AVE",,,"5770","4300"
"052 141000200","3100",,"COLLEGE AVE",,,"15569","9566"
"052 141001200","3148",,"COLLEGE AVE",,,"2583","6123"
"052 141001402","3158",,"COLLEGE AVE",,,"3772","7749"
"052 141001601","3170",,"COLLEGE AVE",,,"11582","14541"
"052 141001800","2638",,"WOOLSEY ST",,,"3004","2600"
"052 141002001","3110",,"COLLEGE AVE",,,"14340","12400"
"052 141002201","3118",,"COLLEGE AVE",,,"5404","6860"
"052 141002400","3122",,"COLLEGE AVE",,,"1586","6150"
"052 141002600","3126",,"COLLEGE AVE",,,"9675","6201"
"052 141002800","3128",,"COLLEGE AVE",,,"6040","6200"
"052 141003000","3132",,"COLLEGE AVE",,,"3395","6200"
"052 141003200","3136",,"COLLEGE AVE",,,"4659","6229"
"052 141003400","3140",,"COLLEGE AVE",,,"4758","6250"
"052 141003600","3144",,"COLLEGE AVE",,,"3274","6250"
"052 141003700","3154",,"COLLEGE AVE","1",,"994","1476"
"052 141003800","3154",,"COLLEGE AVE","2",,"994","1476"
"052 141003900","3154",,"COLLEGE AVE","3",,"993","1476"
"052 141004000","3154",,"COLLEGE AVE","4",,"993","1476"
"052 141004100","3154",,"COLLEGE AVE","COM",,"0","0"
"052 142100101","3201",,"TELEGRAPH AVE",,,"1431","1539"
"052 142300300","3200",,"DEAKIN ST",,,"1385","2325"
"052 142501100","2116",,"WOOLSEY ST",,,"1616","2805"
"052 142501200","2114",,"WOOLSEY ST",,,"1760","2890"
"052 142501300","2112",,"WOOLSEY ST",,,"1616","2805"
"052 142501500","3201",,"SHATTUCK AVE",,,"6700","6075"
"052 142501601","2200",,"WOOLSEY ST",,,"1592","3931"
"052 142501901","2150",,"WOOLSEY ST",,,"1020","2958"
"052 142502000","2146",,"WOOLSEY ST",,,"1258","3955"
"052 142502200","2144",,"WOOLSEY ST",,,"3032","4286"
"052 142502401","2140",,"WOOLSEY ST",,,"3580","6658"
"052 142502600","2138",,"WOOLSEY ST",,,"1367","2500"
"052 142502800","2130",,"WOOLSEY ST",,,"3194","5000"
"052 142503000","2126",,"WOOLSEY ST",,,"3406","4950"
"052 142503200","2122",,"WOOLSEY ST",,,"2934","5000"
