APN,Address,Permit_Number,Unit_Type,Tenure,Ent_VLI,Ent_LI,Ent_Mod,Ent_Above,Entitled_Date,Units_Entitled,BP_VLI,BP_LI,BP_Mod,BP_Above,BP_Date,Units_BP,CO_VLI,CO_LI,CO_Mod,CO_Above,CO_Date,Units_CO,Notes
061 255703400,1147 OXFORD St,B2023-05994- REV01,ADU,R,0,0,0,0,10/6/2025,1,0,0,0,0,10/6/2025,1,0,0,0,0,,0,
055 184802300,2623 COLLEGE Ave,B2023-06132,ADU,R,0,0,0,0,10/14/2025,2,0,0,0,0,10/14/2025,2,0,0,0,0,,0,
052 158000100,2901 DEAKIN St,B2024-05176,ADU,R,0,0,0,0,11/18/2025,1,0,0,0,0,11/18/2025,1,0,0,0,0,,0,
061 257502300,852 CONTRA COSTA Ave,B2025-01012,ADU,R,0,0,0,0,10/16/2025,1,0,0,0,0,10/16/2025,1,0,0,0,0,,0,
054 179100900,1331 CARLETON St,B2025-01504,ADU,R,0,0,0,0,10/2/2025,1,0,0,0,0,10/2/2025,1,0,0,0,0,,0,
058 223202200,5 PARNASSUS Ct,B2025-01579,ADU,R,0,0,0,0,10/8/2025,1,0,0,0,0,10/8/2025,1,0,0,0,0,,0,
054 173301300,1521 STUART St,B2025-01728,SFD,O,0,0,0,0,,0,0,0,0,1,10/28/2025,1,0,0,0,0,,0,
061 255801000,1110 OXFORD St,B2025-01930,ADU,R,0,0,0,0,10/28/2025,1,0,0,0,0,10/28/2025,1,0,0,0,0,,0,
059 228702000,0 VIRGINIA St,B2025-02283,ADU,R,0,0,0,0,10/10/2025,1,0,0,0,0,10/10/2025,1,0,0,0,0,,0,
060 244801600,1913 ROSE St,B2025-02286,ADU,R,0,0,0,0,10/29/2025,1,0,0,0,0,10/29/2025,1,0,0,0,0,,0,
058 212500800,1608 TENTH St,B2025-02295,ADU,R,0,0,0,0,10/7/2025,1,0,0,0,0,10/7/2025,1,0,0,0,0,,0,
055 191302900,2325 SPAULDING Ave,B2025-02497,ADU,R,0,0,0,0,11/17/2025,1,0,0,0,0,11/17/2025,1,0,0,0,0,,0,
052 154502900,1626 PRINCE St,B2025-03021,ADU,R,0,0,0,0,11/20/2025,1,0,0,0,0,11/20/2025,1,0,0,0,0,,0,
056 191702600,2325 VALLEY St,B2025-03127,ADU,R,0,0,0,0,11/20/2025,1,0,0,0,0,11/20/2025,1,0,0,0,0,,0,
052 156304700,2740 PRINCE St,B2025-03285,ADU,R,0,0,0,0,11/17/2025,1,0,0,0,0,11/17/2025,1,0,0,0,0,,0,
058 212701403,1740 SAN PABLO Ave,B2022-05881,5+,R,0,0,0,0,,0,6,37,10,1,12/18/2025,54,0,0,0,0,,0,The project requests a cost- reduction
055 190501200,2328 GRANT St,B2024-01452,ADU,R,0,0,0,0,12/4/2025,1,0,0,0,0,12/4/2025,1,0,0,0,0,,0,"CreodnucceessthioenOtopen Space requirement from 2,160 sf to 1,484 sf to eliminate the costs"
055 188701100,2211 CHANNING Way,B2024-02377,ADU,R,0,0,0,0,12/1/2025,1,0,0,0,0,12/1/2025,1,0,0,0,0,,0,of a
055 188701000,2215 CHANNING Way,B2024-02487,ADU,R,0,0,0,0,12/1/2025,2,0,0,0,0,12/1/2025,2,0,0,0,0,,0,
056 200800500,1640 ALLSTON Way,B2025-00495,ADU,R,0,0,0,0,12/2/2025,1,0,0,0,0,12/2/2025,1,0,0,0,0,,0,
059 227501201,1528 GRANT St,B2025-01431,ADU,R,0,0,0,0,12/19/2025,1,0,0,0,0,12/19/2025,1,0,0,0,0,,0,
055 189801100,1923 DWIGHT Way,B2025-03206,ADU,R,0,0,0,0,12/15/2025,1,0,0,0,0,12/15/2025,1,0,0,0,0,,0,
055 183102900,2338 DWIGHT Way,B2025-04153,ADU,R,0,0,0,0,12/3/2025,1,0,0,0,0,12/3/2025,1,0,0,0,0,,0,
058 217200301,1600 MILVIA St,B2025-04535,ADU,R,0,0,0,0,12/16/2025,1,0,0,0,0,12/16/2025,1,0,0,0,0,,0,
060 243300100,1321 CALIFORNIA ST,B2024-04037,ADU,R,0,0,0,0,4/14/2025,1,0,0,0,0,4/14/2025,1,0,0,0,0,,0,
052 154402800,1517 FAIRVIEW ST,B2024-04825,SFD,O,0,0,0,0,,0,0,0,0,1,4/4/2025,1,0,0,0,0,,0,
