site,project_id,building,stories,height_m,approx_footprint_sf,approx_units,architect,site_address,status,source
North Berkeley BART,1,Bridge 1,8,28.0,8540,90,David Baker Architects,1750 Sacramento St,placeholder_estimate,architect team / press (2026)
North Berkeley BART,1,Bridge 2,8,28.0,9357,90,David Baker Architects,1750 Sacramento St,placeholder_estimate,architect team / press (2026)
North Berkeley BART,1,Avalon,8,28.0,7383,120,David Baker Architects,1750 Sacramento St,placeholder_estimate,architect team / press (2026)
North Berkeley BART,1,EBALDC,6,21.0,9440,70,David Baker Architects,1750 Sacramento St,placeholder_estimate,architect team / press (2026)
North Berkeley BART,1,Insight,6,21.0,10429,70,David Baker Architects,1750 Sacramento St,placeholder_estimate,architect team / press (2026)
North Berkeley BART,1,Bridge 2 Walk-up A,3,10.5,5882,15,David Baker Architects,1750 Sacramento St,placeholder_estimate,architect team / press (2026)
North Berkeley BART,1,Bridge 2 Walk-up B,3,10.5,5882,15,David Baker Architects,1750 Sacramento St,placeholder_estimate,architect team / press (2026)
North Berkeley BART,1,Bridge 2 Walk-up C,3,10.5,5882,15,David Baker Architects,1750 Sacramento St,placeholder_estimate,architect team / press (2026)
North Berkeley BART,1,Avalon Walk-up A,3,10.5,4706,12,David Baker Architects,1750 Sacramento St,placeholder_estimate,architect team / press (2026)
North Berkeley BART,1,Avalon Walk-up B,3,10.5,4706,12,David Baker Architects,1750 Sacramento St,placeholder_estimate,architect team / press (2026)
North Berkeley BART,1,Avalon Walk-up C,3,10.5,4706,12,David Baker Architects,1750 Sacramento St,placeholder_estimate,architect team / press (2026)
North Berkeley BART,1,Avalon Walk-up D,3,10.5,4706,12,David Baker Architects,1750 Sacramento St,placeholder_estimate,architect team / press (2026)
North Berkeley BART,1,Avalon Walk-up E,3,10.5,3742,12,David Baker Architects,1750 Sacramento St,placeholder_estimate,architect team / press (2026)
Ashby BART,151,Adeline Tower,8,28.0,15293,150,PYATOK / DIALOG / Yes Community Architects,Ashby BART West Lot (MLK/Adeline/Ashby),placeholder_estimate,architect team / press (2026)
Ashby BART,151,Building B,7,24.5,21849,130,PYATOK / DIALOG / Yes Community Architects,Ashby BART West Lot (MLK/Adeline/Ashby),placeholder_estimate,architect team / press (2026)
Ashby BART,151,MLK Building C,6,21.0,21695,115,PYATOK / DIALOG / Yes Community Architects,Ashby BART West Lot (MLK/Adeline/Ashby),placeholder_estimate,architect team / press (2026)
Ashby BART,151,MLK Building D,6,21.0,5157,115,PYATOK / DIALOG / Yes Community Architects,Ashby BART West Lot (MLK/Adeline/Ashby),placeholder_estimate,architect team / press (2026)
Ashby BART,151,MLK Building E,6,21.0,21176,108,PYATOK / DIALOG / Yes Community Architects,Ashby BART West Lot (MLK/Adeline/Ashby),placeholder_estimate,architect team / press (2026)
