apn,address,name_year,assessor_year,designated,lm_type,matched
056-1982-007-00,1124 Addison Street,1891.0,0.0,7/9/2001,LM,True
,1250 Addison Street,1912.0,,4/21/1986,LM,False
056-2006-001-06,1640 Addison Street,,1907.0,3/18/1991,LM,True
057-2022-013-04,1900 Addison Street,1927.0,1926.0,4/7/1997,LM,True
057-2025-005-03,2071 Addison Street,1905.0,1890.0,12/19/1977,LM,True
057-2034-005-00,2119 Addison Street,1906.0,0.0,4/7/2003,LM,True
054-1722-006-00,2750 Adeline Street,1906.0,0.0,8/9/2004,LM,True
053-1592-014-00,3027 Adeline Street,1905.0,1910.0,9/7/2006,LM,True
052-1530-005-00,3228 Adeline Street,1903.0,1904.0,7/19/1982,LM,True
052-1531-001-00,3250 Adeline Street,1903.0,1920.0,7/19/1982,LM,True
052-1531-006-00,3286 Adeline Street,1906.0,1910.0,7/19/1982,LM,True
,3332 Adeline Street,1912.0,,5/24/1982,LM,False
,51 Adeline Street,1923.0,,9/3/2015,LM,False
,1326 Allston Way Allston Way,1913.0,,7/1/2002,LM,False
,1920 Allston Way,1922.0,,7/5/2007,LM,False
,2000 Allston Way,1914.0,,6/16/1980,LM,False
057-2026-015-00,2001 Allston Way,1910.0,1910.0,2/22/1990,LM,True
057-2027-002-03,2018 Allston Way,1913.0,1913.0,10/7/1991,LM,True
057-2030-003-00,2134 Allston Way,1930.0,1930.0,1/6/1992,LM,True
064-4227-018-00,18 Alvarado Street,1910.0,1912.0,10/3/2013,LM,True
060-2465-027-00,1325 Arch Street,1907.0,1906.0,8/5/2021,LM,True
060-2462-009-01,1340 Arch Street,1905.0,1905.0,11/2/2006,LM,True
061-2578-041-00,883 Arlington,1911.0,1916.0,7/14/2003,LM,True
053-1598-019-00,1985 Ashby Avenue,1905.0,1902.0,12/6/2004,LM,True
052-1569-016-00,2611 Ashby Avenue,1908.0,1911.0,4/5/2007,LM,True
,2425 Atherton Street,1960.0,,6/6/2013,LM,False
055-1894-016-00,2030 Bancroft Way,1915.0,0.0,4/6/2017,LM,True
055-1893-018-00,2126 Bancroft Way,1913.0,1920.0,4/12/1993,LM,True
,2301 Bancroft Way,1923.0,,6/1/2006,LM,False
,2401 Bancroft Way,1898.0,,11/16/1981,LM,False
,2546 Bancroft Way,1940.0,,12/21/1981,LM,False
055-1871-015-01,2600 Bancroft Way,1958.0,1960.0,5/6/2010,LM,True
,2626 Bancroft Way,1967.0,,2/2/2012,LM,False
055-1871-001-03,2680 Bancroft Way,1928.0,1929.0,11/19/1979,LM,True
055-1870-010-00,2700 Bancroft Way,1926.0,2003.0,4/3/2000,LM,True
055-1843-030-00,2528 Benvenue Avenue,1899.0,1904.0,6/18/1990,LM,True
055-1846-024-00,2539 Benvenue Avenue,1897.0,1900.0,7/7/1997,LM,True
055-1846-023-00,2545 Benvenue Avenue,1897.0,1904.0,7/7/1997,LM,True
,2551 Benvenue Avenue,1894.0,,7/7/1997,LM,False
053-1695-026-00,2811 Benvenue Avenue,1903.0,1925.0,9/7/2006,LM,True
052-1568-001-00,2901 Benvenue Avenue,1904.0,1908.0,3/1/2018,LM,True
,1917 Berkeley W,1905.0,,2/20/1979,LM,False
,2007 Berkeley W,1878.0,,7/16/1979,LM,False
057-2051-007-00,2053 Berkeley W,1904.0,0.0,1/12/2004,LM,True
055-1830-014-00,2201 Blake Stre,1877.0,1895.0,12/5/2005,LM,True
055-1838-007-00,2415 Blake Stre,1979.0,1876.0,12/6/2018,LM,True
059-2269-007-00,1410 Bonita Avenue,1892.0,1900.0,10/5/1992,LM,True
,2350 Bowditch Street,1930.0,,6/7/1999,LM,False
,2410 Bowditch Street,1922.0,,11/16/1981,LM,False
058-2242-038-03,2733 Buena Vist Way,1931.0,1931.0,7/1/2002,LM,True
058-2242-060-00,2780 Buena Vist Way,1933.0,1937.0,3/19/1990,LM,True
058-2242-083-01,2800 Buena Vist Way,1924.0,1924.0,1/6/1992,LM,True
058-2242-067-01,2900 Buena Vist Way,1928.0,1929.0,6/17/1985,LM,True
055-1862-012-00,15 Canyon Roa,1904.0,1904.0,6/7/1999,LM,True
,2237 Canyon Roa Carleton Street,1905.0,,9/7/1993,LM,False
058-2179-001-00,2138 Cedar Stre,1913.0,1940.0,1/4/1999,LM,True
058-2184-004-00,2286 Cedar Stre,1924.0,0.0,1/12/2004,LM,True
,1931 Center Str,1928.0,,4/15/1985,LM,False
057-2031-010-00,2124 Center Str,1902.0,0.0,12/19/1983,LM,True
057-2031-011-00,2130 Center Str,1923.0,1925.0,11/2/2006,LM,True
056-1941-012-01,839 Channing Way,1889.0,0.0,6/21/1976,LM,True
056-1936-003-00,936 Channing Way,1901.0,0.0,2/22/1982,LM,True
055-1883-027-00,2328 Channing Way,1889.0,1900.0,7/2/2020,LM,True
,2521 Channing Way,1927.0,,9/13/1999,LM,False
,2547 Channing Way,1899.0,,2/27/1984,LM,False
055-1863-008-00,2901 Channing Way,1905.0,1920.0,8/6/1985,LM,True
,2955 Claremont Avenue Claremont Avenue,1915.0,,7/18/1983,LM,False
,"60 Claremont Blvd at Russell St, Claremont Ave at Avalon Ave, 2000 block of Derby St, 2000 block of Forest St, Russell St at Oak Knoll Path Codornices Road",,,2/25/1991,LM,False
,2241 College Avenue,1885.0,,9/17/1990,LM,False
055-1868-013-00,2409 College Avenue,1913.0,1913.0,2/5/2015,LM,True
055-1845-015-02,2640 College Avenue,1908.0,0.0,12/15/1975,LM,True
052-1567-018-00,2947 College Avenue,1923.0,0.0,4/6/2006,LM,True
052-1567-017-00,2959 College Avenue,1925.0,1926.0,3/15/1982,LM,True
052-1573-002-00,2966 College Avenue,1914.0,1920.0,5/24/1982,LM,True
,840 Colusa Avenue,1919.0,,12/6/1993,LM,False
,802 Cyclotron Road Delaware Street,1878.0,,12/17/1979,LM,False
057-2095-003-00,834 Delaware Street,1853.0,0.0,6/17/1985,LM,True
054-1732-001-00,1500 Derby Stre,1922.0,0.0,12/2/1996,LM,True
055-1894-003-01,2029 Durant Avenue,1877.0,0.0,3/16/1981,LM,True
055-1893-006-01,2125 Durant Avenue,1939.0,1955.0,7/21/1986,LM,True
055-1892-001-01,2140 Durant Avenue,1930.0,1930.0,10/17/1983,LM,True
,2308 Durant Avenue,1891.0,,8/18/1986,LM,False
055-1885-002-01,2315 Durant Avenue,1929.0,0.0,12/15/1975,LM,True
055-1884-015-00,2318 Durant Avenue,1901.0,1904.0,8/18/1986,LM,True
055-1876-013-02,2500 Durant Avenue,1914.0,0.0,9/6/2007,LM,True
055-1876-016-00,2520 Durant Avenue,1911.0,0.0,9/13/1999,LM,True
055-1871-004-01,2639 Durant Avenue,1897.0,1895.0,11/3/1997,LM,True
,2650 Durant Avenue,1959.0,,9/11/2000,LM,False
055-1913-052-00,1545 Dwight Way,1883.0,1886.0,8/5/2010,LM,True
,2120 Dwight Way,1905.0,,2/25/1991,LM,False
,2128 Dwight Way,1902.0,,2/25/1991,LM,False
055-1831-024-00,2314 Dwight Way,1868.0,1905.0,1/26/1987,LM,True
055-1881-012-00,2401 Dwight Way,1899.0,1907.0,12/15/1975,LM,True
055-1839-001-02,2502 Dwight Way,1901.0,1905.0,1/12/2004,LM,True
,2506 Dwight Way,1876.0,,10/16/1989,LM,False
055-1842-002-00,2524 Dwight Way,1891.0,1880.0,9/13/1999,LM,True
055-1842-004-01,2530 Dwight Way,1886.0,2002.0,4/6/1998,LM,True
,2600 Dwight Way,1919.0,,9/8/1998,LM,False
055-1874-012-00,2619 Dwight Way,1910.0,0.0,12/15/1975,LM,True
055-1850-002-00,2730 Dwight Way,1880.0,0.0,2/6/1995,LM,True
,40 Dwight Way,1895.0,,2/25/1991,LM,False
,2547 Eighth Str,1913.0,,7/21/1986,LM,False
,2701 Eighth Str,1924.0,,3/7/2005,LM,False
,1300 Euclid Avenue,1937.0,,3/6/1995,LM,False
058-2247-013-01,1537 Euclid Avenue,1923.0,1924.0,7/21/1986,LM,True
058-2200-009-00,1865 Euclid Avenue,1912.0,0.0,9/8/1998,LM,True
052-1530-016-00,1802 Fairview Street,1912.0,1935.0,6/21/1976,LM,True
,1808 Fifth Stre,1878.0,,9/17/1979,LM,False
,1824 Fifth Stre,1870.0,,5/14/1979,LM,False
,1828 Fifth Stre,1890.0,,9/15/1986,LM,False
,1300 Fourth Str,1898.0,,4/21/1986,LM,False
,1404 Fourth Str,,,11/17/1986,LM,False
,1809 Fourth Str,1877.0,,6/21/1982,LM,False
,1915 Fourth Str,,,11/2/1998,LM,False
,2288 Fourth Str between University and Hearst Fulton Str,1926.0,,4/19/1982,LM,False
055-1890-001-00,2424 Fulton Str,1884.0,1903.0,6/2/2003,LM,True
055-1890-002-00,2426 Fulton Str,1884.0,1896.0,6/2/2003,LM,True
055-1890-003-00,2430 Fulton Str,1891.0,1901.0,5/5/2003,LM,True
058-2244-002-09,10 Greenwood Common Greenwood Common Greenwood Common Greenwood Common Greenwood Common Greenwood Common Greenwood Common,1952.0,0.0,3/19/1990,LM,True
057-2027-004-00,2222 Harold Way,1923.0,1924.0,9/6/1994,LM,True
,2419 Haste Stre,1906.0,,2/5/1996,LM,False
,2500 Haste Stre,1976.0,,2/22/1990,LM,False
,2501 Haste Stre,1911.0,,11/9/1987,LM,False
,2526 Haste Stre,1969.0,,11/19/1984,LM,False
055-1873-014-00,2605 Haste Stre,1928.0,1931.0,11/1/1999,LM,True
,2650 Haste Stre,1960.0,,9/11/2000,LM,False
